DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 21:40	Conway	AR	Teardrop	1 sec	Huge teardrop light followed by a distant boom (gun shot sounding, but bigger and too far away).	10/10/11	35.0816025,-92.459273	
10/7/11 05:50	Waldo	AR	Unknown	30 seconds	Zigzagging light with 2 additional bursts of light.	10/10/11	33.3522679,-93.295101	
10/1/11 00:00	Cabot/Lonoke	AR	Circle	1+ hrs	A bright object sighted above our house that moves back and forth slowly and hovers.  ((NUFORC Note:  Possible star?  PD))	10/10/11	9/25/11 20:46	Ft. Smith	AR	Light	10 seconds	We saw a single, non-flashing green light at night over Ft. Smith, AR and never heard it make a sound.	10/10/11	35.3628,-94.3662	
9/25/11 17:00	Marion	AR	Disk	1 min.	Disc with amber orbes and cloudy gray craft.	10/10/11	35.1984228,-90.1600938	
9/3/11 21:15	Bentonville	AR	Fireball	2 minutes	Orange glowing ball hovering over Bentonville/Centerton AR area disappeared into the night	10/10/11	36.3728538,-94.2088172	
9/2/11 21:00	Bentonville	AR	Disk	45min	Ufo in the sky at bentonville arkansas	10/10/11	36.3728538,-94.2088172	
8/25/11 12:40	War Eagle	AR	Triangle	1 minute	Three sky blue triangles make two turns in formation	10/10/11	36.2709077,-93.9363089	
8/22/11 23:30	Conway	AR	Triangle	2-5 min.	While walking outside near midnight saw two triangular shaped low flying large craft directly overhead	10/10/11	35.0816025,-92.459273	
8/16/11 01:00	Siloam Springs	AR	Circle	2 hours	star like object moving slowly in the sky very bright no sound	8/21/11	36.1836346,-94.531996	
7/4/11 22:00	Fort Smith	AR	Fireball	3 min	Orange fireball	7/6/11	35.3859242,-94.3985475	
7/4/11 22:00	Greenbried	AR	Light	1 min 30 secs	Orange yellow light in the sky that moved intermittently and stopped then slowly disappeared into night sky.	7/6/11	7/4/11 22:00	Bryant	AR	Light	3 minutes	Two slowly hovering amber lights.	8/7/11	34.6155298,-92.491717	
7/4/11 22:00	Berryville	AR	Circle	45 seconds	Circular shaped craft, luminous and silent  with a halo type glow around it flew directly overhead.	7/6/11	36.3713495,-93.570303	
7/4/11 21:10	Bryant	AR	Fireball	2 min	This may be an ISS sighting, but I can't locate sighting information for Little Rock, AR of that date and had no internet access that e	7/17/11	34.6155298,-92.491717	
7/4/11 00:05	Springdale	AR	Triangle	approx 1 minute	Orangish triangle shaped flying object in nwa on july 4th 2011 around midnight flying north	7/17/11	36.1866498,-94.153063	
7/2/11 21:30	Gillham	AR	Light	6 minutes	A bright light flew east to west for about 20 seconds, then turned south and faded, and then came back flashing before it faded again.	7/6/11	34.1686376,-94.314395	
6/30/11 03:50	Dardanelle	AR	Light	30 seconds	Two white lights moving together.	7/4/11	35.2277094,-93.16733	
6/18/11 22:18	Fayetteville	AR	Fireball	1-2 mins	Lights Over Fayetteville	6/20/11	36.0625795,-94.1574263	
6/1/11 22:00	Little Rock	AR	Unknown	still accuring after abou	We saw a star that was moving in many different directions for a long period of time.	6/3/11	34.7464809,-92.2895948	
6/1/11 04:00	Marked Tree	AR	Light	10 minutes	Power outage and 4 distinct u.f.o.(s) over Marked Tree and Flash of light as they departed.	6/3/11	35.5250777,-90.425691	
4/3/11 21:30	Wilmont	AR	Sphere	3-5 min	neon green lights hovering just above the treeline near wilmont,ar.	5/2/11	4/1/11 22:10	Conway	AR	Other	3-4 seconds	My wife and I saw a star-like object flying at an incredible speed at an altitude lower than commercial flight. We were only able to fo	4/3/11	35.0816025,-92.459273	
3/31/11 23:24	Russellville	AR	Triangle	3 minutes	Followed a craft and ended following two crafts that was just to fast to keep up with.	4/3/11	35.2760343,-93.138415	
2/16/11 14:00	Fort Smith	AR	Disk	1 minute	Man and his son witness object following high-altitude aircraft in the daytime sky.	2/18/11	35.3859242,-94.3985475	
2/15/11 23:26	Mountain Home	AR	Other	30 minutes	Atmospheric Event distorting the light of the stars?	2/18/11	36.3334004,-92.3723812	
2/15/11 12:00	Conway	AR	Formation	few minutes	Four round, grayish balls flying in a triangular formation, broad daylight, no sound, moving quickly	3/10/11	35.0816025,-92.459273	
2/5/11 21:00	Conway	AR	Triangle	few minutes	sighting of hovering triangle shaped ufo over conway,arkansas	2/8/11	35.0816025,-92.459273	
1/27/11 19:45	Bald Knob	AR	Circle	10-15 seconds	Out on run at 7:45PM, looked up and saw 5-10 objects in the sky moving like a group of fireflies. A red cloud formed sighting.	1/31/11	35.3000847,-91.550133	
1/13/11 19:30	Jonesboro	AR	Sphere	Unknown, too cold	Colorful flashing and drifting orb somewhere close to Memphis TN as viewed from Jonesboro AR.  ((NUFORC Note: Sirius?  PD))	1/31/11	35.8209707,-90.679225	
1/9/11 23:45	Little Rock (South of)	AR	Circle	2 or 3 min.	Round black silent object	1/31/11	34.7464809,-92.2895948	
1/4/11 20:10	Pangburn/Searcy	AR	Other		((HOAX??))  there here	1/5/11	12/18/10 03:00	Rogers	AR	Unknown	5-15 seconds	Two unknown unidentifiable flying craft  apparently hovering in a vacant field.	1/31/11	36.3173872,-94.151362	
12/4/10 20:00	Ward	AR	Triangle	10 min.	Triangle in the North West sky.	1/5/11	35.0135046,-91.957366	
12/3/10 22:30	Little Rock	AR	Rectangle		saw a bright light and looked up and noticed a cyliner shaped or retegular object flying. The light as very bright and appeared to lumi	1/5/11	34.7464809,-92.2895948	
11/22/10 23:00	Little Rock	AR	Egg	5-10	Beware.	1/5/11	34.7464809,-92.2895948	
10/29/10 01:30	Hot Springs	AR	Unknown	10 minutes	Red/Blue/Green lights flashing very quickly	11/21/10	34.4987004,-93.0543461	
10/27/10 21:00	Decatur	AR	Light	20 minutes	object was just a spherical very bright white light with no other blinking lights	11/21/10	36.3391875,-94.458229	
10/23/10 15:15	Fayetteville	AR	Sphere	12	Bright round objects spotted over Fayetteville during Ark/Ole miss game during a severe apporaching storm on 10/23/10	11/21/10	36.0625795,-94.1574263	
9/28/10 21:30	Little Rock	AR	Circle	about 5 seconds	A ball of light moving very quickly.	11/21/10	34.7464809,-92.2895948	
9/15/10 11:00	Buckner	AR	Disk		This was a U F O!  ((NUFORC Note:  We wonder whether the witness might have been looking at a "twinkling" star.  PD))	11/21/10	33.3573872,-93.435831	
9/4/10 23:30	Dardanelle	AR	Light	20-30 minutes	Slow moving, hovering, flashing light above Yell County, AR.	11/21/10	35.2277094,-93.16733	
8/27/10 20:30	Jacksonville	AR	Light	30 Minutes	Bright Light Southwest of Jacksonville, AR	8/30/10	34.8793429,-92.131651	
8/27/10 00:30	Cabot	AR	Light	2 seconds	Bright light in Cabot/Jacksonville Area...creepy...	8/21/11	34.9767693,-92.02678	
8/26/10 21:30	Springdale	AR	Cigar	45 sec-1min	On August 26, 2010, while driving by Arvest Ball Park with a friend, I saw what looked like a huge airliner just sitting in midair.  Up	11/21/10	36.1866498,-94.153063	
8/26/10 09:30	Springdale	AR	Cigar	5 seconds	Summary of Sighting: On Thursday August 26, 2010, a friend and I were returning from Springdale, AR.  We were traveling on a side road	11/21/10	36.1866498,-94.153063	
8/13/10 00:00	Berryville	AR	Light	hours	Multiple colored star-like objects seen moving erratically in the south west sky above Arkansas	8/24/10	36.3713495,-93.570303	
8/11/10 23:00	Marshall	AR	Light	30 mins	Me and my friend decided to drive to the top of a hill tonight to see the stars, because it was pretty clear. The things we saw looked	8/24/10	35.9085967,-92.638806	
7/7/10 22:30	Russellville	AR	Light	10:20 - 10:40	Bright white craft.	7/10/10	35.2760343,-93.138415	
7/4/10 22:00	Cherokee Villiage	AR	Circle	15 min	two orange balls moving from south to north in arkansas	8/24/10	7/4/10 21:30	Searcy	AR	Circle	5 minutes	I and six friends were outside shooting fireworks when we noticed an bright orange orb like object over the treeline to our west.  It a	7/19/10	35.2418795,-91.735131	
7/4/10 21:15	Mulberry	AR	Circle	6 minutes	Orange circle-shaped light, moved fast, appearance changed with angle,  5,000 ft alt. no markers lights ,	7/10/10	35.5101771,-94.072892	
7/4/10 19:00	Russellville	AR	Light	13 mins	bright orange glow that moved across the tree line for 10 minutes	1/5/11	35.2760343,-93.138415	
6/26/10 05:05	Ozark	AR	Unknown	5 minutes	We observed a rapidly moving light in the morning that was only outshone by the moon and sun.	7/6/10	33.7837196,-91.1290002	
6/26/10 05:05	Ozark	AR	Unknown	5 minutes	We observed a rapidly moving light in the morning that was only outshone by the moon and sun.	7/6/10	33.7837196,-91.1290002	
6/22/10 00:36	Benton	AR	Cylinder	1 minute	Cylinder shaped UFO with lights hovering above tree line in Benton, Arkansas.	6/23/10	34.5775511,-92.571114	
6/19/10 23:00	Bryant	AR	Sphere		strange light trails satalite	6/23/10	34.6155298,-92.491717	
6/19/10 03:00	Bluff City	AR	Circle	60 seconds	Bright circular yellowish orange light moved closer and then flew up and away!	8/24/10	34.7858161,-91.460404	
6/5/10 02:00	Lowell	AR	Other	15 minutes	v shaped light in eastern sky over Lowell, AR.	6/10/10	36.2562679,-94.152019	
5/31/10 09:40	Gravette	AR	Light	current	Big bright light over arkansas watched from gravette.	6/3/10	36.4198427,-94.445268	
5/27/10	Enerson	AR	Light	20 seconds	((HOAX??))   i was calling for my wife and kid and it was gone i live in emerson ar. i live 21XXX hwy 98 emerson, ar.	6/3/10	5/26/10 22:00	West Memphis	AR	Light	Two hours	I small star like object moved and changed directions several time for a total of two hours	6/3/10	35.1530763,-90.198873	
4/14/10 21:00	Centerton	AR	Light	20 minutes	We watched what looked to be stars moving across the sky.  We didn't think they were  stars because of the movement.  I admit I'm not k	5/12/10	36.3546564,-94.298026	
4/5/10 22:10	Scott	AR	Light	5-8 minutes	Green Light	4/13/10	33.5684547,-93.8332391	
3/19/10 22:00	Smackover	AR	Triangle	seconds	Triangle UFO	4/13/10	33.3639591,-92.731168	
3/5/10 03:00	Fort Smith	AR	Other	1 hour	I noticed what appeared to be a star and just watched it for a moment.  ((NUFORC Note:  Star??  PD))	4/13/10	35.3859242,-94.3985475	
3/5/10 01:40	Proctor	AR	Disk	6 minutes	Young woman see strange object with lights near home.	4/13/10	35.0834261,-90.2487069	
3/4/10 19:18	North Little Rock	AR	Unknown	45 Seconds	I just went outside to my carport for a cigarette. I looked up to the sky because I saw the searchlight a local business uses. After th	4/13/10	34.7464809,-92.2895948	
3/3/10 19:19	Alma	AR	Unknown	45 seconds	fast moving object wobbling at times at relative high speed moving east of alma	4/13/10	35.482565,-94.233662	
3/1/10 23:00	Arkansas/Oklahoma (border)	AR	Unknown	20-30 min	i see multi-colored flashing hoovering lights regularly near ar/ok stateline	5/12/10	2/28/10 15:00	Ward	AR	Unknown	60 seconds	Fast black UFO.	4/13/10	35.0135046,-91.957366	
2/24/10 04:30	Arden	AR	Formation	20 minutes	Without knowing I disturbed the same lighted aircraft that my family and I have seen 24 years ago in the same area as before.	4/13/10	33.6584523,-94.2835328	
1/20/10 20:00	Batesville	AR	Diamond	3 MINUTES	Craft Hovering extremly quite; could have easily been inches above our hear unless we looked we would have had no idea	3/10/11	35.7676561,-91.622531	
1/14/10 19:30	Holiday Island	AR	Triangle	10 minutes	Triangular patterned lights over Holiday Island, Arkansas marina.	2/14/10	36.4853478,-93.7321378	
1/12/10 19:00	Alma	AR	Other	night	((HOAX??))  a strange ball of fire, like after burners.	2/14/10	35.482565,-94.233662	
1/6/10 21:15	Searcy	AR	Disk	1 hour	disc shape hovering above Searcy, AR	2/14/10	35.2418795,-91.735131	
1/1/10 00:00	Benton	AR	Circle	5 mins.	4 bright green circles high in the sky going in circles then one bright green light at my front door.	11/21/10	34.5775511,-92.571114	
12/25/09 21:00	Lonoke	AR	Unknown	very brief	Glowing star-like object grows large and then vanishes.	4/13/10	34.7899314,-91.907383	
12/21/09 21:00	El Dorado	AR	Egg	2-3 hours	Six egg shaped or actually appeared like they had two parts appeared in the night sky.  ((NUFORC Note:  Celestial bodies??  PD))	2/14/10	33.195964,-92.6834903	
11/27/09 19:37	Washington (near)	AR	Flash	5-10 minutes	A bright, flashing, possibly immobile object that seemed large and whose flashing obscured the emitting object.	12/12/09	33.7730122,-93.683454	
11/18/09 20:54	Hope (Exit 30, Highway 30)	AR	Diamond	30 sec.	((HOAX??))  An aircraft just appeared and stood still.	12/12/09	33.6678087,-93.590703	
9/25/09 21:30	Alma	AR	Unknown	4 seconds	Triangular pattern of lights hovering above Alma, Arkansas	12/12/09	35.482565,-94.233662	
9/25/09 20:59	Fayetteville	AR	Light	10-15 seconds	Bright light moving West to East in Northwest Arkansas...Then vanished into thin air!	12/12/09	36.0625795,-94.1574263	
9/7/09 19:52	Mountain Home	AR	Light	1 minute	Brilliant white object moving to Northeast at high altitude	12/12/09	36.3334004,-92.3723812	
8/30/09 23:00	Gravette	AR	Unknown	30 minutes	Red, blue and white flashing light hovering hundreds of feet in the air.	12/12/09	36.4198427,-94.445268	
8/24/09 21:00	Kingston	AR	Cigar	4 min	three lights moving  in unison with no sound	8/27/09	36.0506315,-93.5185199	
8/22/09 20:00	Russellville	AR	Sphere	5 seconds	Large red/orange sphere sighted flying east for about five seconds.	8/27/09	35.2760343,-93.138415	
8/19/09 14:22	Gentry	AR	Light	2 hrs	3 people witness a strange bright flash of  light near the ground in my backyard.	8/27/09	36.2629357,-94.485052	
7/23/09 22:37	Fayetteville	AR	Circle	1min	A bright object that I identified to my boss incorrectly as the I.S.S. She stated it was moving to fast to be the I.S.S. and that it co	8/5/09	36.0625795,-94.1574263	
7/21/09 22:40	Fayetteville	AR	Light	5 Mins	2 Bright Red lights moving in opposite directions (South and North) very slowly just below the clouds. No sound.	8/5/09	36.0625795,-94.1574263	
6/22/09 00:50	Greenwood	AR	Fireball	45 minutes	Three orange fireballs in the sky forming a triangle.  Two disappeared after 20 minutes but one stay for 45 minutes.	8/5/09	35.1912049,-94.2465994	
6/15/09 22:00	Gravette	AR	Other	5 minutes	Two moving objects in space	12/12/09	36.4198427,-94.445268	
6/8/09 22:00	Van Buren/Alma	AR	Flash		Strange green lights over Van Buren and Alma Arkansas? Not sub station explosion.	6/9/09	6/1/09 02:00	Berryville	AR	Chevron	10 seconds	A dark gray giant boomerang shaped UFO with 8 dim lights spotted at Berryville pond.	6/9/09	36.3713495,-93.570303	
4/8/09 20:31	Fayetteville	AR	Unknown	8-10 Mins.	a object fell, then two hours pased. 500 Lights On Object0: Yes	5/12/09	36.0625795,-94.1574263	
3/20/09 22:45	Dardanelle	AR	Light	45 seconds	Bright, yellow light traveling next to a jet over Arkansas	4/14/09	35.2277094,-93.16733	
3/3/09	Mountain Home	AR			just a bright red fireball stopped at treetop level then slowley moved on west	3/19/09	36.3334004,-92.3723812	
2/12/09 21:40	Russellville	AR	Triangle	approx one minnute	Russellville, AR, triangle lights west of nuclear power plant.  ((NUFORC Note:  See addenda from reader, and source of report!!  PD))	3/19/09	35.2760343,-93.138415	
2/12/09 21:40	Russellville	AR		1 minute	Sighting Dated 2/12/09 near Russellville, Arkansas	5/12/09	35.2760343,-93.138415	
2/8/09 15:00	Ward	AR	Unknown	3 min.	Small silver object over Ward Arkansas.	3/19/09	35.0135046,-91.957366	
