DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/7/11 13:00	Wilmington	DE	Flash	3-4 minutes	UFO object in the southwest sky as I was at Silverside rd and Concord POike at 13:00 on Friday October 7, 2011	10/10/11	39.7459467,-75.5465889	
9/8/11 23:00	Claymont	DE	Circle	2:00	45 minutes long and watched us	10/10/11	39.8006685,-75.4596404	
8/24/11 22:00	Harrington	DE	Sphere	1.5 HRS	Multiple UFO sighting with possible contact	10/10/11	38.9213369,-75.570577	
7/30/11 22:00	Millsboro	DE	Unknown	1 hour plus	Orange lights in sky.	8/7/11	38.5857694,-75.29113	
7/21/11 21:30	Bethany Beach	DE	Sphere	20 - 30 minutes	Numerous red orbs moving north over the ocean	8/7/11	38.5391848,-75.066078	
6/15/11 23:20	Middletown	DE	Changing	1935 st. Augustine	I was in my bedroom on the second floor talking on the phone, and out of nowhere I heard a noise outside. So I looked outside, and I sa	6/20/11	39.445082,-75.714821	
5/30/11 22:50	Middletown	DE	Light	6-10sec	It was a meteor like object that moved at angles and no curves at a high rate of speed.	6/3/11	39.445082,-75.714821	
5/22/11 14:00	Niceville	DE	Diamond	2-3 minutes	Diamond shaped object over Niceville Marina in Florida....	5/29/11	
3/24/11 23:05	Smyrna	DE	Oval	5 minutes	Black craft with two white lights above housing development	5/2/11	39.3003895,-75.605205	
1/4/11 22:25	Felton	DE	Triangle	15 minutes	Three triangular objects with rotating, colored lights appear in the western night sky over a mid-Atlantic town.	1/5/11	39.0106233,-75.574484	
12/22/10	Wilmington	DE	Disk		it apears to land then take off	1/5/11	39.7459467,-75.5465889	
10/30/10 23:35	Bear	DE	Light	45 seconds	group of reddish lights flying over a residential neighborhood.	11/21/10	42.3124275,-111.3135382	
10/23/10 18:50	Hockessin	DE	Sphere	approx. 15 minutes	Large number of unidentified aircraft flying together.	11/21/10	39.7876112,-75.6966001	
10/20/10 20:30	Wilmington	DE	Disk	20-30 seconds	Circular solid, semi-transparent glowing off-white circular shape zipped through the sky, stopped suddenly without slowing, went up	11/21/10	39.7459467,-75.5465889	
9/5/10 16:00	Bear	DE	Sphere	30 seconds then 30 second	a round metallic object flying over bear del. disappeared and reappeared changed direction and flew away at incredible speed	11/21/10	42.3124275,-111.3135382	
8/29/10 15:30	Newark	DE	Circle	2+ minutes	Multiple witnesses of 2 flying disks in Newark, DE on 08/29/10	8/30/10	39.6837226,-75.7496572	
8/21/10 23:45	Felton	DE	Changing	1 minute	Coming from upstate new york we left here at 5:30pm. Tryed to get into the first entrance of the camping ground around 11:20pm. It was	8/24/10	39.0106233,-75.574484	
8/11/10 23:00	Dewey	DE	Light	3 minutes	lights along and over the water	8/24/10	38.6958147,-75.075161	
8/7/10 21:30	Rehoboth Beach	DE	Light	5 minutes	Repeated Observation of Red/Orange Flickering Lights off Delaware Coast	8/24/10	38.7174515,-75.081395	
7/25/10 03:00	Wilmington	DE	Other	1 hr 30 min.	Brightly lit object floating silently near tall trees.  ((NUFORC Note:  Possibly Jupiter in the southern sky.  PD))	7/28/10	39.7459467,-75.5465889	
7/5/10 21:40	South Bethany Beach	DE	Light	2 mins	Glowing red/orange lights in sky.	7/19/10	
6/9/10 21:30	Delaware (Highway DE-1 N)	DE	Circle	2 minutes	My boyfriend and I were driving on DE-1 N crossing a bridge going toward 13 N when we saw a round object with big white and red lights	6/10/10	39.0003906,-75.4999224	
3/19/10 22:00	Wilmington	DE	Sphere	Approx. 3 seconds	A quick moving green glowing ball seen while driving.	4/13/10	39.7459467,-75.5465889	
11/27/09 18:59	Lewes	DE	Other	momentary	Small fireball over Delaware coast	12/12/09	38.7793459,-75.14795	
9/5/09 04:30	Newark	DE	Triangle	40 min	Orange-ish array of lights cruising over I-95 in Delaware	12/12/09	39.6837226,-75.7496572	
8/1/09 00:30	Harrington	DE	Rectangle	10 minutes	It sat still for ten miutnes then out of nowhere made a sharp right turn and took off faster then anything ive ever seen	8/5/09	38.9213369,-75.570577	
7/12/09 21:15	Dewey Beach	DE	Fireball	5 minutes	Large fireball over Dewey Beach, Delaware	8/5/09	38.6958147,-75.075161	
5/30/09 00:15	Newark	DE	Light	4 minutes	White haze/light moving at amazing speeds.  Far greater than any known military or commercial aircraft	6/9/09	39.6837226,-75.7496572	
4/19/09 04:00	Dover	DE	Changing	1 hour	Bright light changed shapes, multiplied, and faded out.  ((NUFORC Note:  Star??  PD))	5/12/09	39.158168,-75.5243682	
2/22/09 22:30	Dover	DE	Triangle	5 minutes	Large, silver flying object with light beaming down.	5/12/09	39.158168,-75.5243682	
1/21/09 20:45	Dagsboro	DE	Changing	30 minutes	7 Obects seen over Southern Delaware.	3/19/09	38.5501138,-75.2996356	
1/11/09 10:10	Dover	DE	Circle	HALF HOUR	NOISELESS HOVERING THEN FLYING CIRCLE OF WHITE LIGHTS	3/19/09	39.158168,-75.5243682	
12/3/08 21:30	Rehoboth Beach	DE	Other	7-10 seconds	Odd panel of four orange lights spotted above Atlantic Ocean before quickly fading out.	1/10/09	38.7174515,-75.081395	
11/27/08 20:00	Bear	DE	Circle	5 minutes	Three of us witnessed a orange, glowing, round object, that was soundless, and moved slowly accross the sky from the south to the north	1/10/09	42.3124275,-111.3135382	
