DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/30/11 11:36	Ames	IA	Circle	Continued after viewing, 	White bright orb, (circular) craft in eastern sky, slow moving, at times still. Much brighter than any star, or planet, silent.	10/10/11	42.0253410339,-93.6202011108	
9/10/11 23:20	Sioux City	IA	Light	2-3 minutes	Bright orange lights taking an unusual flight pattern and then disappearing in the same area in the sky.	10/10/11	42.4998092651,-96.4209365845	
9/4/11 23:25	West Des Moines	IA	Formation	Unknown	Ten lights in a strange formation moving east over I235	10/10/11	41.5676498413,-93.7575378418	
9/4/11 21:32	Waterloo	IA	Circle	50s	4 large orange orbs moving across sky	10/10/11	42.4930992126,-92.3421478271	
9/4/11 20:45	Tama	IA	Fireball	1 minute	A fiery Red Orb like ball floated through the sky.	10/10/11	41.962059021,-92.5768280029	
9/2/11 20:45	Des Moines	IA	Unknown	1 minute	Sometime after 8:30, I went home with my mother and after parking in the driveway,  I looked up (facing north) as always. Everything se	10/10/11	41.5897903442,-93.6156616211	
8/28/11 20:30	Waukee	IA	Other	3 minutes	Bright organge light- goes off and looks atom-shaped.	10/10/11	41.6117095947,-93.885597229	
8/25/11 00:31	Des Moines	IA	Egg	7 sec	Siting looking at the stars was moving fast and steady rusty dark look no lights but had a glow and was heading west it came out of sig	10/10/11	41.5897903442,-93.6156616211	
8/23/11 21:25	West Des Moines	IA	Triangle	15 sec	One multi-lighted triangle-shaped UFO sighted over West Des Moines, Iowa at 9:25 PM on 08/23/2011 by two people driving home.	10/10/11	41.5676498413,-93.7575378418	
8/17/11 23:20	Waterloo	IA	Circle	30s	5 witnesses observed a very bright light, then the object travel outward, then changed direction for a period of 10 seconds .. then sto	8/21/11	42.4930992126,-92.3421478271	
8/3/11 00:14	Ankeny	IA	Formation	20 minutes	Triangle UFOs in formation around the New Highschool	8/7/11	41.7318382263,-93.6052627563	
7/30/11 21:10	Dubuque	IA	Light	about 10 mins?	Single bright, moving winking light and …  ((NUFORC Note:  Possible tumbling rocket/booster??  PD))	8/7/11	42.499130249,-90.663269043	
7/23/11 22:10	Clive	IA	Oval	1:00	Orange glowing ball moving slow powerd by jet like flame	8/7/11	41.6084899902,-93.7749481201	
7/23/11 15:30	Council Bluffs	IA	Triangle	2min	Object over council bluffs ia	8/7/11	41.2577514648,-95.8512115479	
7/10/11 10:06	Bettendorf	IA	Fireball	4 minutes	Saw 8 fireballs floating over Bettendorf high school in a group. After a couple minutes they dispersed. The appeared to fly or "drive"	7/17/11	41.5259017944,-90.4956283569	
7/4/11 20:30	West Des Moines	IA	Circle	3 minutes	2 red/orange spheres moving slowly appeared in des moines iowa.	7/17/11	41.5676498413,-93.7575378418	
7/3/11 23:40	Waterloo	IA	Light	1 minute	Red light in the sky over Waterloo, IA	7/4/11	42.4930992126,-92.3421478271	
6/28/11 20:00	Ames	IA	Light	10 Minutes	While taking my dogs out, I noticed a very bright light in the NW area of the sky, it was moving very slowly and at first I thought it	7/4/11	42.0253410339,-93.6202011108	
6/12/11 22:30	Waukee	IA	Circle	10 minutes	Circular ball of light moved very slowly through the sky in a straight line with no flashing lights on it.	6/20/11	41.6117095947,-93.885597229	
6/6/11 22:00	Dubuque	IA	Light	2 minutes	Bright BRIGHT BIG white light w/ 2 smaller lights blinking red and orange	6/12/11	42.499130249,-90.663269043	
5/29/11 22:00	Davenport	IA	Triangle	2.5 hours	Triangle observed hovering over davenport near regional airport	6/3/11	41.5382614136,-90.5764007568	
5/17/11 01:30	Sioiux City	IA	Triangle	15 seconds (approx.)	Was outside late at night in a slightly drizziling rain when i caught sight of a triangulare object in the sky.	5/29/11	42.4998092651,-96.4209365845	
5/16/11 22:15	Davenport	IA	Circle	1 min	Silent moving, dark, circular object with reflective bottom moving over houses in Davenport, IA.	5/29/11	41.5382614136,-90.5764007568	
5/5/11 07:00	Mount Vernon	IA	Unknown	unknown	I have a picture.	5/12/11	41.9225387573,-91.4175415039	
5/3/11 21:30	Davenport	IA	Egg	10min	Bright Light over Davenport, Iowa.	5/12/11	41.5382614136,-90.5764007568	
3/30/11 00:00	Floyd	IA	Disk	30 min	Unusual movement of unusually lit craft over Iowa farm field.	4/3/11	43.1283607483,-92.7365188599	
3/21/11 00:55	Des Moines	IA	Light	5 seconds	lights (round shaped) in a v-shaped formation (5-7 in the v formation and one on the left side and another on the right side in front o	3/23/11	41.5897903442,-93.6156616211	
3/15/11 13:10	Ruthven	IA	Circle	3 minuets	round shaped object with wing at top	3/23/11	43.1302680969,-94.8990325928	
3/14/11 21:00	Des Moines	IA	Other	30 secs	A v shaped formation maybe 20 illuminated dots seen for about 30 seconds and then dissapeared	3/23/11	41.5897903442,-93.6156616211	
