DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 00:15	Omaha	NE	Teardrop	2 seconds	A translucent helicopter shaped craft flew under the cloud covered skies for a moment and then was gone.	10/10/11	41.2606887817,-95.9405899048	
9/30/11 21:48	Omaha	NE	Chevron	1 minute	Boomerang shape, color hard to describe like hard mist	10/10/11	41.2606887817,-95.9405899048	
9/30/11 21:00	Bellevue	NE	Sphere	1 hour	Very unusual craft seen over Bellevue NE, headed for Offutt.	10/10/11	41.1364707947,-95.8930130005	
9/13/11 22:15	Scottsbluff	NE	Light	10 - 20 seconds	Fast moving UFO with 90 degree right turn around Scottsbluff, NE	10/10/11	41.8617706299,-103.662757874	
9/12/11 21:15	Omaha	NE	Triangle	1 minute	Very fast triangle type object	10/10/11	41.2606887817,-95.9405899048	
9/12/11 04:38	La Vista	NE	Light	2-4 minutes	Observed: Bright white light, about 2-3 times brighter/bigger than the brightest star at night. stationary, then moved, then vanished	10/10/11	41.1869697571,-96.0430831909	
9/11/11 22:30	Bellevue	NE	Sphere	5 min	orange and yellow sphere	10/10/11	41.1364707947,-95.8930130005	
9/3/11 22:00	Ogallala	NE	Sphere	5 minutes	orage spheres in sky over lake macconaghy	10/10/11	41.1248283386,-101.718490601	
8/11/11 11:30	Beatrice	NE	Light	3-4 hours	Light seen in Beatrice, NE changing colors, moving rapidly and producing two others.	8/21/11	40.265838623,-96.7474899292	
7/15/11 17:00	Kenesaw	NE	Disk		didn't see when taking pictures-only when downloaded	8/7/11	40.6209182739,-98.6576385498	
7/4/11 22:31	Ogallala	NE	Sphere	2-5 minutes	Yellow spheres over Ogallala	7/6/11	41.1248283386,-101.718490601	
7/4/11 22:00	Omaha	NE	Circle	10 minutes	The object was moving abnormally, with orange rectangular lights around the sides of it that went dim and then very bright.	8/21/11	41.2606887817,-95.9405899048	
7/4/11 21:53	Lincoln	NE	Light	2 minutes	I saw a bright orange light rise up from near ground-level, hover a minute, and then ascend up into the sky.	7/6/11	40.813621521,-96.7077407837	
7/4/11 21:53	Lincoln	NE	Light	2 minutes	Sorry - false alarm; the bright orange light I saw was just a flare.	7/6/11	40.813621521,-96.7077407837	
7/3/11 22:30	Waverly	NE	Light	4 minutes	Very bright orange objects	7/4/11	40.9184188843,-96.5289993286	
5/23/11 21:30	Ord	NE	Sphere	1hr-1.5hr	The red spheres dimmed and dissappeared only to be followed by more red lights appearing and staying staying stationary in the sky but	5/29/11	41.6030082703,-98.9299163818	
3/11/11 21:26	North Platte	NE	Disk	20-25 seconds	Large saucer objects relative to the size of the moon, moving slowly and disappearing.	3/23/11	41.1363182068,-100.763328552	
2/21/11 18:48	Omaha	NE	Disk	2 minutes	Bowl or saucer shaped craft in a playground	2/23/11	41.2606887817,-95.9405899048	
1/1/11 20:00	Humphrey	NE	Other	1 hour so far	Multi-colored flashing lights on an object that hovered for over an hour in the N.E. Nebraska area. ((NUFORC Note:  Sirius?  PD))	1/5/11	41.6918907166,-97.4833068848	
12/21/10 02:00	Exeter	NE	Sphere	3 hours	In a rural area, a rotating sphere with red, green, and other colored lights was sighted about 700 feet above the ground in the SW sky.	1/5/11	40.6404800415,-97.4498901367	
11/27/10 19:42	Omaha	NE	Light	2 minutes	Four orange  objects flying in East sky from South to North.	1/5/11	41.2606887817,-95.9405899048	
11/8/10 21:30	Silver Creek	NE	Light	2 min	Red-blue light over Silver Creek Nebraska stopped and changed direction	11/21/10	40.9570884705,-98.4990768433	
