DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/6/11 01:45	Cincinnati	OH	Light	3-5 minutes	I was outside smoking a cigarette when I looked down to the end of my street and saw a pulsing light. I wasn't sure if I should walk do	10/10/11	39.1066093445,-84.5045471191	
10/4/11 19:30	Van Wert	OH	Fireball	5 seconds	Fireball  with tails in Ohio	10/10/11	40.8696289062,-84.5800704956	
10/1/11 20:15	Cincinnati	OH	Sphere	15 min.	2 Glowing spheres over Cincinnati	10/10/11	39.1066093445,-84.5045471191	
9/25/11 01:10	Dayton	OH	Light	3-4 minutes	Red spherical light flew overhead in Dayton, Ohio.	10/10/11	39.7591094971,-84.194442749	
9/19/11 21:55	Cleveland	OH	Triangle	5 seconds	I was driving down a Cleveland street approaching a red light when I heard what sounded like an ambulance siren.  When checking my surr	10/10/11	41.5047111511,-81.6907424927	
9/18/11 23:00	Fremont	OH	Triangle	unknown	I SEEN A FACE PRESSED UP TO MY BEDROOM WINDOW,IT WAS A GREY COLOR WITH BIG EYES	10/10/11	41.3474006653,-83.1138534546	
9/17/11 19:45	Jackson	OH	Diamond	20-30 minutes	Two UFO's witnessed in Jackson, OH	10/10/11	39.0540809631,-82.6397476196	
9/17/11 18:30	Salem	OH	Fireball	3-4 minutes	Three round orange lights flying very close together	10/10/11	40.9009819031,-80.8560028076	
9/16/11 20:45	Hudson	OH	Light	2 minutes	Two distant orange/red lights cross sky and suddenly disappear.	10/10/11	41.2428207397,-81.4403915405	
9/10/11 22:00	Port Clinton	OH	Unknown	20-30 minutes	Stationary blinking light, changing from red to green to white in NW sky viewed in Ohio	10/10/11	41.5132904053,-82.9418716431	
9/5/11 20:45	Columbus	OH	Unknown	2 minutes	Set of bright lights close together (as if on one craft), stationary in sky, and then dart southward and disappear.	10/10/11	39.9619598389,-83.0029830933	
9/4/11 18:30	Findlay	OH	Fireball	5 minutes	multiple orange lights traveling as a group in no particular shape or pattern	10/10/11	41.0373916626,-83.6502838135	
