DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/9/11 19:30	Murfreesboro	TN	Disk	4 minutes	30 bright lights seen moving in formation in Murfreesboro, TN.	10/10/11	35.8443984985,-86.3943405151	
10/9/11 18:45	Memphis	TN	Other	10 minutes	3 UFO sightings over Memphis. Weird jelly fish like spacecrafts	10/10/11	35.1497612,-90.0492477417	
10/8/11 03:30	Knoxville	TN	Other	10 min.	4 UFOS	10/10/11	35.9604911804,-83.9209136963	
9/30/11 19:35	Knoxville	TN	Oval	5 min	West Knoxville Bright Blue Object	10/10/11	35.9604911804,-83.9209136963	
9/30/11 17:40	Piney Flats	TN	Sphere	30 seconds	Viewed three silver colored spherical objects above high voltage TVA power lines.	10/10/11	36.4183387756,-82.3039474487	
9/29/11 21:00	Memphis	TN	Light	7 min	I know that what me and my daughters witness was not airplanes it was something that we had not seen before.	10/10/11	35.1497612,-90.0492477417	
9/24/11 11:15	Maryville	TN	Triangle	1 hour	Green and red lights from a bright object moving.  ((NUFORC Note:  We suspect a sighting of a twinkling star.  PD))	10/10/11	35.7537918091,-83.9733963013	
9/23/11 16:30	Munford	TN	Disk	1 minute	my son was taking picture with his ipad over an old barn we have on our property and when he looked on one of the pictures the image th	10/10/11	35.4496002197,-89.8167190552	
9/10/11 23:44	Greeneville	TN	Light	2 hours+	The bright moving lights ranged from very low to where you would normally see a helicopter fly. The movements were very fast, back and	10/10/11	36.1627197266,-82.8311462402	
9/1/11 22:00	Signal Mountain	TN	Disk	5 minutes	ENORMOUS,Low Flying,SUPER BRIGHT Craft with 4 witnesses	10/10/11	35.1222686768,-85.3453216553	
8/30/11 20:30	White House	TN	Fireball	1 minute	Large, bright orange flickering light (fire) with surrounding white "canopy" moving rapidly east to west	10/10/11	36.4685096741,-86.6895065308	
8/29/11 23:20	Elizabethton	TN	Unknown	10 minutes	UFO over Carter County TN	10/10/11	36.3513908386,-82.2162780762	
8/28/11 20:42	Shelbyville	TN	Sphere	15 minutes	i,and my wife went to a gruduation party for a friend who graduated from collage,and we all were outdoors at our friends home all of us	10/10/11	35.4830207825,-86.4599914551	
8/27/11 03:00	Manchester	TN	Light	3 hours	Moving Star moved fast,shot across the sky and came back,hovered and then moved almost like how a snake moves.	10/10/11	35.4762382507,-86.0810165405	
8/20/11 21:30	Lenoir City	TN	Fireball	3 Minutes	Two orange lights moving East to West with no sound. 21:30 August 20th 2011	8/21/11	35.7913703918,-84.2653274536	
8/16/11 20:12	Kingsport	TN	Cylinder	45 seconds	Out on 8:05 evening walk, looked up just as shiny object came from tree line overhead, it looked like 2- 55 gal. drums, separated in mi	8/21/11	36.5477981567,-82.5604171753	
8/16/11 20:00	Kingsport	TN	Cylinder	10 seconds	Why is The Hubble Telescope flying so low?	8/21/11	36.5477981567,-82.5604171753	
8/13/11 20:00	Tazewell	TN	Cylinder	20 sec	bright white cylinder/cigar shape with a void between two equal halves	8/21/11	36.4538917542,-83.5684280396	
8/12/11 21:45	Paris Landing	TN	Sphere	20 mins	08/12/11 21:45 Paris Landing Tn. 38256  Orange lights over Kentucky Lake 16+ objects spherical	8/21/11	36.4368438721,-88.0848922729	
8/2/11 23:00	Clarksville	TN	Light	15 seconds	It moved in very odd pattern and then seemed to explode then disappear.	8/7/11	36.5307502747,-87.3597717285	
8/2/11 02:00	Memphis	TN	Cylinder	6-7 mins	VERY LOW OBJECT w/ LIGHTS, sounded like helicopter, but WAS NOT! ((NUFORC Note:  Student report.  One of several.  PD))	8/7/11	35.1497612,-90.0492477417	
8/1/11 23:00	Springfield	TN	Diamond	5 seconds	Very Bright Green Diamond Shape with a Light Green Trail	8/21/11	36.5093688965,-86.8852996826	
7/30/11 22:00	Brentwood	TN	Fireball	10 Minutes	10-30 orange fireballs over Brentwood, TN.	8/7/11	36.0325584412,-86.7891616821	
7/27/11 23:30	Nashville/Brentwood	TN	Circle	1-2 minutes	Round fiery object moving across the sky at the same speed a plane travels.	8/7/11	35.8429794312,-86.3433685303	
7/26/11 19:50	Memphis	TN	Cigar	30 mins	10 Unknown objects over Memphis.  ((NUFORC Note:  Student report.  One of several from the same source.  PD))	8/7/11	35.1497612,-90.0492477417	
7/26/11 19:50	Memphis	TN	Cigar	30 mins	10 Unknown objects over Memphis  ((NUFORC Note:  Student report.  One of several from the same source.  PD))	8/7/11	35.1497612,-90.0492477417	
7/23/11 20:52	Memphis	TN	Other	15 minutes	More Memphis UFOs-- confirmed by investigator as U/I.  ((NUFORC Note:  Student report.  One of several from the same source.  PD))	8/7/11	35.1497612,-90.0492477417	
7/22/11 21:15	Knoxville	TN	Fireball	2-3 minutes	One spherical fireball which quickly died out leaving a dark, spinning mass that drifted southwest as it descended	8/7/11	35.9604911804,-83.9209136963	
7/20/11 20:00	Memphis	TN	Cylinder	~30 mins	Objects over Memphis, 8pm mostly every night!  ((NUFORC Note:  Student report.  One of several from the same source.  PD))	8/7/11	35.1497612,-90.0492477417	
7/12/11 20:03	Memphis	TN	Cigar	Over a period of ~30 mins	More Objects Over Memphis	7/17/11	35.1497612,-90.0492477417	
7/11/11 22:00	White House	TN	Fireball	about 2 minutes	Yellow and red oval orb flying horizontally over us in the city of White House, Tennessee.	7/17/11	36.4685096741,-86.6895065308	
7/11/11 20:05	Memphis	TN	Cigar	20 mins and watching	We saw 6 separate objects flying different directions with and without airplanes and in different flight paths than the planes!	7/17/11	35.1497612,-90.0492477417	
7/4/11 22:00	Portland	TN	Circle	approximately 1 minute	Addition to Orange/Red Orb July 4th 2011	7/17/11	36.5789299011,-86.5156478882	
7/4/11 22:00	Portland	TN	Circle	approximately 1 minute	Orange/Red Orb July 4th 2011	7/17/11	36.5789299011,-86.5156478882	
7/4/11 21:15	Knoxville	TN	Fireball	60 minutes	Strange orange lights over Knoxville, TN	7/6/11	35.9604911804,-83.9209136963	
7/4/11 21:00	Fairview	TN	Light	1.5 minutes	Triangular UFO rising from Nashville and heading south at amazing speed.	7/17/11	35.9820709229,-87.1208114624	
6/30/11 21:30	Lawrenceburg	TN	Oval	3 minutes	Large white ball, very high in sky, moved very fast, light beam downward to ground, went over my home then light went out which made is	7/4/11	35.2409286499,-87.3311462402	
6/28/11 23:30	Thompsons Station	TN	Circle	2 minutes	There were two sightings of a quiet bright orange circular UFO that flew overhead at two different times.	7/4/11	35.7959403992,-86.9057922363	
6/28/11 20:30	Hermitage	TN	Triangle	3 minutes	Object with lights flying my direction in a "casual" manner and vanishes.	7/4/11	36.2151603699,-86.6082458496	
6/24/11 10:30	Elizabethton	TN	Light	3 to 5 minutes	12- 15 orange colored lights moving across the sky,in elizabethton, tn, numerous unrelated witnessess	6/27/11	36.3513908386,-82.2162780762	
