DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/6/11 21:00	Bangs	TX	Unknown	30 minutes	On 10-6-11 in Bangs Texas, there were about one hundred lights in the sky, that seemed to light up at random and then after about 10 mi	10/10/11	31.7168102264,-99.1321487427	
10/3/11 19:00	Alice	TX	Triangle	2 minutes	A triangle shaped object with three bright lights	10/10/11	27.750579834,-98.0657119751	
10/3/11 19:00	Crosby	TX	Circle	30 min	We saw two lights when we turned onto the road and they seemed to be right over each other. After we pulled over and took a picture thr	10/10/11	29.9061393738,-95.0645294189	
10/2/11 05:29	San Angelo	TX	Flash	
	Odd flash that shifted briefly	10/10/11	31.4615001678,-100.442420959	
10/1/11 09:30	Brownwood	TX	Unknown	25 min	Orange lights with blinking white lights swarming around.	10/10/11	31.7252693176,-98.9807128906	
10/1/11 06:00	San Benito	TX	Triangle	10 secunds	south texas 1 oct. v shaped silent object traveling south east dim white lights	10/10/11	26.1322994232,-97.6314163208	
9/30/11 21:51	Copperas Cove	TX	Unknown	10 seconds	second sighting sfter minutes of filing a report	10/10/11	31.1238708496,-97.9037704468	
9/30/11 21:07	Copperas Cove	TX	Other	10 seconds	2 to 3 dozen white lights in an unorganized wing or boomerang formation moving from north to south with no sound	10/10/11	31.1238708496,-97.9037704468	
9/26/11 02:45	Houston	TX	Light	1 hr 55 min +	Point of light in the sky; too bright for star, moving unlike aircraft, satellite, ba.loon or parachute.  ((NUFORC Note:  Star??  PD))	10/10/11	29.7604503632,-95.3697814941	
9/24/11 04:30	Amarillo	TX	Circle	Hour	Two bright flashing round objects moveing in all directions then stoping ubruptly	10/10/11	35.2072486877,-101.833892822	
9/23/11 18:00	Lubbock	TX	Light	2 hours roughly	2 Bright Lights in the West Texas	10/10/11	33.5845108032,-101.84500885	
9/19/11 17:30	Lake Jackson	TX	Cigar		On the way to take someone to work they seen a Cigar shaped rocket.It was White,Silver,and Red. I was like 25 foot long and like 10 sto	10/10/11	29.0343704224,-95.4463119507	
9/17/11 04:31	Fort Worth	TX	Circle	2 minutes	Red LED lite @ incredible speed, approached saw circular sheer curtain of opalecent color 6 rays glowed around circle	10/10/11	32.7488517761,-97.3293914795	
9/17/11 02:42	Plano	TX	Oval	2 seconds	Oval Greenish-White Light with sparks	10/10/11	33.0207901001,-96.6992111206	
9/12/11 20:12	League City	TX	Sphere	3 seconds	Possible UFO sighting traveling on I-45 towards Galveston.	10/10/11	29.5024700165,-95.0945510864	
9/12/11 14:45	La Porte	TX	Circle	5 minutes	Bright white circular object flying around in broad daylight	10/10/11	29.6524906158,-95.0248031616	
9/10/11 22:43	Lantana	TX	Changing	6 mins	Bright Blue craft over Lantana, TX	10/10/11	26.1928005219,-97.5785980225	
9/10/11 20:45	Allen	TX	Egg	5 seconds	I was walking my dog down my block in this evening like I always do. As I came to the end of my block, I looked up and saw green blue p	10/10/11	33.100151062,-96.6744918823	
9/10/11 02:20	Houston	TX	Sphere	20 minutes	Very bright object moving all around quickly at times and slow at some times.	10/10/11	29.7604503632,-95.3697814941	
9/7/11 21:00	Pflugerville	TX	Formation	10 seconds	Craft w/ 2-3 yellowish-orange lights flies slowly parallel to horizon then suddenly flies down below horizon/trees at impossible speed.	10/10/11	30.4405593872,-97.6199264526	
9/7/11 20:10	Friendswood	TX	Fireball	5 seconds	Large red/yellow fireball seen low in the horizon over Houston, TX  area	10/10/11	29.5300102234,-95.2002410889	
9/5/11 21:25	Copperas Cove	TX	Triangle	30 seconds	Triangle shaped craft with six lights flying silently at approx 250 mph at 550 ft traveling north to south.	10/10/11	31.1238708496,-97.9037704468	
9/5/11 00:45	Baytown	TX	Unknown	3 minutes	Three large bright lights in the sky, unexplainable.	10/10/11	29.7283992767,-94.9969482422	
9/4/11 05:45	McKinney	TX	Light	5 seconds	Bright light appeared in sky, illuminating tree as if it wee a helicopter shining a searchlight.  Then a bright white light in the shap	10/10/11	33.1989517212,-96.6149902344	
9/4/11 04:00	Dallas	TX	Fireball	instantaneously	Bright, white, continuously burning light ball speeding over downtown Dallas.	10/10/11	32.7781486511,-96.7954025269	
9/4/11 02:45	Coppell	TX	Light	5 seconds	((HOAX??))  A light from the sky, with no sound, and this was clearly squared , it was a soft scanning light like a copier machine	10/10/11	32.9767303467,-96.9900817871	
9/4/11 01:20	Carrollton	TX	Unknown	2 Minutes	Bright Blue Fork Shaped object with flames.	10/10/11	32.9755516052,-96.8902282715	
9/3/11 20:40	Katy	TX	Rectangle	50 minutes	Red light hovering in sky then moved away at incredible speed.	10/10/11	29.7877197266,-95.8233337402	
9/3/11 09:00	Round Rock	TX	Light	1 minute	A ball of light larger than a commercial airliner.	10/10/11	30.5090408325,-97.6772232056	
9/2/11 22:00	San Antonio	TX	Triangle	10 seconds	Triangular Unidentified Object with lights covering all 3 sides flying at medium speed	10/10/11	29.424489975,-98.4946212769	
9/2/11 21:00	Lubbock	TX	Light	2 min	White Light over Lubbock Texas 23:00 Sept. 2, 20111	10/10/11	33.5845108032,-101.84500885	
9/1/11 23:20	Brownfield	TX	Light	2 min	Fast-moving, pulsing orange light. Silent and erratic movements over northern Texas	10/10/11	33.1797485352,-102.275047302	
8/31/11 01:00	Hooks	TX	Light	06:00	U are more than welcome to come and see this for yourselves.. It occurs nightly.	10/10/11	33.473941803,-94.2892913818	
8/29/11 05:45	Alvin	TX	Diamond	three min.	METOR  STREAKS ACROSS THE SKY AND STOPS IN MID AIR AND STARTS BLINK A SILVER LIGHT THEN FLY AWAY.	10/10/11	29.4238300323,-95.2451019287	
8/27/11 12:10	Field Store	TX	Rectangle	2 min	white rectangle objects slowly disapeared after moving from side by side to one above the other.	10/10/11	30.1447219849,-95.9561080933	
8/26/11 20:30	Galveston	TX	Light	30 seconds	On Aug, 26, a bright, silvery-white light was observed; it appeared and disappeared three times in the due east at about 60-65 degrees.	10/10/11	29.2953205109,-94.8079071045	
8/26/11 00:45	Houston	TX	Flash	30 seconds	In a flash it was gone.	10/10/11	29.7604503632,-95.3697814941	
8/23/11 17:50	Shallowater	TX	Circle	1+ hour	2 silver/white objects. one to the north, one to the northwest.original report was at 7:49pm cdt, and I took a video and reported i	10/10/11	33.6910209656,-102.000297546	
8/23/11 12:45	San Antonio	TX	Other	front of house	white dod, look like a plastic bag and jelly fish.	10/10/11	29.424489975,-98.4946212769	
8/21/11 12:00	Mansfield	TX	Cylinder	one minute	Cylindrical object seen in Tarrant County TX	8/21/11	32.5643806458,-97.1419372559	
8/17/11 14:00	Waco	TX	Rectangle	7-8 min.	Rotating rectangular metallic object sighted by 6 witnesses for 7-8 minutes.	8/21/11	31.5718193054,-97.1494979858	
8/17/11 02:30	El Paso	TX	Circle	20 minutes	Circular light above clouds in circular pattern over El Paso, Texas	8/21/11	31.7591590881,-106.487487793	
8/14/11 21:15	Seguin	TX	Triangle	3 minutes	black triangle hovering near auxillary airfield in seguin texas	8/21/11	29.5692691803,-97.9646530151	
8/12/11 22:00	Houston	TX	Triangle	5-6 seconds	I saw 3 softly glowing, unblinking orange lights in a triangle formation as it flew without a sound by quickly.	8/21/11	29.7604503632,-95.3697814941	
8/12/11 21:00	Galveston	TX	Light	3 min.	Bright white light viewed from 1 mile for 3 min. with 20x100mm binoculars which passed overhead/no noise.	8/21/11	29.2953205109,-94.8079071045	
8/10/11 22:30	Del Rio	TX	Light	about 8 seconds	One white light with few red lights moving very slowly then disappearing fast in the sky	8/21/11	29.3662395477,-100.898178101	
8/8/11 22:30	Dallas	TX	Triangle	30-45 sec	Smallish triangular "floating?" northwest direction, red, blue, yellow lights on corners, low flying.	8/21/11	32.7781486511,-96.7954025269	
8/6/11 00:00	Round Rock	TX	Circle	long	My wife and i last night saw a very bright star light object (not a star).It was just moving up very slowly.Im not sure if it was the s	8/7/11	30.5090408325,-97.6772232056	
8/5/11 05:15	Sugarland	TX	Rectangle	12 seconds	Slow rectangular bright iridescent object in Texas sky.	8/7/11	29.6329593658,-95.5994491577	
8/4/11 03:45	Nacogdoches	TX	Triangle	2m-100m	V Shaped - Dark Metallic - Recessed Lights - Lights made of Liquid - Possible 'Gain' of Time or Interference with watch  500 Lights On	10/10/11	31.6035804749,-94.6556167603	
8/4/11 00:00	Round Rock	TX	Circle	2-4h	Circle Object Round Rock Tx	8/21/11	30.5090408325,-97.6772232056	
8/3/11 21:00	Eagle Pass	TX	Oval	30. min	3 Fast moving orange objects that made a loud noise as it moved	8/7/11	28.7092399597,-100.499549866	
