DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/18/11 20:15	Alpine	UT	Circle	3 minutes	Red, circular object floating above Alpine, Utah...STRANGE!	10/10/11	40.4538612366,-111.777801514	
9/7/11 00:22	Heber City	UT	Disk	>3 Minutes	11 lights on unexplained object hovering for several seconds silently close up.	10/10/11	40.5082893372,-111.413459778	
9/2/11 21:50	Salt Lake City	UT	Circle	4 minutes	3 very bright Orange crafts,  Very low and moving in a triangle formation.  One by one they shot upward and disappered	10/10/11	40.7594985962,-111.88822937	
8/31/11 14:00	Idaho/Utah border	UT	Cigar	4-5 seconds	OBJECT SEEN BY PASSEGER ON COMMERCIAL FLIGHT OVER IDAHO/UTAH BORDER	10/10/11	
8/25/11 14:00	Bonneville Salt Flats	UT	Other	35 minutes	Object over Bonneville Salt Flats	10/10/11	40.8254852295,-113.796226501	
8/20/11 21:00	Provo	UT	Light	1 minute	We saw a mysterious light in the night sky that we cannot explain.	8/21/11	40.2337608337,-111.668510437	
8/8/11 10:30	Kearns	UT	Chevron	15 + Minutes	Blue, purple and green craft hovering and flying up and down around Kearns, UT 8/8/2011	8/21/11	40.6530799866,-111.969818115	
8/7/11 22:30	Payson	UT	Light	5 min	Pulsing bright white lights, circle object in the night sky, moved in circles, up and down-left to right,went straight down disappeared	8/21/11	40.043598175,-111.739059448	
8/2/11 23:20	Holladay	UT	Light	2 minutes	Two bright, white lights were seen in formation, and possibly exiting Earth's atmosphere, late Au. 2nd over the Salt Lake Valley.	8/7/11	40.671421051,-111.824562073	
7/12/11 10:54	Clive	UT	Cigar	25 min	25+ mins: Hovering crafts seen near lakeside military area/ Clive Utah	7/17/11	40.7133407593,-113.122558594	
7/5/11 22:25	Utah Valley	UT	Circle	15 sec	Strange opaque light went from left side of the road to right side, disappearing before going to the opposite side.	7/6/11	40.2750091553,-111.713516235	
7/4/11 22:40	Ogden	UT	Light	10 minutes	Orbs sighted in mountains east Ogden	7/6/11	41.2223587036,-111.970458984	
7/1/11 10:00	Riverdale	UT	Circle	1 minute or more	soft white or opaque circular object	7/4/11	41.1766891479,-111.99269104	
6/25/11 00:00	Levan (Yuba State Park)	UT	Light	5 seconds	Bright light flying out of our atmosphere above Yuba Lake, UT.	7/4/11	39.5588417053,-111.864776611	
6/14/11 22:30	Lindon	UT	Rectangle	3 mins	Bright object moving through sky over Utah.	6/20/11	40.3408699036,-111.71938324	
6/5/11 02:15	Ogden	UT	Other	2 sec. if that	Bright green flash of light, oval shaped with petals like you would see on a flower, no tail only lasted a second.	7/4/11	41.2223587036,-111.970458984	
5/30/11 21:00	Herriman	UT	Fireball	5 mins	Orange "flame" light over Herriman, UT	6/3/11	40.5141716003,-112.033493042	
5/21/11 01:00	Farmington	UT	Light	5 minutes	A bright light was seen very close to my property behind a stand of poplars, staying on for 30 seconds and then suddenly going off.	5/29/11	40.9831085205,-111.887557983	
