DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 23:00	Central	VA	Triangle	varies	Single bright light giving way to strange flickering lights, moving very slowly	10/10/11	39.3456306458,-81.5229034424	
10/8/11 22:00	Warrenton	VA	Chevron	1 minute	Weird lights in sky over Virginia farm.	10/10/11	38.7136192322,-77.7955093384	
10/8/11 22:00	Warrenton	VA	Formation	2-3 minutes	Strange lights above Warrenton,Virginia.	10/10/11	38.7136192322,-77.7955093384	
10/5/11 19:40	Alexandria	VA	Other	4-5 seconds	Sitting out on deck. Sky pretty dark for urban area. Looking with 12x60 binoculars in the "summer triangle" for asterism called the "co	10/10/11	38.804561615,-77.0430831909	
10/4/11 04:00	Fredericksburg	VA	Fireball	4 seconds	Entering highway 95 headed toward DC, I saw a extra large ball of fire streak across the sky and it was so fast...  I have seen shootin	10/10/11	38.3008918762,-77.4591369629	
10/3/11 22:30	Fredericksburg	VA	Triangle	3 - 5 minutes	Monday, October 03, 2011 Time:  Approximately 10:30 pm EST.Place:  Fredericksburg, VA  Sighting Report:  This evening at approximat	10/10/11	38.3008918762,-77.4591369629	
9/16/11 05:30	Clifton Forge	VA	Sphere	10-15 seconds	Two Golden Self-Luminous Spheres Fly in Formation	10/10/11	37.8160896301,-79.8246231079	
8/31/11 21:17	Lynchburg	VA	Other	3 minutes	The object, a bright white “T” shaped light, was seen moving across sky very smoothly, staggering side to side changing pace. After abo	10/10/11	37.4140205383,-79.1428375244	
8/26/11 20:00	Virginia Beach	VA	Circle	About 3 minutes	Possible UFO sighting. Unknown. Orange/dimming ball. Went across the beach towards the ocean.	10/10/11	36.7550201416,-76.0591964722	
8/22/11 22:25	Warrenton	VA	Sphere	approx. 1 min	brilliant round white light,  larger than the following helicopter	10/10/11	38.7136192322,-77.7955093384	
8/22/11 14:00	Highland Springs	VA	Formation	4 minutes	I have never seen anything like this after years of watching planes fly near the Airport.	10/10/11	37.5456581116,-77.3273010254	
8/20/11 22:00	Falls Church	VA	Light	5 min.	Two reddish-orange lights moving south to north, one after the other within 5 min., near Falls Church, VA	8/21/11	38.8854904175,-77.1736221313	
8/19/11 00:08	Virginia Beach	VA	Oval	10 seconds	Blue oval object over ocean in front of a lightning storm move at a high rate of speed.	8/21/11	36.7550201416,-76.0591964722	
8/15/11 09:00	Clifton Forge	VA	Light	5 seconds	Neon Green light moving fast threw low hanging clouds.	10/10/11	37.8160896301,-79.8246231079	
8/14/11 11:51	Blacksburg	VA	Other	2 minutes	Satellite like object too bright and not blinking (not a craft)	8/21/11	37.2262611389,-80.4105834961	
8/11/11 23:05	Virginia Beach	VA	Fireball	2 minutes	Fire ball off I-264	8/21/11	36.7550201416,-76.0591964722	
8/11/11 23:00	Roanoke	VA	Disk	20 seconds	THREE SHIPS MOVING IN FORMATION WITH EACH OTHER.  1 WHITE 2 RED DISK SHAPE CRAFT WITH A STRANGE AURA AROUND THEM.	8/21/11	37.2715187073,-79.9405288696	
8/4/11 00:23	Fairfield	VA	Flash	1-2 sec	My friend was driving me home and in the tree line right in front of us something pass over the road at a rapid rate of speed.	8/7/11	37.8799591064,-79.2883224487	
8/3/11 15:18	Fredericksburg	VA	Light	2 seconds	Small ball of light in western sky	8/7/11	38.3008918762,-77.4591369629	
8/3/11 12:31	Alexandria	VA	Disk	17.5 Mins	Epic sighting man....	8/7/11	38.804561615,-77.0430831909	
8/1/11 22:15	Newport News	VA	Light	20 Seconds	Bright light high in sky that went out to a very dim red light traveling north to southwest just west of the dipper.	8/7/11	37.0828781128,-76.4802322388	
8/1/11 01:00	Danville	VA	Unknown	2 hours	Obvious non-human air craft	8/7/11	36.5859794617,-79.4171981812	
7/23/11 16:00	Fredericksburg	VA	Cigar	30 seconds	Large wingless aircraft	8/7/11	38.3008918762,-77.4591369629	
7/17/11 15:45	Ashburn	VA	Cigar	7 seconds	black cigar/rectangular shape, silent. no wings. winks out along flight path	8/7/11	39.0516281128,-77.4831466675	
7/11/11 03:00	Woodbridge	VA	Cross	20 mins	UFO flying high in sky moving all four directions for a prolonged period of time	7/17/11	38.6605911255,-77.2478713989	
7/4/11 21:45	Lynchburg	VA	Light	3-4 minutes	Tonight myself and my son went to watch the 4th of July fireworks display at the local baseball stadium. We parked on a street behind a	7/6/11	37.4140205383,-79.1428375244	
7/3/11 21:50	Harrisonburg	VA	Cylinder	10 min	An Orange/red vertical cylinder shape ascended slowly and vertically keeping its shape during a fireworks display.	7/4/11	38.4515304565,-78.8690414429	
7/1/11 22:30	Ashland	VA	Light	5 to 10 minutes	Three orbs of light move into sky and stop, a larger white orb appears and moves slowly left and down, then right and down into trees.	7/4/11	37.7588500977,-77.4793395996	
6/21/11 23:00	Virginia Beach	VA	Light	5 minutes	There was a bright red light that shot straight up out of the water on the ocean side of the Cheasapeake Bay Bridge Tunnel.	8/21/11	36.7550201416,-76.0591964722	
6/15/11 21:15	Ocracoke	VA		10(ish) seconds	((HOAX??))  Red-yellow Objects hovering under full moon.	8/7/11	37.1094093323,-76.4074783325	
6/13/11 20:15	Hillsville	VA	Cigar	30 minutes	10 unidentified cigar-shaped crafts "glide" over Hillsville, VA	6/20/11	36.7694091797,-80.7387619019	
5/25/11 21:15	Leesburg	VA	Formation	3-5 mins.	3 rapidly blinking (shimmering) lights in formation	5/29/11	39.1156692505,-77.5652999878	
5/12/11 01:37	Alexandria	VA	Fireball	10-12 sec	My daughter and I were driving southbound on Route 1 richmond highway pass the intersection of lockheed blvd and route 1 from the left	5/29/11	38.804561615,-77.0430831909	
5/9/11 22:46	Radford	VA	Unknown	1minute 30 sec.	Bright bluish green lights that illuminated the NW sky with no apparent source for the light.	5/12/11	37.1206893921,-80.5899581909	
5/4/11 22:10	Prince George	VA	Light	3 minutes	An object that resembles a star that slowly gets brighter, moves slowly, and then speeds up, fades. ((NUFORC Note:  ISS?  PD))	5/12/11	37.2204284668,-77.287612915	
5/4/11 21:40	Wirtz	VA	Circle	1min.	The objects were circular with no blinking lights but they had a white light and stayed the same speed with each other then vanished	5/12/11	37.0718803406,-79.8851776123	
5/3/11 21:00	Caret	VA	Light	30 seconds	it was a bright light and it zig zagged then it dissappeared	5/12/11	37.9812393188,-76.9570007324	
5/1/11 01:45	Richmond	VA	Formation	20	Three white lights counter clockwise in sky making a Y shape.	5/2/11	37.5406990051,-77.4336471558	
4/23/11 11:39	Pembroke	VA	Oval	23 seconds	An oval hover craft was above one of the buildings in Pembroke. It has lights going around in a circle. It went in a circle one more ti	5/2/11	37.3206710815,-80.6317367554	
4/22/11 08:45	Fredericksburg	VA	Unknown	2min	way to big to be a chopper ,about 1000 yds away,twice as high as the trees,we all saw it	5/2/11	38.3008918762,-77.4591369629	
