DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/9/11 22:56	River Falls	WI	Fireball	1 1/2 Minutes	2 yellowish/orange objects passing from south the northwest in western wisconsin	10/10/11	44.2985723,-90.8470866	
10/9/11 18:15	Waukesha	WI	Disk	
	Half-moon disc with orange light	10/10/11	43.0125116,-88.2384259	
10/7/11 21:35	Lake Geneva	WI	Sphere	1 minute	Orange ball of light making no sound crosses sky in a south-to-north transit	10/10/11	42.5886281,-88.4298189	
9/16/11 22:30	Lyndon Station	WI	Fireball	10 mins	Large red flashing light moving quickly across the horizon.	10/10/11	43.7099766,-89.8945699	
9/10/11 21:00	Baraboo	WI	Circle	21 min	Several sightings in one night in same area...	10/10/11	43.4685944,-89.7415129	
9/8/11 21:00	Milwaukee	WI	Unknown	5 seconds	My son and his friend was sitting out side and they both seen flashing lights passing rapidly through the sky. He was very scared by wh	10/10/11	43.0389025,-87.9064736	
9/3/11 22:00	Wisconsin Dells	WI	Light	15	Five Bright Lights moving over the Wisconsin Dells.	10/10/11	46.1799532,-90.9862962	
9/2/11 20:22	Waupaca	WI	Sphere	approx 1min	I saw two reddish orange balls of light fly over head.	10/10/11	44.3547016,-89.0756687	
8/27/11 19:00	Hartland	WI	Fireball	2 minutes	I was driving home and saw a bright orange object that looked like a fireball in the sky.  I was driving west at the time.  As I looked	10/10/11	44.645523,-92.4415764	
8/20/11 20:45	Cedarburg	WI	Fireball	2 minutes	Fireball Seen in Sky	10/10/11	43.2966715,-87.9884231	
8/19/11 22:00	Appleton	WI	Disk	4 seconds	Appleton, Wisconsin UFO Silhouette Descending Towards Downtown.	10/10/11	44.271931,-88.3976066	
8/17/11 21:00	Janesville	WI	Sphere	2 Minutes	Orange sphere in Janesville, WI moving North, then NNE.	8/21/11	42.6847329,-89.0156667	
8/17/11 20:45	Oak Creek	WI	Triangle	21:00	Three triangle lights plus one separate light	8/21/11	42.8822391,-87.8973039	
8/14/11 23:18	Baraboo	WI	Fireball	3 min	4 to 5 Firey flying objects, stopping then fading away,   8-14-2011 11:18 P.M. Baraboo,Wisconsin	8/21/11	43.4685944,-89.7415129	
8/11/11 17:58	West Salem	WI	Circle	5 sec	Round sphere moving fast through the sky.	8/21/11	43.8985766,-91.0818022	
8/5/11 23:00	Winter	WI	Fireball	1-2 min max	Firey colored spherical moving object with unheard of propalsion	8/21/11	45.7660736,-90.8851575	
8/4/11 22:10	Winter	WI	Rectangle	5 minutes	Flying fire rectangular object	8/21/11	45.7660736,-90.8851575	
7/31/11 23:00	Kenosha	WI	Light	4 minutes	Two red light/balls buzz Waukegan to Kenosha and disappear to the east over Lake Michigan.	8/7/11	42.5841868,-87.85452	
7/30/11 21:20	Wind Lake	WI	Fireball	15 minutes	Glowing ball with a red glowing top. They appeared to be translucent.  Disappeared quickly.	8/7/11	45.2885747,-92.5388107	
7/30/11 20:30	Oconomowoc	WI	Light	30 seconds	Two lights following a third, rotational maneuvering	8/7/11	43.158061,-88.4714876	
7/25/11 22:50	Mayville	WI	Light	Less then 45 secs	2 EXTREMELY fast moving objects 20secs. apart taking the exact same path as though they were in a flight pattern.	8/7/11	43.4983276,-88.5462127	
7/23/11 21:34	Cedarburg	WI	Light	1 minute	Two amber lights over Cedarburg, WI.	8/7/11	43.2966715,-87.9884231	
