DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/9/11 01:30	Romney	WV	Other	2 hours	Object never moved but  just stay n one place blinkiing red and blue lights, in Romney '  ((NUFORC Note:  Possible star??  PD))	10/10/11	39.2924347,-78.788089	
10/2/11 19:27	Mayaguez (Puerto Rico)	WV	Circle	2 min	((HOAX??))  Sighting occurred at an alt. approx.  of 3000' above sea level in mid valley. Obj. was emitting a bright orange light.	10/10/11	
9/2/11 21:00	Spencer	WV	Light	60 seconds	The object was a bright light with a smaller one atop it moving erritacally plus fast then slow it moved S.E.	10/10/11	38.8025283,-81.355061	
8/29/11 22:50	Morgantown	WV	Triangle	20 seconds	Y-shaped or triangular object in the sky overhead, traveling westward.	10/10/11	39.6392195,-79.945983	
8/5/11 23:00	Woodstock	WV	Formation	For a few hours	Bright lights in a formation in the sky, and I believe I was abducted.	8/7/11	
7/28/11 12:20	Princeton	WV	Oval	2 seconds	neon blue orb streaking by Size of the moon almost at about 4 500 feet up in the air for 2 seconds the completely disappeared	8/7/11	37.3689039,-81.096068	
7/13/11 22:00	Dunbar	WV	Light	30 minutes	Orange light over Charleston, WV area	7/17/11	38.3687458,-81.734511	
7/10/11 08:30	Marlington	WV	Circle	2 min	Was outside in the yard and saw a bright light moving slowly, looked away for a second and it was gone.	7/17/11	
7/4/11 22:10	Wheeling	WV	Oval	5 min	yellow or orange lights east bound on I-70 over wheeling wv.	7/6/11	40.0751958,-80.695363	
6/25/11 22:00	Clarksburg	WV	Light	then to current	STRANGE MOVING LIGHTS...	6/27/11	39.2714945,-80.361819	
6/11/11 22:30	Wheeling	WV	Light	5 minutes	8 yellow lights floating over horizon	6/12/11	40.0751958,-80.695363	
6/11/11 21:00	Fairmont	WV	Fireball	5 minutes	6/11/2011 West Virginia fireballs in the evening sky.	6/20/11	39.4769236,-80.148634	
5/27/11 21:05	Elkins	WV	Circle	1 minute	My wife was outside smoking a cigarette while I was in my office.  She knocked on window and I immediately went outside because she had	5/29/11	38.9241932,-79.852943	
5/14/11 09:00	Elkins	WV	Light		I just got home last night. When I was getting out of the car. I looked on the sky and there was these 4 bright orange light flying in	5/29/11	38.9241932,-79.852943	
3/22/11 21:50	Shady Spring	WV	Rectangle	5 minutes	Self-contained glass box of fire	3/23/11	37.7056722,-81.0984293	
2/18/11 10:00	Barboursville	WV	Light	2 minutes	There was a weird sound and blue flashing light.	2/23/11	38.4061659,-82.297176	
2/16/11 00:30	Benwood	WV	Cigar	Minute or less	Bright, large white light & also green light.	2/18/11	40.0139245,-80.732903	
1/1/11 00:00	Clarksburg	WV	Oval	5 mins	three orange glowing balls.	1/5/11	39.2714945,-80.361819	
11/13/10 17:30	Keyser	WV	Light	7 seconds	I was in the back yard running my dogs and talking to my father on the phone when I sighted a light moving east to west approx. 5000 ft	11/21/10	39.4397109,-78.982275	
10/9/10 04:00	Martinsburg	WV	Unknown	6 seconds	huge blue light 50-80 feet wide in sky that lasted 3-6 seconds.	11/21/10	39.4581569,-77.977678	
9/4/10 19:00	Huntington	WV	Circle	1 minute	Circular black object with single bright white light, hovering, turning, then moving at incredible speed.	11/21/10	38.4192496,-82.445154	
9/3/10 01:00	Pond Gap	WV			((HOAX))  ufo in site over my house right now.09/03/10 at 1:00 am oval rotating shaped craft very bright beams	11/21/10	38.2751039,-81.2990019	
8/22/10 05:18	Brandywine	WV	Light	1.5 Minutes	Between 0515-0520 a bright light much brighter than the stars was spotted five miles outside NIOC Sugar Grove, a Naval communicati	8/24/10	38.6248402,-79.2447608	
8/22/10 01:00	Pond Gap	WV	Oval		i have pictures of ufo's not sure what to do with them!they are truly amazing!	8/30/10	38.2751039,-81.2990019	
