DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/20/11 19:55	Yellowstone National Park	WY	Changing	3 MIN 20 SEC	MANY SMALL & ONE LARGE OBJECT SITED OVER YELLOWSTONE NATIONAL PARK	10/10/11	44.6412998608,-110.448303223	
9/12/11 20:30	Casper	WY	Circle	45 min	It Was circular and had red green blue and purple lights.  ((NUFORC Note:  Possible sighting of a twinkling star??  PD))	10/10/11	42.8401364,-106.32184	
8/31/11 00:00	Rock Springs	WY	Light	5 min	Bright White like star moving plane speed, shifted side to side then was gone.	10/10/11	41.5958641,-109.22367	
8/20/11 23:00	Casper	WY	Light	2 minutes	A light about the brightness of a star doing figure eights and circles.	8/21/11	42.8401364,-106.32184	
8/5/11 18:13	Cheyenne	WY	Circle	15 to 20 min.	8/5/11 I observed five round brightly colored objects moving sw to ne quietly at great speed.	8/7/11	41.1399814,-104.8202462	
7/20/11 22:13	Casper	WY	Light	30 seconds	Object traveled across sky, rapidly accelerated, and disappeared.	8/7/11	42.8401364,-106.32184	
6/25/11 23:30	Yellowstone National Park	WY	Flash	2 seconds	Bright light over car	7/6/11	44.6412998608,-110.448303223	
6/16/11 23:30	Green River	WY	Sphere	45 seconds	Two red orbs traviling west, over Green River, Wyoming.	6/20/11	43.2824478,-109.8309922	
6/3/11 15:00	Mills	WY	Circle	40 sec.	2 round objects spotted, broad daylight.  White in color and moving very fast.  Flying together.  No wings	6/3/11	42.8451209,-106.38078	
4/1/11 21:10	Cheyenne	WY	Light	5 seconds	2 groups of lights rapidly moving north over Cheyenne Wy	4/3/11	41.1399814,-104.8202462	
2/22/11 18:00	Cody	WY	Light	2 min	Bright light.  ((NUFORC Note:  Overflight of ISS occurred at 19:05 p.m..  PD))	2/23/11	44.5196276,-109.05509	
2/21/11 19:00	Glenrock	WY	Light	4 min.	Very bright object the size of a close encounter with Mars moved rapidly across the sky.	2/23/11	42.8571031,-105.86086	
1/17/11 20:00	Casper	WY	Sphere	6 hours	Multiple, white, sphericle craft pretending to be stars that stay still sometimes & move other times over Casper, Wy	1/31/11	42.8401364,-106.32184	
12/17/10 18:15	Buffalo	WY	Disk	3 seconds	Black dinner plate size crab like object that moved on the ground.	1/5/11	42.0816252,-108.5212173	
12/13/10 18:24	Gillette	WY	Fireball	10 seconds	Large White/Green Object Descends over Gillette, Wyoming,  No known Impact	1/5/11	44.2798919,-105.51076	
10/15/10 02:30	Cheyenne	WY	Light	15 minutes	U.F.O in Cheyenne, Wyoming	11/21/10	41.1399814,-104.8202462	
8/29/10 21:20	Cokeville	WY	Formation	3 minutes	An object with lights hovered in the night sky for 3 minutes	8/30/10	42.0839686,-110.95528	
8/6/10 00:30	Cheyenne	WY	Other	5 minutes	Two pulsating large yellow-white lights with bulbous and tall center between lights	8/30/10	41.1399814,-104.8202462	
7/18/10 23:00	Lander	WY	Unknown	2 mins	My son and I were looking at stars when we saw a fast moving light high in the sky traveling very fast in a circle then it suddenly dis	7/19/10	42.8309956,-108.7304	
6/6/10 02:45	Gillette	WY	Light	3:15	Multiple white soaring lights in one section of sky.	6/10/10	44.2798919,-105.51076	
4/30/10 21:30	Evansville	WY	Circle	45 minutes	Strange Craft By North Casper	5/12/10	42.8722915,-106.25889	
4/29/10 20:45	Cheyenne	WY	Light	7 minutes	Slow moving, silent,  bright light travels over Cheyenne WY	5/12/10	41.1399814,-104.8202462	
4/10/10 21:00	Cheyenne	WY			I accidentally entered the wrong date on my report that I just submitted.  It was on 04/10/2010 instead of 04/09/2010	4/13/10	41.1399814,-104.8202462	
4/10/10 21:00	Cheyenne	WY	Triangle	minutes	2 low slow flying black triangles	4/13/10	41.1399814,-104.8202462	
9/23/09 04:30	Cheyenne	WY	Oval	5 seconds	Bright light shooting across the sky	12/12/09	41.1399814,-104.8202462	
7/21/09 22:15	Laramie	WY	Circle	45 seconds	Bright white light.  ((NUFORC Note:  Probable sighting of ISS, which passed to the north of Laramie at 22:15 hrs..  PD))	8/5/09	41.3092304,-105.61082	
7/8/09 04:25	Powell	WY	Circle	10 sec.	I was sitting outside on the front porch of my dorm enjoying a cigarette with a friend when I looked up and saw what I thought was a si	8/5/09	44.3538551,-107.1475646	
6/7/09 00:30	Cheyenne	WY	Light	Three minutes	I looked out my bedroom window and saw an object in the sky that was changing colors quickly, the lights were neon. It sat in the sky f	6/9/09	41.1399814,-104.8202462	
