DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/10/11 15:00	Groton	CT	Disk	Less than 5 seconds	Small shiny object seen in sky while driving on clear day, looked back for a 3rd time and it was gone.	10/10/11	41.3500984,-72.0784092	

10/9/11 17:20	Columbia/Mansfield	CT	Formation	10	Red light seen in triangular formation that appeared to rotate	10/10/11	

10/7/11 20:45	West Hartford	CT	Chevron	2 min	bomerrand - plusing and glowing red - transparent and quick 90 degree turns	10/10/11	41.7620447,-72.7420399	

10/5/11 20:00	Norwalk	CT	Changing	3 hours	Multiple morphing UFO's in the skies from Trumbull to Norwalk 10/5/11-10/7/11	10/10/11	41.1175966,-73.4078968	

10/5/11 05:10	Oakville	CT		5 mins.	While walking my dog I noticed a bright orange object which I thought to be Mars. However, as I was looking at it, it grew brighter, an	10/10/11	41.5934302,-73.0853867	

9/28/11 22:45	Manchester	CT	Flash	15 mins	on the above date and time at 2245 pm driving home off I-84 manchester glowing pulsating light above rain clouds it was raining hard in	10/10/11	41.7759324,-72.5214755	

9/24/11 22:30	Stratford	CT	Other	5 minutes	Several orange lights moving in unison across the night sky.	10/10/11	41.2045413,-73.1298318	

8/17/11 21:30	Cromwell	CT	Light	15 min	3 fast moving lights	8/21/11	41.6098212,-72.6631489	

8/17/11 16:00	Cromwell	CT	Light	10 minutes	White light Southeast of Cromwell, CT	10/10/11	41.6098212,-72.6631489	

8/12/11 00:30	Derby	CT	Light	20-25 minutes	Multiple colored object moving extremely slow through the sky	8/21/11	41.3267634,-73.0823304	

7/31/11 21:00	Milford	CT	Oval	10-15 seconds	Bright orange, silent orb, moving steadily but not real fast across the sky	8/7/11	41.2223194,-73.0564953	

7/30/11 22:54	Waterbury	CT	Fireball	ten minutes	Orange lights over waterbury CT	8/7/11	41.5581525,-73.0514966	

7/30/11 21:35	Newington	CT	Circle	came from north and went 	1 orange lights over Newington, CT	8/7/11	41.687322,-72.7300955	

7/30/11 21:00	Prospect	CT	Circle	15 MINUTES	8 orange glowing circles float across the sky flying low	8/7/11	41.4995414,-72.9753828	

7/27/11 02:00	Norwalk	CT	Light	50 min	Blinking Bright Star/object, at  lower alltitude than normal at stand still/ moving very subtully through the night sky.	8/7/11	41.1175966,-73.4078968	

7/13/11 20:30	Newtown	CT		20 minutes	On 7/13/11 at approximatly 8:30PM while cruising on Lake Zoar, eight responsible adults saw at least seven cylindrical metallic craft g	7/17/11	41.3984289,-73.2931723	

7/10/11 17:00	Bridgeport	CT	Light	5 seconds	Small bright light traveling Northwest over clear blue sky.	7/17/11	41.1670412,-73.2048348	

7/4/11 23:00	Waterbury	CT	Disk	5 minutes	Four yellow/orange lights over Waterbury, CT on 7/04/2011 about 11:00pm	7/6/11	41.5581525,-73.0514966	

7/4/11 22:00	Middletown	CT	Circle	5-7 minutes	Two orange circle lights flying  side-by-side; one went straight up and the other went off into the distance and both disappeared.	7/6/11	41.5484319,-72.6537046	

7/4/11 21:40	Meriden	CT	Other	2 mins	fireball orange object hovers through my yard in meriden	7/6/11	41.5381535,-72.8070435	

7/3/11 21:00	Bristol	CT	Fireball	35 seconds	About 9 P.M. July 3rd, 2011 Bristol CT, Lasted 30-40 Seconds, Heard 3 Loud Bangs, Went Outside And Saw An Orange Circular Unidentifiabl	7/4/11	41.6717648,-72.9492703	

6/29/11 22:45	Bridgeport	CT	Circle	8 to 10 sec	On JN 29 between 22:30 and 23:00 hrs while viewing the NE sky, observed 2 circular objects the size of a dime with a faint aura	7/4/11	41.1670412,-73.2048348	

6/27/11 22:37	Stamford	CT	Light	2 minutes	Ice Blue - White Lights over Stamford, CT	7/4/11	41.0534302,-73.5387341	

6/26/11 03:15	Dayville	CT	Changing	10 mins	Slow Moving shape shifting craft with glowing ring.	6/27/11	41.8464872,-71.8875721	

6/25/11 22:30	Bristol	CT	Light		5 witness see same gold ord flying and then shoot into space on 3 different occasions.!!!!!!!!	7/4/11	41.6717648,-72.9492703	

6/23/11 17:45	Wethersfield	CT	Changing	10 minutes	I was looking over the horizon in the direction of Glastonbury, I was in Wethersfield accompanied by my girlfriend. We both saw lights	6/27/11	41.7012109,-72.6695374	

6/13/11 03:00	Beacon Falls	CT	Other	1 hour	I turned over in bed and looked up into the night sky, to see a small white orb shoot across my window.	6/20/11	41.4387078,-73.0556632	

6/9/11 03:30	Hartford	CT	Light	19 seconds	UFO in Hartford, Connecticut.  Are they watching us???	6/20/11	41.7637111,-72.6850932	

6/8/11 22:30	Plainville	CT	Circle	One Hour	During and a thunderstorm small blue orbs of light appeared in the sky and near the ground, flashing	6/12/11	41.674821,-72.8570447	

6/4/11 12:40	Avon	CT	Disk	4 seconds	2 disk shaped objects flighting in formation over Connecticut	6/12/11	41.7945432,-72.8578775	

5/29/11 21:00	Salem	CT	Light	30 sec.	On May 29,2011 about 9:00 pm, I look up and saw 2 Glowing lights  like dull oblong candles  moving side by side.	6/3/11	41.4831539,-72.2664698	

5/28/11 22:18	New Milford	CT	Unknown	10 minutes	Lavender colored lights in sky new milford CT 5/28/11 10:18 pm EST	5/29/11	41.2223194,-73.0564953	

4/7/11 21:54	Stamford	CT	Sphere	2 Seconds	Amber spherical object	5/12/11	41.0534302,-73.5387341	

4/6/11 01:00	Mystic	CT	Triangle	5-6 mins	I saw a triangle ufo in the Mystic ct hotel area.	5/12/11	41.3542656,-71.966462	

3/26/11 00:50	Stratford	CT	Triangle	5 Minutes	Saw a grey, triangular object with two lights hovering in the sky.	4/3/11	41.2045413,-73.1298318	

3/19/11 20:52	Griswold	CT	Light	5 minutes	Two glowing orange lights traveling west over Griswold, CT.	4/3/11	41.4017658,-72.4520316	

3/11/11 01:30	North Windham	CT	Teardrop	3 sec	1 object appeared to be falling or crashing. This happened next to Windham Airport.	3/23/11	41.7112098,-72.167022	

3/4/11 01:30	Groton	CT	Triangle	unknown	Unreported UFO sighting in CT.	4/3/11	41.3500984,-72.0784092	

3/3/11 16:05	West Hartford	CT	Oval	45 sec	Two low flying saucer shapped objects spotted at A.C Pertersons In west hartford	3/10/11	41.7620447,-72.7420399	

3/1/11 19:46	Wolcott	CT	Rectangle	


	Large rectangular low-flying object 4 nonblinking green lights squarely centered on underside.	8/21/11	41.6012086,-72.9751048	

3/1/11 19:45	Waterbury	CT	Unknown	3 minutes	3 triangle lights	3/10/11	41.5581525,-73.0514966	

3/1/11 19:45	Wallingford and Cheshire	CT	Triangle	2-3 minutes	Two triangles stuck together at their bases. No sound.	3/10/11	

2/27/11 08:47	Ellington	CT	Cylinder	10 minutes	Cylinder hover over trees proceding down R30 south	3/10/11	41.916764,-72.4578622	

2/22/11 20:00	Weston	CT	Light	10 minutes	Strange light display and manuvers low over Weston/Redding border	2/23/11	41.2256516,-73.3706747	

2/22/11 13:30	Redding	CT	Other	2 minutes	Two triangles stuck together at their bases.	2/23/11	41.3045399,-73.392898	

2/5/11 01:00	Groton	CT	Light	51 mins. so far	Red, orange and sometimes blue lights zipping around in the sky, vertical, horizontal, sometimes swinging - seem to follow each other.	2/8/11	41.3500984,-72.0784092	

2/3/11 17:40	Groton	CT	Light	10	Two blinking light	2/8/11	41.3500984,-72.0784092	

1/30/11 22:00	Stamford	CT	Flash	seconds	huge green/blue flash coming from the horizon from Stamford downtown area it looked like aurora borealis, it covered a wide section of	2/8/11	41.0534302,-73.5387341	

1/29/11 20:30	Plainville	CT	Fireball	3 seconds	Huge fireball with a firey tail shooting across the sky.  ((NUFORC Note:  Possible meteor.  PD))	1/31/11	41.674821,-72.8570447	

1/16/11 19:10	Ridgefield	CT	Light	1 minute	Intensely flashing light stationary at first for 30 or 40 seconds then began to move south/west at a steady pace then blinked out.	1/31/11	41.305373,-73.5015127	

12/28/10 18:50	Norwalk	CT	Fireball	6 sec	closeby fireball with tail streaked across sky towards earth	1/5/11	41.1175966,-73.4078968	

12/10/10 01:30	Newtown	CT	Rectangle	1 min or less	5 lights 4 white 1 red rectangle	1/5/11	41.3984289,-73.2931723	

12/5/10 23:00	Milford	CT	Circle	30 seconds	Driving down the street thinking " did something just fall out of the sky?"	1/5/11	41.2223194,-73.0564953	

11/28/10 22:02	Monroe	CT	Other	3 minutes	Huge object with 2 Verry bright headlights i can see from 3 minutes away	1/5/11	41.3362072,-73.2259477	

11/21/10 15:45	Colchester	CT	Unknown	2 seconds	silver fast	11/21/10	41.5587098,-72.3520276	

11/15/10 20:20	Farmington	CT	Triangle	2 min	Triangular Craft spotted in CT.	11/21/10	41.7198216,-72.8320435	

11/14/10 12:15	Milford	CT	Cylinder	20 min	Cylindrical, faceted silver metalic rotating object flying East -West..	11/21/10	41.2223194,-73.0564953	

11/11/10 23:15	Watertown	CT	Triangle	20	Triangular shaped object in the southwestern sky with white, red and green lcd lights.	11/21/10	41.6153746,-73.1170546	

11/11/10 19:20	Uncasville	CT	Light	45 sec.	V shaped light formation over Montville Ct.	11/21/10	41.4345426,-72.1097996	

11/10/10 19:40	Montville	CT	Disk	20 mins	a huge disk shaped object that covered half the sky	11/21/10	41.4639871,-72.155634	

11/5/10 22:00	Groton	CT	Triangle	45 minutes	Large Triangle with lights object and three small  objects	11/21/10	41.3500984,-72.0784092	

11/2/10 20:16	Weston	CT	Unknown	20 seconds	Rocket-like object streaking across the sky with whitish tail	11/21/10	41.2256516,-73.3706747	

10/31/10 20:30	Monroe	CT	Fireball	6 seconds	Green fireball with tail seen traveling Southeast. After about 6 seconds it was gone	11/21/10	41.3362072,-73.2259477	

10/29/10 10:45	Stratford	CT	Diamond	15 minutes	At aprox. 10:40 I looked up in the sky noticing the amount of stars visible when I spotted a series of stars (UFO) starting to move Sou	11/21/10	41.2045413,-73.1298318	

10/10/10 17:10	Bridgeport	CT	Light	Five to Ten minutes	Saw a light in the sky fading in and out over Bridgeport, CT.	11/21/10	41.1670412,-73.2048348	

10/10/10 12:00	Greenwich	CT	Light	4 mins	"Star" like objects during clear day light in formation.	11/21/10	41.038986,-73.6137371	

9/28/10 22:20	Redding	CT	Light	30 minutes	I saw a bright light that slowly moved through the sky and seemed to have striations that looked like lightning bolts eminating from it	11/21/10	41.3045399,-73.392898	

9/25/10 19:15	Brookfield	CT	Other	15 seconds	Bright orange/yellow object moving at high speed making no sound	11/21/10	41.4687059,-73.3920646	

9/21/10 22:21	Haddam	CT	Light	20 minutes	Few Combined Bright  lights hovering area between 20-25 minutes than dissapeared	11/21/10	41.46621,-72.5442567	

9/16/10 01:00	Bridgeport	CT	Light	5 MINUTES	Looked like a big round lit Christmas ball	11/21/10	41.1670412,-73.2048348	

9/12/10 00:00	Litchfield	CT	Fireball	ten minutes	Orange balls in fleet formation.	11/21/10	41.7667638,-73.1162212	

9/7/10 05:30	Plainville	CT	Light	25 seconds	Orbitting light dissappears then becomes two objects	11/21/10	41.674821,-72.8570447	

9/6/10 18:30	Stratford	CT	Fireball	3 minutes	I saw the object hurdle through the sky very swiftly. It was a bright, flaming orange and reddish color, and appeared to have a tail to	11/21/10	41.2045413,-73.1298318	

8/31/10 22:15	Middlefield	CT	Diamond	ongoing	Colorful object in Western CT sky.  ((NUFORC Note:  Possible star or planet??  PD))	11/21/10	41.5175981,-72.712318	

8/30/10 00:15	Derby	CT	Cigar	30 mins	LED like white lights, with red and greenor blue	8/30/10	41.3267634,-73.0823304	

8/27/10 22:17	Madison	CT	Diamond	20 seconds	Pulsating Diamond	8/30/10	41.3270427,-72.6228709	

8/20/10 23:00	Newington	CT	Cigar	30 seconds	I saw the object with my fiance traveling Southeast in the sky at a little past 11:00pm on Friday night August 20,2010.  It was oblong	8/24/10	41.687322,-72.7300955	

8/20/10 23:00	Newington	CT	Cigar	30 s3conds	I saw an oblong cigar shaped objected traveling southeast very rapidly. My fiance ran inside to get to her camera and I ran towards the	8/24/10	41.687322,-72.7300955	

8/20/10 19:00	Middletown	CT	Circle	30-45 minute	Large orange ball moving slowly and stopping in the sky.  ((NUFORC Note:  Possible sighting of Venus?  PD))	8/24/10	41.5484319,-72.6537046	

8/11/10 02:36	Stonington	CT	Light	a few seconds	2:36am in Stonington, Ct there was a bar of light in the upper right sky about the sz of an inch, it tilted to  right, then sped away	8/24/10	41.4695433,-71.8714605	

8/8/10 20:05	Coventry	CT	Cigar	2-3 minutes	Two very bright lights in sky.	8/24/10	41.784543,-72.3389701	

8/6/10 21:00	Oxford	CT	Cigar	3 minutes	We saw a weird glowing light in the sky that appeared to be slowly moving and then hovering. Obj. had red lights around it that blink	8/24/10	41.4339853,-73.1167766	

7/30/10 09:30	Enfield	CT	Changing	30 minutos	cambia   de   forma   y   dura   30   minutos  ((NUFORC Note:  We suspect a sighting of a celestial body, a star or a planet.  PD))	8/24/10	41.9750966,-72.5495317	

7/29/10 00:58	Dayville	CT	Light	Seconds	Two women see green streak; power failure in town; green flash 30 minutes later	7/29/10	41.8464872,-71.8875721	

7/28/10 00:58	Dayville	CT	Other	15 seconds	An orb of energy?	8/24/10	41.8464872,-71.8875721	

7/28/10 00:58	Dayville	CT	Other	15 seconds	An orb of energy?	8/24/10	41.8464872,-71.8875721	

7/22/10 00:30	Cheshire	CT	Cigar	1 min	Grey cigar shaped object over Cheshire, CT, around midnight.	7/28/10	41.4989861,-72.900658	

7/19/10 01:00	New Milford	CT	Light	1 1/2 hrs	Bright white light hovering.  ((NUFORC Note:  We suspect a star or a planet.  No photo.  PD))	7/28/10	41.2223194,-73.0564953	

7/16/10 21:30	Middletown	CT	Light	1 min	A light with a slight glow.	7/19/10	41.5484319,-72.6537046	

7/5/10 20:00	West Haven	CT	Unknown	10-15 seconds	I saw a light in the sky that could not, in my opinion, have been a plane.	7/10/10	41.273986,-72.967881	

7/4/10 21:50	Derby	CT	Fireball	2-3 mins	Fireball moving across the sky	7/6/10	41.3267634,-73.0823304	

7/4/10 21:35	Danbury	CT	Teardrop	25 Seconds	triangular/teardrop shaped orange light with a slight flicker to it rocketing across the sky with no sound	7/10/10	41.394817,-73.4540111	

7/3/10 21:00	New London (near)	CT	Light	3 seconds	An out of the ordinary, fast-moving light moved in a zig zag pattern across the night sky and disappeared in a matter of seconds.	7/19/10	41.3298205,-72.0945205	

6/29/10 21:00	New Milford	CT	Light	8:30-9:30	bright white light  stands in the sky in conneticut.  ((NUFORC Note:  Possible sighting of Venus??  PD))	7/6/10	41.2223194,-73.0564953	

6/12/10 23:00	Volujntown	CT	Flash	2 minutes	strobe light- like flashing light in the sky by farm area.	6/23/10	

6/1/10 04:00	Groton	CT	Light	15 minutes	Bright light, too low to be a satellite, hovers 10 mins. then abruptly disappears. watched with binocs.	6/23/10	41.3500984,-72.0784092	

5/20/10 21:30	Tolland	CT	Light	10 sec	2 red blinking orbs.	6/3/10	41.8584311,-72.3648041	

5/1/10 09:30	Newington	CT	Circle	10 min	Silver Dots Above Clear Newington, CT Sky	5/12/10	41.687322,-72.7300955	

4/30/10 21:23	Katonah	CT	Triangle	10 Seconds	Rounded triangle shaped UFO hovered and moved 10 feet above trees on I-684	5/12/10	

4/28/10 20:00	Durham	CT	Light	1 minute	extremely brightly lit low flying almost silent helicopter type object	5/12/10	41.4603758,-72.6820393	

4/10/10 05:15	Mashantucket	CT	Cross	second	A white and size of a small lam UFO crossed me on CT high way	5/12/10	41.4614562,-71.975407	

4/4/10 16:00	Haddam	CT	Cigar	5 minutes	Multiple zigzagging white objects far up in the sky	4/13/10	41.46621,-72.5442567	

4/1/10 15:10	Somers	CT	Other	10 minutes	Military flyovers more common, no miltary base for miles	4/13/10	41.9834298,-72.4495286	

3/27/10 23:20	East Hartford	CT	Fireball	nit time	I thout.it was air plen.it was fear a way it look like it was comeing in for a landing.	4/13/10	41.7823216,-72.6120346	

3/16/10 22:00	Milford	CT	Circle	3 seconds	Pale circular object imoving in upper atmosphere split into three circular objects the same size	4/13/10	41.2223194,-73.0564953	

3/5/10 18:30	New Hartford	CT	Light	5 minutes	Two extreme bright lights in the sky and suddenly a third appeared	4/13/10	41.8414857,-73.0042721	

2/1/10 08:00	Preston	CT	Flash	3 Hours	female human abducted by aliens. 500 Lights On Object0: Yes	5/2/11	41.5181537,-72.0009091	

2/1/10 07:50	Ansonia	CT	Oval	minute	Oval hovering disk	2/14/10	41.3434301,-73.0687188	

1/20/10 18:00	North Stonington	CT	Light	20 Minutes	Strange Lights and booming noises in North Stonington CT	2/14/10	41.4695433,-71.8714605	

1/15/10 23:40	Plainville	CT	Rectangle	30 Seconds	Rectangular object moving across the sky.	2/14/10	41.674821,-72.8570447	

1/7/10 23:45	Westbrook	CT	Triangle	2-3 minutes	Very large (747ish), low flying, slow moving (30-50 mph), and absolutely silent triangular object w/3 lights.	2/14/10	41.2959326,-72.4642547	

1/7/10	West Haven (viewed from)	CT	Fireball	3-4 secs	bright green comet or unidentified object that appeared to crash into the Earth	2/14/10	41.273986,-72.967881	

12/30/09 06:20	Meriden	CT	Fireball	15/60mins	seen it three times	2/14/10	41.5381535,-72.8070435	

12/17/09 21:00	Willington	CT	Circle	10 seconds	My Wife  and I believe we saw a UFO Thursday night!! We were coming home from bowling in separate cars, driving along Turnpike Road in	2/14/10	41.885375,-72.2614678	

12/14/09 04:30	Stratford	CT	Circle	5 seconds	GREEN FIRE BALLS STRATFORD CT	2/14/10	41.2045413,-73.1298318	

12/12/09 17:50	Niantic	CT	Light	5 secs	?green colored shooting star	2/14/10	41.3253756,-72.1931338	

10/20/09 13:00	Falls Village	CT	Triangle	3 hours	Triangular UFO with flashing lights and light beam.	12/12/09	41.9559266,-73.3631745	

10/20/09 12:59	Falls Village	CT	Cigar	1 minute	ALIENS AT MY HIGH SCHOOL	12/12/09	41.9559266,-73.3631745	

10/1/09 23:00	Fairfield	CT	Light	20 seconds	2 seperate observations. Fairfield, CT	12/12/09	41.1759298,-73.2720598	

9/27/09 23:00	Westport	CT	Disk	1 minute	Large saucer in the sky over Westport, CT!	12/12/09	41.12343,-73.3470616	

9/26/09 19:30	Greenwich	CT	Circle	20 minutes	there was this lights we never seen before over greenwich - port chester area , before	12/12/09	41.038986,-73.6137371	

9/20/09 21:00	North Haven	CT	Cylinder	20 seonds	Bright beam of light omitted from cylinder.	12/12/09	41.3081527,-72.9281578	

9/20/09 00:50	Vernon	CT	Circle	3 seconds	Large green, illuminated light flew right in front of our car, reaching as low as 100 ft.	12/12/09	41.8370426,-72.4606402	

9/20/09 00:45	Ansonia	CT	Circle	half minute	Huge ball of light.  ((NUFORC Note:  Meteor??  PD))	12/12/09	41.3434301,-73.0687188	

9/19/09 23:30	Westbrook	CT	Light		A very bright light moving extremely fast in Westbrook Connecticut	12/12/09	41.2959326,-72.4642547	

9/19/09 20:05	Norwalk	CT	Cone	40 seconds	Large very bright light overhead in a conical shape that went straight up into the sky. ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.1175966,-73.4078968	

9/19/09 20:00	Wallingford	CT	Fireball	About 30 seconds	Wallingford, CT UFO siting?  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.4570418,-72.8231552	

9/19/09 19:57	Shelton	CT	Circle	1:30	circle of light with beam of light shining towards the ground  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.3042632,-73.1381661	

9/19/09 19:55	Ellington	CT	Light	15 sec	Odd bright light in sky, with haze around it that seems to fade out.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.916764,-72.4578622	

9/19/09 19:52	Southbury	CT	Cone	30 seconds	Cone shaped bright white light - gradually disappeared / resembled a flashlight pointing down.((NUFORC Note:  Missile launch.  PD))	12/12/09	41.4737069,-73.2342813	

9/19/09 19:52	New Milford	CT	Light	on or two minutes	Star-like object in the sky with beam of light directed down to earth	12/12/09	41.2223194,-73.0564953	

9/19/09 19:51	Colchester	CT	Light	3-4 minutes	Large, bright white "spotlight" high in sky over Colchester, Ct  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.5587098,-72.3520276	

9/19/09 19:50	Trumbull	CT	Sphere	1 minute	Bright white light over Trumbull, CT.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.2581519,-73.207058	

9/19/09 19:50	Sterling	CT	Unknown	3 min	Large glow of light that led down to a beam with no sound.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.7023213,-71.8164594	

9/19/09 19:40	Farmington	CT	Disk		disk with bright sphere of light  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.7198216,-72.8320435	

9/18/09 21:52	Rockville	CT	Oval	2 minutes	Fast moving, oval shaped ufo with orange light that went back and forth on the bottom.	12/12/09	41.8667645,-72.4495287	

9/17/09 20:19	Clinton	CT	Unknown	20 seconds	It was a gold color but up very high like in space. No strobes, red, green lights.	12/12/09	41.2945437,-72.5275904	

9/10/09 20:00	Providence	CT		20 seconds	large, double beamed spotlight high in the sky	12/12/09	41.5287093,-72.0645213	

9/7/09 19:18	Fairfield/Bridgeport	CT	Light	about 6 minutes	Very bright light seen over Tunxis Hill from I-95 in Bridgeport and Fairfield.	12/12/09	

9/2/09 05:20	Norwalk	CT	Unknown	about half an hour	very radiant object sitting in the sky, looks closer than a star	12/12/09	41.1175966,-73.4078968	

8/25/09 23:00	Meriden	CT	Fireball	seconds	i seen round fireball.seen it for 5 seconds.thought it might be meteor until 2 days later at 4pm their were 5 milatary	12/12/09	41.5381535,-72.8070435	

8/23/09 23:45	Wallingford	CT	Formation	5 Mins	Two bright lights flying very low and very close together	8/27/09	41.4570418,-72.8231552	

8/23/09 00:10	Greenwich	CT	Chevron	2-3 seconds	Chevron shaped formation of orange lights shaped like stunted bowling pins streaked across the sky from N to S directly overhead.	12/12/09	41.038986,-73.6137371	

8/20/09 22:30	Fairfield	CT	Unknown	3 to 5 seconds	Object traveling at immense speed, size and altitude of satellite, over Fairfield, CT (metro NY airspace)	8/27/09	41.1759298,-73.2720598	

8/14/09 23:50	Litchfield	CT	Fireball	5 seconds	Sparkling green fireball shooting over Litchfield CT.  ((NUFORC Note:  Possible meteor, we suspect.  PD))	8/27/09	41.7667638,-73.1162212	

8/14/09 23:00	Shelton	CT	Light	hours	3 seperate light hovering 15 degrees above the horizon in Shelton,CT.	8/27/09	41.3042632,-73.1381661	

8/11/09 01:34	Trumbull	CT	Other		A CIGAR SHAPED MOTHER SHIP AND A HEXAGON SHAPED UFO	8/27/09	41.2581519,-73.207058	

8/6/09 21:10	Bristol	CT	Sphere	10 minutes	Thursday, August 6,2009 at 9:10 p.m. over Bristol, connecticut 06010 USA, my wife and I heard a loud bang outside and my wife asked me	8/27/09	41.6717648,-72.9492703	

8/6/09 21:10	Bristol	CT	Sphere	10 minutes	round, 3 orange lights in front, silent, slow,	8/27/09	41.6717648,-72.9492703	

8/4/09 21:15	Enfield	CT	Other	5 Minutes	6 F-15's supersonic	8/5/09	41.9750966,-72.5495317	

7/18/09 16:30	New Hatford	CT	Cylinder	1 minute	Silent cylinder/rod object flying over New Hartford CT	8/5/09	

7/4/09 22:10	East Haven	CT	Circle	5 minutes	i was sitting on my side porch with my husband and was watching the fireworks in my neighborhood and he spotted an orange glowing ball	8/5/09	41.2956527,-72.8626004	

