DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
7/4/11 00:00	Washington, D.C.	DC	Cylinder	1.5 seconds	Black cylinder zips through Fireworks.at the Washington Monument	7/17/11	38.8951118,-77.0363658	
7/4/11 21:15	Washington, D.C.	DC	Cylinder	2 seconds	My family and I saw something fly over head silently and without lights.	7/17/11	38.8951118,-77.0363658	
6/15/11 20:19	Georgetown	DC	Disk	6 seconds	metallic disk hovering silent in crowded airspace shoots up out of site leaves smoke cloud	6/20/11	38.9072742,-77.0725771	
5/21/11 20:00	Washington, D.C.	DC	Triangle	on going	((HOAX??))  Saw hover triangle with eight lights in D.C.	7/17/11	38.8951118,-77.0363658	
2/12/11 22:24	Washington, D.C.	DC	Light	50 minutes	I was watching web-cams in Washington DC as The Agency had notified forums members on the 10th of Feb that they would fly their craft o	2/18/11	38.8951118,-77.0363658	
12/25/10 21:45	Maroochydore (Queensland) (Australia)	DC	Diamond	5 mins	At first I saw these two bright lights come up over the horizon from behind my house roof. I shouted out to my partner to come check it	1/5/11	
8/28/10 22:06	Washington	DC	Fireball	2 minutes	Red flaming object flying low over Washington DC with no sound	8/30/10	38.8951118,-77.0363658	
7/25/10 10:00	Washington, D.C.	DC		30 seconds	I saw a silver metallic ball fly over my house in Wash., D.C. in broad daylight!	8/24/10	38.8951118,-77.0363658	
7/20/10 03:18	Washington, D.C.	DC	Sphere	3 seconds	At 03:18 AM I was called to take a look at a bright object, by a friend. I went outside with my camera and camera platform (tripod) and	7/28/10	38.8951118,-77.0363658	
7/20/10 03:10	Washington, D.C.	DC	Sphere	5 minutes	Moving star with beam of light	8/24/10	38.8951118,-77.0363658	
7/20/10 03:00	Washington, D.C.	DC	Light	nightly		I live in Wash., D.C. For weeks I had observed a bright luminous celestial body in the sky I couldn’t identify. The object would rise	8/24/10	38.8951118,-77.0363658	
7/4/10 21:11	Washington, D.C.	DC	Sphere	1 second	2 luminous objects  over Washington Monument July 4, 2010	7/6/10	38.8951118,-77.0363658	
7/4/10	Washington, D.C.	DC	Circle	2mn.	I saw Two ufo object's over the Washington Monument during the 4th. of July events.	8/24/10	38.8951118,-77.0363658	
6/19/10 14:00	Washington, D.C.	DC	Disk	unknown	In June 19 while on vacation in Washington CD with my wife I took a photo of this sighting by chance. We didn't know of the UFOs until	7/29/10	38.8951118,-77.0363658	
5/8/10 23:00	Washington, D.C.	DC	Light	5 min	two star light object seen minutes apart moving slowly across the sky originating and ending at the same locaiton	5/12/10	38.8951118,-77.0363658	
4/30/10 20:45	Washington, D.C.	DC	Sphere	1 minute	luminous craft with halo's in slow flight over the rooftops of the buildings	5/12/10	38.8951118,-77.0363658	
2/14/10 12:00	Washington, D.C.	DC	Oval	Unknown	Object spotted in photos of D.C.	4/13/10	38.8951118,-77.0363658	
12/9/09 23:00	Washington, D.C.	DC	Sphere	one minute	Sighting of a large flying sphere near our nation's capital.	12/12/09	38.8951118,-77.0363658	
8/19/09 20:57	Washington, D.C.	DC	Fireball	2 seconds	a vectoring orange streak, which at the end of forwards vectoring, makes a sudden 90 degree turn?	12/12/09	38.8951118,-77.0363658	
8/10/09 23:12	Washington, D.C.	DC	Other	5 minutes	I captured a red sphere like anomaly in 15 frames of 1080 i HD imagery? 5 minutes later and 100 yards from POV we stopped the car and I	4/13/10	38.8951118,-77.0363658	
5/27/09 23:00	Washington, D.C.	DC	Fireball	4 minutes	Glowing orb with sharp turns in Washington ,DC	6/9/09	38.8951118,-77.0363658	
3/20/09 20:40	Washington, D.C.	DC	Other	5 minutes	The object looked like top of a heart shape and was very large and appeared to make no noise and also had no patter	4/14/09	38.8951118,-77.0363658	
1/20/09 17:00	Washington, D.C.	DC	Cigar	1 sec	I was watching this video on cnn.com look in the far right and watch object fly past sky infront of statue	3/19/09	38.8951118,-77.0363658	
1/2/09 20:00	Washington, D.C.	DC	Sphere	split second	A green colored sphere appeared out of nowhere and fell straight to the ground	1/10/09	38.8951118,-77.0363658	
11/18/08 19:06	Washington, D.C.	DC	Other	19:06:54	UFO flies into frames taken @ US Capitol Building @ 17:06 PM 1080 HD	1/10/09	38.8951118,-77.0363658	
9/23/08 21:00	Washington, D.C.	DC	Light	56 minutes	3 lights moving very smoothley at the capital	10/31/08	38.8951118,-77.0363658	
8/17/08 22:06	Washington, D.C.	DC	Egg	1 minute	(egg shaped) anomaly shooting a beam of light towards the ground?	10/31/08	38.8951118,-77.0363658	
8/13/08 20:00	Washington, D.C.	DC	Cylinder	3 to 5 min	Cylindrical object over Washington D.C. viewd from near Smithsonian Metro Station	10/31/08	38.8951118,-77.0363658	
6/11/08 16:45	Washington, D.C.	DC	Disk	1.5 -3 min	Daytime sighting of bright light changing to stationary white/blue gray annulus and then moved very fast.	7/5/08	38.8951118,-77.0363658	
5/29/08 06:47	Washington, D.C.	DC	Other	30 min	It was a round white light with tentacles sticking out blue and white, look like a spider.	6/12/08	38.8951118,-77.0363658	
1/3/08	Washington, D.C.	DC	Disk	1 min	The news caster seen it also, then shut up. I saw it plain as day. 500 Lights On Object0: Yes	3/10/11	38.8951118,-77.0363658	
10/31/07 21:45	Washington, D.C.	DC	Sphere	about 1 hour	Two UFO's Lingering In The Sky On October 31, Followed By Lights And Surrounded By Green Fog.  ((NUFORC Note:  Satellites??  PD))	11/28/07	38.8951118,-77.0363658	
3/5/07 19:00	Washington, D.C.	DC	Other	10 min	Hovering saucer-shaped object, yellow lights, approached by bronze-colored object, triangular or flying wing shape, which hovered near.	3/8/07	38.8951118,-77.0363658	
1/27/07 12:30	Washington, D.C.	DC	Fireball	4 seconds	Fireball Over Capitol Hill- Very Long Deep Blue Tail- During Anti- War Rally	2/24/07	38.8951118,-77.0363658	
