DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/6/11 20:55	Flowery Branch	GA	Circle	2 minutes	A quiet red ball flying overhead at moderate speed over North East Georgia	10/10/11	34.1822982,-83.924029	
10/6/11 20:55	Flowery Branch	GA	Oval	90 seconds	Large red oval object flying over Hall County GA	10/10/11	34.1822982,-83.924029	
10/6/11 20:41	La Grange	GA	Fireball	5 seconds	Green fireball with red trail across the sky while fishing.	10/10/11	33.039291,-85.0313269	
10/6/11 20:39	Hampton	GA	Oval	3 sec	Green object flew in and out of my LOS in 3 sec.	10/10/11	33.3832388,-84.284708	
10/6/11 20:35	Macon	GA	Fireball	10-15 seconds	Fireball object that looked like exploded above ground about power line height continued going down road.	10/10/11	32.8406946,-83.6324022	
10/1/11 23:11	Conyers	GA	Light	an hour or so	I see this almost every night when i go outside at the same time. it is this light that changes from hreen to blue to red.  ((Starr??))	10/10/11	32.8421075,-81.4478844	
9/29/11 03:00	Duluth	GA	Cylinder	30 sec	I went outside smoking cigaret and I saw yellow object flying in circles.It was not plane for sure.it make 2 circles and then fly away	10/10/11	34.0028787,-84.1446376	
9/28/11 12:30	St. Simons Island	GA	Circle	1 hr?	Sighting of two UFOs at the same time (bright objects darting in the sky late at night).	10/10/11	31.2991177,-81.3284296	
9/27/11 12:45	St. Simons Island	GA	Sphere	2 hrs?	Object appeared as a rounded bright light, stopping then moving rapidly (erratically) in any direction.  ((NUFORC Note:  Star??  PD))	10/10/11	31.2991177,-81.3284296	
9/26/11 02:41	Ludowici	GA	Light	17 minutes	I saw a group of star-like lights in the sky that blinked and moved and seemed to be directed by another larger brighter light.	10/10/11	31.7096342,-81.745693	
9/6/11 21:02	Covington	GA	Triangle	15 sec	Black triangle with red blue and white lights. Did not move stayed over the trees then turned out its lights.	10/10/11	33.6039903,-83.848001	
8/30/11 21:30	Macon	GA	Rectangle	3 minutes	Squared, flying vessel over Macon, GA	10/10/11	32.8406946,-83.6324022	
8/27/11 21:10	LaGrange	GA	Other	30 seconds	A very small, reddish dot.  Very similar to a satelite but not white and much faster.	10/10/11	33.0332423,-85.034862	
8/25/11 00:00	in space	GA	Light	10secs	http://www.space.com/12723-hurricane-irene-latest-space-station-view.html watch the video, look at sec 58- min 1.04 u can see some smal	10/10/11	
8/21/11 23:30	Tunnel Hill	GA	Triangle	1m	Two large unlit triangular objects passed overhead from horizon to horizon in about 30 seconds.	10/10/11	34.8483335,-85.040385	
8/15/11 22:00	Macon	GA	Unknown	10.00 min	UFO sighting in Ga. 20 - 30 miles outside of Macon on I-16 around 10:00 P.M. Aug 15, 2011	8/21/11	32.8406946,-83.6324022	
8/15/11 16:00	Lawrenceville	GA	Diamond	05-10 minutes	Diamond shaped objects sighted both SW/S and NE/E of GCAP, Dacula/Lawrenceville, GA.	8/21/11	33.9521735,-83.992785	
8/12/11 06:34	Atlanta	GA	Triangle	1 minute	Irregular triangle cluster of 3 very bright white lights low to the west 6:35 a.m. - Southside Atlanta.	8/21/11	33.7489954,-84.3879824	
8/11/11 23:35	LaGrange	GA	Light	5 min	Light  hovering, started moving, then turned at 90 degree angle before leaving at high rate of speed	8/21/11	33.0332423,-85.034862	
8/1/11 01:06	Atlanta	GA	Light	5 seconds	Green light crashes to earth near atlanta	8/7/11	33.7489954,-84.3879824	
7/30/11 02:00	Marietta	GA	Unknown	3 hours	Brilliant white object over Marietta GA  ((NUFORC Note:  We suspect a sighting of a "twinkling" star.  PD))	8/7/11	33.7311925361,-84.3832397461	
7/28/11 08:30	Atlanta	GA	Triangle	4 Minutes	Triangular light followed by red ball of light seen in Atlanta, Georgia	8/7/11	33.7489954,-84.3879824	
7/23/11 23:20	Sylvania	GA	Fireball	10 sec	Orange, slow moving, fireballs - south east of savannah nuclear plant	8/7/11	32.7502898,-81.637941	
7/23/11 19:30	Lawrenceville	GA	Cigar	4-5 minutes	Silent white capsule-shaped object seen over Lawrenceville, GA	8/7/11	33.9521735,-83.992785	
7/22/11 22:00	Appling	GA	Fireball	30 secs.	Driving home late one night when this fireball appeared in the sky it was just one maybe 10 ft. in diameter it slowly moved to the righ	8/7/11	31.7668645,-82.2998491	
7/20/11 01:00	Oakwood	GA	Light	one hour	Oakwood	8/7/11	34.2261537,-83.88761	
7/13/11 22:38	Athens	GA	Light	5sec	I was standing outside and I saw a bright blue light descend down at a 90 degree angle west from my location at the aprtment. It was br	7/17/11	33.960948,-83.3779358	
7/13/11 22:00	Lithonia	GA	Triangle	4 sec	Triangle craft with bright lights surrounding the perimeter.	7/17/11	33.7126942,-84.105812	
