DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
8/20/11 21:00	Wailuku	HI	Other	1 min.	Strange light occurance	8/21/11	20.8876495361,-156.502243042	
8/14/11 22:50	Ewa Beach	HI	Circle	2 minutes	Bright celestial object larger than a star	10/10/11	21.313949585,-158.008666992	
8/14/11 19:25	Ewa Beach	HI	Unknown	2 or 3 minutes	Weird red orbed flying light	8/21/11	21.313949585,-158.008666992	
8/12/11 06:00	Honolulu	HI	Sphere	2 minutes	bright, fast moving orb over ala moana beach park.  ((NUFORC Note:  Overflight of ISS at 05:55 hrs., on this date.  PD))	8/21/11	21.304769516,-157.85760498	
8/9/11 21:00	Honolulu	HI	Unknown	5 Seconds?	Extremely fast green light seen zooming over Honolulu in a south to north direction.  ((NUFORC Note:  Possible meteor??  PD))	8/21/11	21.304769516,-157.85760498	
7/24/11 21:00	Ewa Beach	HI	Circle	10 SECONDS	Green ball of light, larger than star, shoots across sky at high speed over Ewa Beach HI.	8/7/11	21.313949585,-158.008666992	
7/4/11 22:00	Waipahu	HI	Triangle	west	I can't belive i'm seeing this in hawaii.	7/6/11	21.3857097626,-158.003326416	
7/2/11 20:20	Hilo	HI	Light	30 - 40 mins	Six star-like moving objects over Hilo, HI.	7/4/11	19.7192401886,-155.081848145	
6/21/11 21:00	Kihei	HI	Other	03:00	Sudden bangs of sound, went outside and flashing lights. know it was not 'right'	6/27/11	20.782119751,-156.463119507	
6/4/11 09:00	Kailua-Kona	HI	Other	5 minutes	Floating man over Kailua-Kona,HI	6/20/11	21.3965702057,-157.740066528	
12/31/10 21:30	Poipu Koloa	HI	Light	2 minutes	Poipu beach, Kauai, Hawaii New Years sighting of two firelike objects in the sky.	1/5/11	21.8725795746,-159.450683594	
12/31/10 04:00	Honolulu	HI	Light	five minutes	Fast Moving Object Circles Diamond Head Crater Honolulu Hawaii	1/5/11	21.304769516,-157.85760498	
12/20/10 12:00	Kahului	HI	Disk	20 mins	but what was funny is that it beamed a light upwards.For about 15 mins everyone was trying to take a pix and no ones camera worked.Some	1/5/11	20.890750885,-156.467132568	
12/19/10 20:18	Kahului	HI	Disk	20 minutes	it beamed a light upwards. For about 15 minutes everyone was trying to take a picture and no ones camera worked. Some people thought it	1/5/11	20.890750885,-156.467132568	
12/10/10 20:00	Honolulu	HI	Flash	5 seconds	Vertical Falling Object disappears in a flash 100 ft above ground near Boat Harbor in Honolulu Hawaii.	1/5/11	21.304769516,-157.85760498	
11/22/10 04:00	Haleiwa	HI	Disk	1 hour	a bright star flashing red and blue	1/5/11	21.5894794464,-158.102905273	
11/10/10 04:00	Kahului	HI	Oval	5 to 10 seconds	3 reddish ovals in early morning over maui.	11/21/10	20.890750885,-156.467132568	
9/20/10 00:00	Kiluea	HI	Changing	2hours	Bright changing light shape change size change position change from left sky to right sky it twinkiled like a star but it's really brig	11/21/10	19.4221534729,-155.296401978	
9/18/10 21:00	Kapolei (Oahu)	HI	Light	slower than a comet	kapolei, hi slower than comet glowing colourful crashes out of sky all the way to water 5-30miles offcoast	10/10/11	21.334230423,-158.08190918	
8/4/10 20:25	Pa'akai Point- Mamalahoha Hwy	HI	Triangle	5 seconds	Triangle shape with lights flashing to off. South Kona Hawaii (big Island)	8/24/10	21.3399505615,-158.108184814	
8/4/10 19:00	Kunia	HI	Light	20 seconds	Two VERY FAST bright lights Red and White.	11/21/10	21.4567508698,-158.059143066	
8/1/10 00:32	Hickam AFB	HI	Triangle	25 Seconds	I saw a bright orange glowing object moving across the sky and viewed the object for 25 seconds	8/24/10	21.342130661,-157.9506073	
7/25/10 21:00	Lahaina	HI	Chevron	15-30 minutes	three boomerang shaped objects, red/orange in color	7/28/10	20.8781604767,-156.67767334	
5/24/10 07:45	Honolulu	HI	Sphere	60 sec	I was on the Sandy beach at 0745 and had noticed something flying over me and as I looked I saw that there were 7 sliver spheres half s	6/3/10	21.304769516,-157.85760498	
5/4/10 21:30	Wahiawa	HI	Light	5 seconds	Bright green light over Schofield Barracks	5/12/10	21.4976501465,-158.025543213	
5/4/10 21:25	Ewa Beach	HI	Light	2 seconds	Two bright flashes lighting up the entire sky and a single light streaking down.	5/12/10	21.313949585,-158.008666992	
4/28/10 19:00	Honolulu	HI	Light	3 to 4 minutes	looked like a intensly bright star,brighter than serious the star. Moving very very fast! SCARY!	5/12/10	21.304769516,-157.85760498	
4/19/10 15:00	Honolulu	HI	Triangle	30 Minutes	Honolulu Hawaii - Strange Triangle aircraft  preforming maneuvers with short contrails Intersecting each other	5/12/10	21.304769516,-157.85760498	
3/27/10 19:45	Ewa Beach	HI	Unknown	15 minutes	Strange light in Ewa Beach, Oahu, Hawaii	4/13/10	21.313949585,-158.008666992	
3/5/10 21:00	Kihei	HI	Circle	15 minutes	6 yr-old daughter and Mom spotted 4 spaceships in a large cloud on a clear Hawaii night.	4/13/10	20.782119751,-156.463119507	
3/5/10 20:45	Kihei	HI	Circle	15 minutes	An unusual cloud with round discs and moving fast moving lights,inside of it.	4/13/10	20.782119751,-156.463119507	
2/26/10 06:00	Keaau	HI	Sphere	10 seconds	BRIGHT GREEN SPHERE-BALL SHAPED OBJECT	4/13/10	19.6205692291,-155.038146973	
2/23/10 20:50	Ewa Beach	HI	Triangle	5-10 min	Two unnaturally bright UFO's over Ewa Beach	4/13/10	21.313949585,-158.008666992	
2/16/10 07:10	Kailua-Kona	HI	Light	2 minutes	Big bright light seen in broad daylight on the island of Hawaii, hovered for 2 minutes then suddenly vanished on Feb.16, 2010	4/13/10	21.3965702057,-157.740066528	
1/25/10 18:45	Kapolei	HI	Light	2 min	The two lights changed colors and flew circles around eachother while a Helicopter was following the 2 lights,  they came very close to	2/14/10	21.334230423,-158.08190918	
1/25/10 18:00	Keaau	HI	Light	couple minutes	Golden round light flying quietly, small side balls blinked	2/14/10	19.6205692291,-155.038146973	
1/9/10 21:35	Kapolei	HI	Light	30-40 secs	Re Submitted per Mr. Davenport request to detail the light description of objects. 01.09.2010  While watering my grass at about 21	2/14/10	21.334230423,-158.08190918	
1/8/10 21:35	Kapolei	HI	Light	40 secs	LED like lights swarming above ocean in west Oahu.	2/14/10	21.334230423,-158.08190918	
12/27/09 20:00	Honolulu	HI	Circle		This happened at the end of Dec. 2009. I am from Honolulu, HI and I live near Diamond Head. It was around 8pm at night when my sister a	2/14/10	21.304769516,-157.85760498	
12/6/09 19:30	Honolulu	HI	Light	.05	Bright green light with extreme speed flight pattern over ocean beyond Waikiki, Island of Oahu, 12/06/09	12/12/09	21.304769516,-157.85760498	
11/7/09 10:26	Honolulu	HI	Other	Unknown	Yellow or gold aerodynamic looking object near Hickman AFB at an unknown distance from camera.	12/12/09	21.304769516,-157.85760498	
10/27/09 18:20	Kaneohe	HI		15 MIN	SYMBOLIC CONTRAILS OVER KANEOHE THAT LOOKED LIKE SQUARES AND ARCS	12/12/09	21.4214000702,-157.803863525	
10/14/09 02:20	Honolulu	HI	Circle	5 Minute	Unusually bright, very colorful; pulsating light in the sky,	12/12/09	21.304769516,-157.85760498	
