DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 20:15	Indianapolis	IN	Triangle	About 2-4 mins	It was one craft with white lights going very slow, then stopped, then the craft went back the way it came 3x it's original speed.	10/10/11	39.766910553,-86.1499633789	
10/6/11 02:12	Newburgh	IN	Light	1 second	Stationary white light faded in and out	10/10/11	41.4999389648,-74.0102310181	
10/5/11 19:00	DeMotte-Roselawn	IN	Formation	10 minutes	I have seen several ufo's the most awsome one i seen was in 1997 hovering above rt 10 and I-65 going west. It was orange and bright ver	10/10/11	41.1932106018,-87.1986312866	
10/2/11 21:00	Marion	IN		2 days	Red and green lights over marion indiana	10/10/11	40.5587997437,-85.6603775024	
9/30/11 18:15	Gangtok (India)	IN	Cylinder		Have taken some photo in which some light in mountain is visible	10/10/11	27.3291702271,88.6169204712	
9/20/11 22:02	Batesville	IN	Formation	1 Minute	Orange lights that formed straight lines in the sky	10/10/11	39.2967910767,-85.223739624	
9/17/11 21:30	Monticello	IN	Circle	5 minutes	Two bright orange/red circles spotted in Monticello, IN -  (Shaffer / Big Monon Lake) - lasting 5 minutes	10/10/11	40.7588500977,-86.7662582397	
9/17/11 21:00	Warsaw	IN	Sphere	10 minutes	Orange spheres traveling east to west on a beautiful clear night	10/10/11	41.2385597229,-85.8527984619	
9/17/11 19:55	Avon	IN	Unknown	30 minutes	17  Ufo's seen in Avon Indiana September 17, 2011.	10/10/11	39.7628517151,-86.3946762085	
9/11/11 00:25	Fishers	IN	Light	5 minutes	Two bright lights appear out of no where and make very odd movements in the sky directly above us.	10/10/11	39.9581985474,-86.0170822144	
9/8/11 23:33	Evansville	IN	Light	5 min	Flickering lights that look sort of like a star.	10/10/11	37.9769096375,-87.5641174316	
9/7/11 21:54	Cedar Lake	IN	Circle	20sec	orangish circular shaped object multiple sightings 1 craft over a few weeks	10/10/11	41.3674507141,-87.4245681763	
9/2/11 23:00	Indianapolis	IN	Cigar	unknown	09/02/2011 at 11:00 PM. Vertical, white, smoky cigar shape. White light a tboth ends. Lights did not flash. I saw it while driving.	10/10/11	39.766910553,-86.1499633789	
9/1/11 20:50	Linton	IN	Light	3 minutes	We noticed two bright lights in the dusk sky.	10/10/11	39.0349502563,-87.16771698	
8/30/11 05:30	Franklin	IN	Unknown	20 minutes	Strange light pattern	10/10/11	39.4838218689,-86.0641098022	
8/27/11 23:15	Evansville	IN	Fireball	25 seconds	Brilliant reddsh orange "fireball"  moving silently from north to south over Evansville Indiana.	10/10/11	37.9769096375,-87.5641174316	
8/27/11 21:15	Carmel	IN	Sphere	1 minute	Unidentified flying object - tracked for approximately one minute and was a spherical pulsating Orange-Red color.	10/10/11	39.97838974,-86.1264190674	
8/26/11 20:30	Portage	IN	Other	30 minutes	25 small red/orange spheres slowly moving in all different directions and fading in and out.	10/10/11	41.5984687805,-87.1756286621	
8/22/11 05:00	Muncie	IN	Oval	2 minutes	Pulsing Object	10/10/11	40.1931610107,-85.381729126	
8/19/11 10:20	South Bend	IN	Sphere	30 seconds	A spherical craft several hundred feet up moving steadily east over Cleveland Road in South Bend, Indiana.	8/21/11	41.6790504456,-86.2540435791	
8/14/11 20:00	Fort Wayne	IN	Disk	4 hours	15+ a night flashing nights, streaks thru the night. Ships posing as stars PICS http://s819.photobucket.com/albums/zz112/itis33/8-5-201	8/21/11	41.0802612305,-85.1383132935	
8/13/11 20:45	Indianapolis	IN	Fireball	30 sec	Fireball Indianapolis	8/21/11	39.766910553,-86.1499633789	
8/10/11 13:00	Muncie	IN	Disk		I found an orange saucer in the street level view of google earth, in Muncie ind. In the sky from a few places	8/21/11	40.1931610107,-85.381729126	
8/6/11 00:00	Pendleton	IN	Triangle	4 seconds	Triangular, orange,still,flickering	8/21/11	39.9995613098,-85.7353973389	
8/5/11 21:15	Merrillville	IN	Fireball	2 min	Fireball in Merrillville IN	10/10/11	41.4855995178,-87.3383483887	
8/5/11 21:15	Schererville/Merrillville	IN	Triangle	2 min.	Multiple hovering orange sphere/orbs in a broken triangle shape over Hwy. 30	8/21/11	39.919921875,-86.2817993164	
