DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/28/11 21:05	Lindsborg	KS	Other	7 minutes	2 witness enormous craft	10/10/11	38.5691795349,-97.6758575439	
9/19/11 23:25	Lawrence	KS	Light	90 seconds	Oranges star traveling slightly faster than u would expect a plane, 16th of a inch tail trailing. Travel was from right to left ruling	10/10/11	38.9730606079,-95.2365264893	
9/10/11 23:30	Olathe	KS	Teardrop	2-3 minutes	A bright glowing orange/amber light appeared in the sky and moved at various speeds  before shooting off at incredible speeds.	10/10/11	38.8835296631,-94.8188705444	
9/6/11 19:45	Wichita	KS	Light	30 seconds	Dim slow moving ball of light suddenly very bright white turning 90° and shooting straight up.	10/10/11	37.6869812012,-97.3355789185	
9/1/11 21:00	Spring Hill	KS	Formation	2-3 minutes	Orange-red ball in sky south of KC splits into multiple balls before fading away.	10/10/11	38.7433395386,-94.8172912598	
9/1/11 20:55	Silver Lake	KS	Light	1 to 1 1/2 min.	An object moving Southeast in Kansas that appeared to be a bright star but dimmed and disappeared.	10/10/11	39.1000213623,-95.862701416	
8/31/11 21:52	Hazelton	KS	Unknown	2min	bright white light in rural Barber county kansas	10/10/11	37.0904388428,-98.4020385742	
8/20/11 21:15	Kansas City	KS	Formation	15-20 seconds	8-16-2011 I saw a rectangular object like a 2-story building on its side not moving and 8-20-2011 8 orbs not moving were together.	10/10/11	39.1133804321,-94.6268234253	
8/19/11 21:09	Kansas City	KS	Light	1 minute?	Cluster of lights spotted in sky over Kansas City, KS, moving at incredible rate of speed east toward KC, MO	8/21/11	39.1133804321,-94.6268234253	
8/16/11 22:30	Shawnee	KS	Fireball	2-3 minutes	Observed two slow moving fireballs come out of the north, heading south, turned and went north. Both emitted no sound.	8/21/11	39.0228996277,-94.7154312134	
8/11/11 04:15	Topeka	KS	Light	3 minutes	I stepped out of the garage at about 4:15 or maybe 4:30 am, into my three acre heavily	8/21/11	39.0492782593,-95.6711807251	
7/27/11 23:59	Overland Park	KS	Fireball	Ten seconds.	This was the second one of these I have seen in the last two or three months. I was driving south coming from Kansas City. The fireball	8/7/11	38.9848899841,-94.6716766357	
7/18/11 21:05	Bennington	KS	Cigar	10 minutes	Three individuals saw an airplane, one cigar-shaped, silver object & three, red-orange spheres in sky near home.	8/7/11	39.0309791565,-97.5935821533	
7/6/11 22:00	Overland Park	KS	Light	~ 5 Minutes	Two orange lights over Kansas City	7/17/11	38.9848899841,-94.6716766357	
7/4/11 22:30	Phillipsburg	KS	Sphere	3 minutes	My wife, myself and some friends were coming into our town when witnessed what I wanted to call a Chinese lantern. It flew right over t	7/17/11	39.7564506531,-99.3260116577	
7/4/11 22:30	Sylvan Grove	KS	Fireball	5 minutes	Unidentified, slow-moving glowing object, Sylvan Grove, Kansas	7/17/11	39.0115318298,-98.3932113647	
7/2/11 21:40	Newton	KS	Fireball	15 seconds	Large orange, soundless fireball passed over house with no trail	7/4/11	38.05286026,-97.3451309204	
6/30/11 20:40	Ottawa	KS	Sphere	10 sec	Ball of fire	7/4/11	38.6088409424,-95.2686691284	
6/24/11 22:45	Hoisington	KS		5 seconds	Low flying triangular object observed and disappeared while being observed.	6/27/11	38.5153312683,-98.7774429321	
5/29/11 04:45	Burrton	KS	Light	4 min	wow is ks a hot bed and were just not seeing it or hearing about it	6/3/11	38.0287094116,-97.6708374023	
5/22/11 12:00	Americus	KS	Oval	1 Hour	http://iwitness.weather.com/_Storm-Clouds/video/1583155/148597.html	5/29/11	38.5063781738,-96.2621383667	
5/22/11 01:00	Wichita	KS	Sphere	30+ minutes	Looking east about 3 miles over the airforce base i watched a small sphere make small sudden movements then shoot out to the southeast.	5/29/11	37.6869812012,-97.3355789185	
5/20/11 01:30	Kansas City	KS	Disk	?	Possible abduction, witnessed several hovering discs from the ground.	10/10/11	39.1133804321,-94.6268234253	
5/5/11 21:00	Bennington	KS	Light	2 minutes	An obj. that looked like a bright star, slowly descended straight toward the ground, slowly faded.((NUFORC Note:  ISS over-flight.  PD)	5/12/11	39.0309791565,-97.5935821533	
4/29/11 20:30	Emporia	KS	Unknown	2 seconds	UFO moving east to west over Emporia, KS	5/2/11	38.4056015015,-96.1801528931	
4/22/11 22:00	Topeka	KS	Fireball	3 sec	Bright, fast moving object over my head became even brighter before blinking out	5/2/11	39.0492782593,-95.6711807251	
4/21/11 16:00	Lenexa	KS	Other	4 min	we saw a large flat light sheet in the shape of what looked like texas it didnt make a sound and we didnt see any creatures	5/2/11	38.9609718323,-94.740562439	
4/20/11 08:56	Lenexa	KS	Light	6 seconds	bright green light over lenexa kansas	5/2/11	38.9609718323,-94.740562439	
4/11/11 05:30	Salina	KS	Light	2-3 minutes	Glowing sphere moving much faster than any aircraft I've seen near that altitude.	5/2/11	38.8405418396,-97.609703064	
4/1/11 08:00	Wichita	KS	Egg	20 minutes	My neighbors and I were on our way to work. As we were leaving our garages a huge light was seen by Scott, my next door neighbor. He ye	4/3/11	37.6869812012,-97.3355789185	
1/24/11 06:45	El Dorado	KS	Light	3 min	White light observed for about 3 minutes,( no noticable airplane lights) steady glow	1/31/11	37.8169517517,-96.8498001099	
1/4/11 19:00	Topeka	KS	Oval	30 to 40 minutes	Two different air-ships that traveled through a  city and traveling so low and making  no noise at all.	1/31/11	39.0492782593,-95.6711807251	
1/1/11 17:00	Wichita	KS	Cylinder	about 3 min	Cylinder shaped object  sighted above Wichita, KS	1/5/11	37.6869812012,-97.3355789185	
12/19/10 20:30	Wichita	KS	Oval	30 seconds	Green round ball flying through the sky	3/10/11	37.6869812012,-97.3355789185	
12/19/10 20:30	Wichita	KS	Oval	30 seconds	((HOAX??))  Green round ball flying through the sky	3/10/11	37.6869812012,-97.3355789185	
12/2/10 17:30	Kansas City	KS	Oval	approx 6 mins.	Two orange, flashing oval craft hovering low in sky	1/5/11	39.1133804321,-94.6268234253	
11/22/10 03:00	Topeka	KS	Fireball	3 seconds	Object lights up sky then large fireball	1/5/11	39.0492782593,-95.6711807251	
11/18/10 18:15	Topeka	KS	Cylinder	1 minute +	Stationary, cylindrical object with white flashing lights	11/21/10	39.0492782593,-95.6711807251	
11/9/10 12:20	Oxford	KS	Sphere	5 secs	Blue/green orb that shot off and disappeared.	11/21/10	37.2742500305,-97.1697311401	
11/6/10 03:00	Leavenworth	KS	Light	1 minute	Run of the Mill UFO	11/21/10	39.3192710876,-94.9156036377	
11/6/10 03:00	Leavenworth	KS	Sphere	1 minute	((HOAX??))  AT about 3:20 am I was leaving once again from a location with a high vantage point where I can see most of anything	11/21/10	39.3192710876,-94.9156036377	
11/5/10 06:00	Leavenworth	KS	Teardrop	15 seconds	((HOAX??))  Just a run of the mill UFO	11/21/10	39.3192710876,-94.9156036377	
11/5/10 03:20	Leavenworth	KS	Light	30 minutes	Late night UFO excitement in the county	11/21/10	39.3192710876,-94.9156036377	
11/5/10 03:00	Leavenworth	KS	Light	30 minutes	Late night UFO excitement in the county	11/21/10	39.3192710876,-94.9156036377	
