DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/7/11 22:13	Murray	KY	Other	30 seconds	A toy top shaped craft hovered and eventually disappeared over Murray, Kentucky.	10/10/11	36.6102294922,-88.3020401001	
10/7/11 21:00	Louisville	KY	Circle	5	Louisville, Kentucky 5 minutes	10/10/11	38.2548599243,-85.7664031982	
9/27/11 04:30	Richmond	KY	Triangle	2 minutes	Triangular aircraft with huge round lights underneath traveled within 30 feet of my window as I watched it come across the river.	10/10/11	37.7488098145,-84.2975692749	
9/22/11 13:15	Russell Springs	KY	Flash	10 Minuets	Strange 5 to 6 second pulse of Light streaked across Kentuckys view towards the north-east.	10/10/11	37.056678772,-85.0874023438	
9/21/11 03:00	Florence	KY	Triangle	a few hours	Triangle shaped object, 3 white lights, 1 red light in the center, extremely loud and prolonged sound.	10/10/11	39.0008392334,-84.6309890747	
9/20/11 22:25	Ashland	KY	Sphere	20 minutes	Orb shaped, pulsating violet/white light going eastward, stopping then quickly out of site to the north.	10/10/11	38.4806900024,-82.6435928345	
9/13/11 21:00	Florence	KY	Triangle	possibly 3 1/2 seconds	Blue aura, september 13th 2011. vanished in sky. possibly triangular. 6-11 p.m.	10/10/11	39.0008392334,-84.6309890747	
9/10/11 06:22	Dale Hollow Lake (near Burkesville)	KY	Sphere	30 - 40 seconds	Brown Sphere travelling at fairly low altitude opposite to wind direction.	10/10/11	36.6404647827,-85.2972717285	
8/31/11 21:25	Lily	KY	Diamond	5 minutes	Bright non-blinking object that began to dim and eventually disappeared completely.  ((NUFORC Note:  Possibly the ISS?  PD))	10/10/11	37.0257492065,-84.0665969849	
8/27/11	Lancaster	KY	Cylinder	Deer Camera	A huge long craft with bright white lights caught on deer camera.	10/10/11	37.619228363,-84.5787124634	
8/23/11 10:13	Middlesboro	KY	Circle	1 min	a big brite light in the sky moving south it was a ufo	10/10/11	36.6074409485,-83.7118835449	
8/22/11 20:47	Eddyville	KY	Other	apx. 5-minutes	Objects over Lyon Co., KY. 8/22/2011	10/10/11	37.0863800049,-88.0867919922	
8/16/11 11:40	Lexington	KY	Cylinder	5-6 seconds	Flat, reflective object spotted at high speed along US 60. Enters small cloud, Does not exit.	8/21/11	38.0485916138,-84.5003204346	
8/15/11 03:20	Lexington	KY	Triangle	2 hours	Close encounter of the really close kind?	8/21/11	38.0485916138,-84.5003204346	
