DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/3/11 21:00	Church Point	LA	Cylinder	10 minutes	Non reflecting Cyclinder shaped craft with no light or movement or noise.	10/10/11	30.4067192078,-92.2180786133	
9/2/11	Alexandria	LA	Triangle		blue/white glowing triangle over Alexandria, Louisiana	10/10/11	31.3126792908,-92.4456481934	
8/30/11 11:20	Bastrop	LA	Light	11:45	White/Orange Light Ball in sky at night over louisiana	10/10/11	32.7782516479,-91.9150466919	
8/12/11 23:27	Mandeville	LA	Sphere	1 minute	Silent orange/red illuminated jagged spherical object moved across the sky and disappeared	8/21/11	30.3724994659,-90.0791091919	
8/1/11 23:00	Winnsboro	LA	Unknown	over 2 hrs	We couldnt make out the shape but we saw red and blue flashing lights hovering for over 2 hrs..  ((NUFORC Note:  Twinkling star?  PD))	8/7/11	32.1655082703,-91.7172393799	
8/1/11 22:00	Violet	LA	Triangle	1-2 hours	2 triangle crafts, bright blue beams	8/7/11	29.9000606537,-89.9019165039	
7/15/11 21:20	Lafayette	LA	Formation	5 to 7 minutes	Red lights over Lafayette, Louisiana.	7/17/11	30.2203197479,-92.0170516968	
7/13/11 15:30	Gulf of Mexico	LA	Cylinder	30 sec	Cylinder -shaped object 75 miles offshore the Gulf of Mexico between Texas and Louisiana border	7/17/11	31.5419998169,-92.608001709	
6/29/11 23:25	Rayne	LA	Light	5-6 seconds	It was around 11:25 July 29, 2011. I was walking home from my girlfriends. As I was walking up to my driveway I noticed a growing ball	8/7/11	30.2351303101,-92.2683105469	
6/23/11 01:00	Lafayette	LA	Light	Approx. 3-4 minutes	Bright colors, changed speeds of colors changing.	6/27/11	30.2203197479,-92.0170516968	
6/18/11 23:15	Moreauville	LA	Light	8-10 seconds	Possible UFO in Moreauville, LA.  ((NUFORC Note:  Report from police office, who also is amateur astronomer.  PD))	6/20/11	31.0356197357,-91.9779815674	
6/17/11 10:50	Baton Rouge	LA	Circle	45 seconds	Unknown round object followed by two jets over Baton Rouge flying northwest at approx 11:00 AM	6/20/11	30.4433307648,-91.1869888306	
6/15/11 20:50	Chalmette	LA	Light	50 minutes	9 small star like objects moving at different times across night sky.	6/20/11	29.9414806366,-89.9734573364	
3/27/11 08:39	Moss Bluff	LA	Fireball	2-3minutes	We thought they were hot air balloons at first, but then we realized there were no landing spots for any. And why would they be flying	4/3/11	30.2996902466,-93.1951980591	
3/12/11 20:30	Kenner	LA	Light	4 secs	saw one dim light moving from north to south at a high rate of speed	3/23/11	29.9898796082,-90.2420578003	
3/1/11 09:31	Youngsville	LA	Unknown	long time	flashing lights red,blue,yellow	3/10/11	30.0996208191,-91.990562439	
2/26/11 19:15	Gonzales	LA	Teardrop	45 seconds	Bright orange fiery upside down teardrop floating slowly under clouds in a straight line in Gonzales, LA.	3/10/11	30.2386894226,-90.9207382202	
2/17/11 10:15	Houma	LA	Fireball	4 seconds	Fireball racing to earth.	3/10/11	29.5973300934,-90.7191314697	
1/20/11 00:02	New Orleans	LA	Light	1 second	Weird light shoots horizontally across sky around interstate I-10 headed east five minutes past Michoud exit before Irish bayou	1/31/11	29.9536895752,-90.0777130127	
1/15/11 20:00	Watson	LA	Triangle	2-3 minutes	Triangle craft in Watson, la.  Traveling over a field and then crossed the hwy.  and vanished. On January 15th at 8:00 pm I was  he	2/8/11	30.5756702423,-90.9517364502	
1/15/11 04:45	Plaquemine	LA	Circle	4:45 to 7:30	A bright white light that floats in the air with no aviation lights	1/31/11	30.2890300751,-91.2350311279	
12/24/10 22:00	Baton Rouge	LA	Oval	2-3 mins	Red orb spotted over Shenendoah Subdivision - Baton Rouge	2/8/11	30.4433307648,-91.1869888306	
12/19/10 05:50	Venice	LA	Light	5 Minutes	Two bright objects suddenly appear in the Pre-dawn sky and then rapidly accelerate out of sight.	1/5/11	33.9875411987,-118.47215271	
12/15/10 22:00	Opelousas	LA	Chevron	30 seconds	Completely silent enormous V shaped craft	1/5/11	30.5330104828,-92.0823822021	
12/10/10 23:00	Mandeville	LA	Cigar	1-2 minutes	http://www.google.com/imgres?imgurl=http://4.bp.blogspot.com/_8RLOdlrA7l4/S0uGORphrhI/AAAAAAAAAUY/DJvZ0uoFg6E/s320/Bright-cigar-shaped-	1/5/11	30.3724994659,-90.0791091919	
10/30/10 07:00	Ruston	LA	Teardrop	1.5 hours	Possible solid object surrounded by teardrop-shaped streak seen in morning sky.	11/21/10	32.5304985046,-92.639793396	
10/29/10 01:15	Chalmette	LA	Circle	15 SECONDS	ROUND BLACK DISC HOVERING OVER CHALMETTE, LA	1/31/11	29.9414806366,-89.9734573364	
10/26/10 18:30	Morgan City	LA	Fireball	2 min	Orange object in sky over Patterson or Morgan City area	11/21/10	29.7012405396,-91.2029190063	
9/28/10 05:00	Breaux Bridge	LA	Circle	3 hrs	i saw around lighted object in the sky only seen at night.	11/21/10	30.2733001709,-91.8996200562	
9/17/10 22:30	Lake Charles	LA	Light	15 minutes	The following description was provided to me from a work associate.  He describes that he was awakened one night, around 10:30 pm by hi	11/21/10	30.224029541,-93.2201080322	
9/14/10 19:35	Denham Springs	LA	Light	about 2 min.	Unusual bright lights moving high in the night sky	11/21/10	30.4870300293,-90.9554672241	
9/12/10 12:32	Algiers	LA	Other	5 minutes	Bronzed color , boomerang shape craft with an invisibility mode	11/21/10	29.9448795319,-90.0463790894	
8/29/10 21:00	Denham Springs	LA	Disk	3-4 min.	Fireball becomes a saucer right in front of my eyes!!!	11/21/10	30.4870300293,-90.9554672241	
8/24/10 20:40	Livingston	LA	Triangle	5 mins	triangle shaped UFO viewed over Livingston Loisiana heading due North	8/30/10	30.5031108856,-90.7528762817	
7/26/10 21:20	Gonzales	LA	Sphere	20 SECONDS	ORANGE FIERY ORB TRAVELING NORTH TO SOUTH  BENEATH CLOUD COVER THEN SHOT STRAIT UP THROUGH CLOUD COVER AND DISAPPEARED.	7/28/10	30.2386894226,-90.9207382202	
