DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/9/11 20:00	New Bedford	MA	Fireball	10 minutes	Nine orange glowing fireballs Court St west end New Bedford Ma heading southeast about 8 PM.	10/10/11	41.6376686096,-70.9308700562	
9/25/11 22:30	Charlton	MA	Other	1 hour	Bright Pulsating Moving Light/Object.   ((NUFORC Note:  Sirius??  PD))	10/10/11	42.1347007751,-71.9697570801	
9/18/11 21:45	Dennisport	MA	Other	1 minute	Around 9:45 i looked up at the sky and saw a star light blinking repeatedly.   ((NUFORC Note:  Possibly Sirius?  PD))	10/10/11	41.6648292542,-70.1286315918	
9/18/11 07:45	Norwood/Boston	MA	Disk	20 minutes	We saw this disk like object floating above the horizon of Norwood Massachusetts. We drove up and parked our car on a hill and watched	10/10/11	42.2922897339,-71.0468597412	
9/17/11 02:00	Chicopee	MA	Flash	10 seconds	a flash of light  bigger than a shooting star	10/10/11	42.1481895447,-72.6069717407	
9/10/11 22:00	West Yarmouth/Lewis Bay	MA	Circle	2'	12-15+ orange lights silently moving over Lewis Bay	10/10/11	42.3639984131,-71.5329971313	
9/3/11 20:00	Windsor	MA	Circle	5 minutes	Myself and a passenger observed a hovering and moving red ball of light while driving in a rural area.	10/10/11	42.5109901428,-73.0558700562	
9/3/11 08:30	Fitchburg	MA	Circle	2 min	Orange lights sceen over fitchburg ma.	10/10/11	42.5817604065,-71.7922592163	
9/2/11 19:00	New Bedford	MA	Disk	20 minutes	Disk-like object floating over new bedford aprox. 300' in air.	10/10/11	41.6376686096,-70.9308700562	
9/1/11 18:45	Falmouth	MA	Light	3 minutes	Bright silent craft with no navigation lights slowly cruises across the night sky.  ((NUFORC Note:  ISS??  PD))	10/10/11	41.5523490906,-70.617477417	
8/30/11 21:45	Bridgewater	MA	Chevron	1-2 seconds	chevron object with lights north south path in Bridgewater MA almost invisible and really fast	10/10/11	41.982624054,-70.9840240479	
8/22/11 14:00	Mashpee	MA	Sphere	~30 sec.	Approximately 10 silver/ irridescent spheres seen flying South in a formation over Cape Cod, MA	10/10/11	41.6483383179,-70.4812927246	
8/21/11 13:00	Worcester	MA	Other	10:00 min.	I was in the parking lot of a fast food restaurant and noticed an object approximately  two miles away traveling from south west to nor	10/10/11	42.2634086609,-71.802192688	
8/19/11 21:00	New Bedford	MA	Formation	5-6 minutes	Glowing orbs flying in formation in the New Bedford sky	8/21/11	41.6376686096,-70.9308700562	
8/13/11 22:00	Dennis Port (Cape Cod)	MA	Unknown	5 -10 min	Slow moving unusual brilliant liquid white like single object over Cape Cod	8/21/11	41.6648292542,-70.1286315918	
8/13/11 20:00	Grafton	MA	Light	5 min	Two still, round objects that were very bright and were not resting on anything, so could not be a lamp post of some sort.	8/21/11	42.2108688354,-71.6922302246	
8/13/11 09:31	Mashpee	MA	Circle	10 min	twenty ambers balls moving across the sky in pairs, shoot upwards then disappear.	8/21/11	41.6483383179,-70.4812927246	
8/12/11 20:30	Westport	MA	Fireball	5 minutes	orange ball of fire	8/21/11	41.5835914612,-71.0888290405	
8/11/11 22:00	Oak Bluffs	MA	Light	4-7 minutes	seven orange lights floating over ocean in oak bluffs	8/21/11	41.4578094482,-70.5562515259	
8/10/11 13:00	Worcester	MA	Egg	five minutes	Silent craft overhead	10/10/11	42.2634086609,-71.802192688	
8/5/11 20:30	Grafton	MA	Unknown	6 minutes	Column of orange-red-amber lights appeared in night sky then disappeared into clouds.	8/7/11	42.2108688354,-71.6922302246	
8/1/11 00:45	Lawrence	MA	Other	5 mins	Large glowing spere like object appears vanishes and appears as a strange bar shaped object with two lights then vanishes.	8/7/11	42.710319519,-71.161239624	
7/31/11 21:45	Yarmouthport	MA	Diamond	5 min.	Orange flaming diamond shaped object moving slowly & silently over nighttime sky in Yarmouthport, MA	8/7/11	41.7035484314,-70.2547683716	
7/30/11 23:00	Dennisport	MA	Rectangle	4-8 minutes	Orange light silently moving in night sky over Old Wharf Road towards ocean.	8/21/11	41.6648292542,-70.1286315918	
7/30/11 22:30	Mattapoisett	MA	Light	5 minutes	Witnessed 3 bright orange lights moving slowly through the sky.	8/7/11	41.6591186523,-70.8167800903	
7/30/11 22:00	Norfolk	MA	Light	seconds	July 31 @ approximately 10 and 10:30 pm watching the night sky and saw two separate balls of light very large streak across the sky.  I	8/7/11	42.1591796875,-71.2160186768	
7/30/11 22:00	Norfolk	MA	Fireball	30 seconds	More that one siting over the last five years.	8/21/11	42.1591796875,-71.2160186768	
7/30/11 21:45	Yarmouthport	MA	Triangle	3-4 minutes	As suggested - I wrote to the local newspaper to inquire about a UFO siting by my husband and myself. This is as it appeared in the pap	8/21/11	41.7035484314,-70.2547683716	
7/30/11 13:45	Buzzards Bay	MA	Diamond	15 seconds	sitting in my back yard. around 345pm,.  light haze to  the sky, with mostly sunny skies.i heard a faint jet engine  .living near cape	8/7/11	41.7458114624,-70.611656189	
7/30/11 00:00	Lowell	MA	Light	9 min	UFO on Pawtucket Blvd. in Lowell Massachusetts on July 30th.  ((NUFORC Note:  Possible "twinkling" star?  PD))	8/7/11	42.6458892822,-71.3128433228	
7/27/11 22:00	York	MA	Fireball	5 min	small orange-red 'fireball' orb moving slowly along beach	8/7/11	-6.71152019501,-44.0438308716	
7/20/11 22:30	Wilbraham	MA	Oval	10 Minutes	Round object seen rising above tree line with green lights moving in circular motion with search light.	8/7/11	42.121509552,-72.4476776123	
7/20/11 22:15	Bridgewater	MA	Light	10-15 seconds	i saw what looked to be a star moving from the left to right going too slow to be a shooting star and too fast and high to be a plane.	8/7/11	41.982624054,-70.9840240479	
7/16/11 21:45	Onset	MA	Fireball	20 minutes	15-20 oranges lights in formation move across sky in Onset, MA	8/7/11	41.7450218201,-70.6617965698	
7/15/11 22:00	Luenburg	MA	Fireball	1 minute	One orange glow looked like a ball of fire flew toward us above the cloud line in a straight line and disappeared just like that.	7/17/11	42.5955696106,-71.7249908447	
7/4/11 22:00	Plymouth	MA	Changing	1 minute	There was a silent white light floating just above the trees. Then it was gone. Words cant discribe what we saw.	7/6/11	41.9539909363,-70.6588973999	
7/1/11 00:05	Mansfield	MA	Light	1 minute	Two bright lights seen moving together at constant pace slowly dimming into darkness	7/4/11	42.0317764282,-71.2184066772	
6/18/11 23:30	Fall River	MA	Circle	10 min	Orange lights over Massachusetts.	6/20/11	41.6973495483,-71.1436462402	
6/15/11 23:30	Saugus	MA		20 seconds	Two groups of orange lights in Saugus, Massachusetts.	6/20/11	42.466293335,-71.0122299194	
6/15/11 10:42	Plymouth	MA	Unknown	10 mins	Fighter Jets trailing object in vicinity of reactor.	6/20/11	41.9539909363,-70.6588973999	
6/4/11 23:00	Boston	MA	Light	4 secs	Sat outside and saw lights appear and disappear in the sky.	6/27/11	42.358631134,-71.0567016602	
5/31/11 23:00	Wareham	MA	Light	00/00/02	Bright flashes celestial.  ((NUFORC Note:  Possible hoax; date is flawed.  PD))	6/3/11	41.7598609924,-70.7237319946	
5/31/11 22:45	Wareham	MA	Light	0:2:00	near miss terrestrial objects.  ((NUFORC Note:  Possible hoax; date is flawed.  PD))	6/3/11	41.7598609924,-70.7237319946	
5/28/11 22:17	Quincy	MA	Light	45 sec	Eight red lights formed two lines of four then form a vee formation and flew straight up.	5/29/11	42.252281189,-71.00415802	
5/22/11 19:04	Northampton	MA	Formation	1 minute	((HOAX??))  Eight bright yellow lights flying north to south several hundred feet above the Connecticut river.	5/29/11	42.3178100586,-72.6323776245	
5/21/11 18:00	Lakeville	MA	Light	10 minutes	Sow moving white-sliver point of light- daytime	5/29/11	41.8508110046,-70.9498901367	
5/18/11 00:30	Gloucester	MA	Disk	20 mins	Driving on main road, saucer-type craft floating about 500 feet from the ground. Very fast movement upon departure from area seen.	5/29/11	42.6143493652,-70.6681137085	
5/8/11 22:15	New Bedford	MA	Light	5 minutes	12 silent amber moving lights were observed under a cloud cover lower than airplanes fly	5/12/11	41.6376686096,-70.9308700562	
5/6/11 09:15	Lexington	MA	Triangle	25 seconds	Triangular tumbling object with red grey shimmering light flying over highway 95 Lexington Mass morning May 6th 2011	5/12/11	42.4464797974,-71.2230529785	
4/27/11 06:30	Fairhaven	MA			((HOAX??))  Appeared to have control over it's movements.	5/2/11	41.6359481812,-70.9034729004	
4/8/11 03:57	Easton	MA	Light	4-6sec.	bright , very fast moving/stopping white lights in upper night sky	5/2/11	42.0360984802,-71.0971984863	
4/6/11 03:15	Hatfield	MA	Formation	7 seconds	April 6 2011 Formation Sighting Over Hatfield MA	5/2/11	42.3717498779,-72.5964279175	
3/23/11 00:05	Burlington	MA	Triangle	8 to 10 seconds	A flying wing or triangle in Burlngton, MA, just after midnight.  ((NUFORC Note:  Reliable witness, who is a public employee.  PD))	3/23/11	42.5067749023,-71.1958847046	
3/12/11 18:45	Stow area (Over Rte. 495)	MA	Other		3/12/11 @ 6:45pm; Over Rte. 495 around Stow, MA - hovering object with a large, flashing white light,  smaller red/green lights	3/23/11	-3.23329997063,-44.6166992188	
3/3/11 19:15	North Dartmouth	MA	Light	7 mins	2 light emitting objects splitting from each other and having sporadic movements in north dartmouth	3/10/11	41.6403884888,-70.9808273315	
2/9/11 20:00	Lenox (general area)	MA	Triangle	15 SEC	saw a triangular flying object in the berkshires tonight.	2/18/11	42.3564605713,-73.2842178345	
2/8/11 19:15	Brockton	MA	Light	30 secs	Three glowing ambers lights flying in a formation over Brockton, MA	2/8/11	42.0831718445,-71.0172424316	
1/29/11 21:50	Ashburnham	MA	Unknown	
	bright white ball of light flying at rapid speed over house at about 100 ft above ground level.	1/31/11	42.635799408,-71.9083480835	
1/29/11 21:45	Shelburne Falls	MA	Circle	7 sec.	WHITE DESCENDING BALL OVER WESTERN MASSACHUSETTS	1/31/11	42.6068305969,-72.7367782593	
1/28/11 18:17	Brewster	MA	Other	1 minute	Strange craft emitting large beams spotted in Brewster MA.	1/31/11	41.7638282776,-70.0746765137	
1/21/11 17:15	North Eastham	MA	Fireball	5 seconds	bright green and red fast moving light	1/31/11	41.8663787842,-69.9845504761	
1/21/11 17:15	Sutton (South Worcester Co.)	MA	Triangle	10 seconds	Triangular craft over Rte 146	1/31/11	42.1500015259,-71.7632980347	
12/31/10 19:00	Leominster	MA	Light	2 seconds	very bright object low flying streak across the sky	1/5/11	42.5264205933,-71.7596130371	
12/28/10 23:40	Auburn and Westboro	MA	Other	10-15 minutes	3 Objects, All were bright glittery, 2 eventually turned off bright lights and were observed, third travlled quickly.	1/5/11	42.3639984131,-71.5329971313	
12/28/10 13:00	Palm Beach	MA	Sphere	13:00-now	far out in the ocean w/ binoculars I saw 2 stationary but drifting rectangles, and 2 or 3 white orbs stationary but drifting.	1/5/11	36.434059,-5.114225	
12/25/10 17:35	Rockport	MA	Unknown	1 min.	Looked like a satelite, blue in color, speed was regular then slowed down, zig zagged changing colors,(don't remember the colors exactl	3/10/11	42.6567687988,-70.6188964844	
12/25/10 12:01	Lynn	MA	Unknown	7 or 8 mins	5 bright orange lights disappeared in mid air	1/5/11	42.4636993408,-70.9502182007	
12/24/10 22:00	Lynn	MA	Light	15:00	5 Amber Lights over Northshore MA	1/5/11	42.4636993408,-70.9502182007	
12/24/10 19:00	Chelsea	MA	Triangle	10 sec	on cristmas eve around 7 pm i went outside to smoke a cigarette i always look to the sky since an unexplained experience i had back in	1/31/11	42.3937606812,-71.032371521	
12/19/10 05:20	North Falmouth	MA	Fireball	not sure	Large orange glow in the distance	1/5/11	41.6455383301,-70.6179580688	
