DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 21:00	Gaithersburg	MD	Sphere	1 hour	Shimmering object in northern sky of Montgomery County Maryland	10/10/11	39.1398582458,-77.1938171387	
10/6/11 17:45	Frederick	MD	Sphere	20-25 minutes	I saw a Golden Sphere hovering a couple miles out, possibly over Camp David.  ((NUFORC Note:  Weather balloon??  PD))	10/10/11	39.4722595215,-77.3981018066	
9/20/11 17:30	Baltimore	MD	Unknown	approx. 2 min.	Object in mid air with 3 distinct lights	10/10/11	39.2905502319,-76.6095962524	
9/16/11 03:10	Odenton	MD	Circle	3 minutes	2 Clockwise Rotating Lights around each other.  ((NUFORC Note:  Possibly an advertising or display light??  PD))	10/10/11	39.081401825,-76.6950531006	
9/15/11 21:15	Chestertown	MD	Flash	2 hours	Every 10 seconds flashing green light	10/10/11	39.2122192383,-76.0659866333	
9/13/11 23:30	New Carrollton	MD	Unknown	several seconds	Loud Sonic Booms Heard Followed By Helicopter In Maryland	10/10/11	38.9667892456,-76.8648071289	
9/13/11 00:00	Dundalk	MD	Triangle	5 minutes	triangle lights fly accross the sky and disappear.	10/10/11	39.2693099976,-76.5035171509	
8/30/11 03:30	Pasadena	MD	Flash	7 to 9 seconds	BLUE FLASHES, LIEK CAMERA STROBE, IN PASADENA SKY EARLY TUES.AM/3:30AM/8.30.11	10/10/11	39.1096611023,-76.5732574463	
8/12/11 09:30	Bel Air	MD	Fireball		25 Unknown objects counted 30 human aircraft	8/21/11	39.5389404297,-76.3484802246	
8/11/11 23:30	Annapolis	MD	Rectangle	5 seconds	Looked like a firecracker	8/21/11	38.9766998291,-76.4899291992	
8/7/11 10:15	Joppa	MD	Light	10 seconds	Bright ball of light moving fast  right to left then slow up and down then gained speed and disappeared	8/21/11	39.4333000183,-76.3575897217	
8/6/11 03:00	Maryland	MD	Oval	ten minutes	((HOAX??))  Bright oval object moving across the night sky.  ((NUFORC Note:  Source does not indicate a date.  PD))	8/7/11	38.8877182007,-76.9066467285	
8/2/11 22:00	Silver Spring	MD	Sphere	1 hr.	Red-Orange "Fireballs" in the Night sky	8/7/11	38.9966812134,-77.0288696289	
8/1/11 04:30	Severa Park	MD	Egg	about 30 seconds	three flashes, 3 objects moved to a certain spot in the sky, started spinning, then disappeared	8/7/11	39.0740814209,-76.5438613892	
7/31/11 19:30	Washington, D.C.	MD	Sphere	10 seconds	while watching the debt debate on cnn news channel we witnessed an ornage sphere flying over the capital during an commercial break on	8/7/11	
7/26/11 15:00	Kent Island	MD	Cylinder	3 min	silver cylinder craft in sky appearing to watch a lightening storm, white fin on it, right off of Kent Island	10/10/11	38.9464073181,-76.3167266846	
7/18/11 00:04	Lusby	MD	Sphere	2 seconds	Large blue/green sphere  over Calvert County.  ((NUFORC Note:  Report from aviation mechanic.  PD))	8/7/11	38.410369873,-76.455116272	
7/17/11 22:00	Elkton	MD	Flash	1 1/2 min's	Object seen over Elkton MD moving away from me(straight up) 10pm 7/17/11	8/7/11	39.6085586548,-75.8301315308	
7/13/11 03:00	Olney	MD	Changing	3 hours	UFO with "tentacles" hovering in Olney, Maryland.  ((NUFORC Note:  Possible sighting of celestial body??  PD))	7/17/11	39.1503982544,-77.0680923462	
7/3/11 22:10	Pasadena	MD	Circle	5 minutes	We observed the exact shape of objects shown in the photograph of the sighting on 5/09/11	7/4/11	39.1096611023,-76.5732574463	
6/29/11 22:04	Fruitland	MD	Light	5 seconds	We saw a bright light slowly fade while moving slowly.  ((NUFORC Note:  International Space Station over-flight.  PD))	7/4/11	38.3207206726,-75.6106567383	
6/24/11 03:00	New Carrollton	MD	Other	Seconds	Set of sky flashes lit up entire sky with out any radar anomaly or storm.	6/27/11	38.9667892456,-76.8648071289	
6/13/11 20:00	Annapolis	MD	Cylinder	fifteen minutes	White cylinders with fins moving over Eastport, Annapolis.	6/20/11	38.9766998291,-76.4899291992	
6/7/11 22:00	Pasadena	MD	Light	4 minutes	Saw unusual object that was not familar as other aircraft we see constantly	6/12/11	39.1096611023,-76.5732574463	
5/28/11 23:15	Cockeysville	MD	Light	1 min	Bright ball of light moving upward very fast eventually becoming a speck before disappearing within seconds	5/29/11	39.4881591797,-76.654296875	
5/28/11 04:24	Westminster	MD	Changing	14 mins	Intensely bright, crescent shape to round in SE night sky	8/7/11	39.5744781494,-76.9925613403	
4/17/11 23:30	Westminster	MD	Circle	3 Minutes	Orange Lighted Object Spotted In Westminster, MD.	5/2/11	39.5744781494,-76.9925613403	
4/9/11 00:15	Annapolis	MD	Circle	10 minutes	Stationary light over Annapolis, MD	5/2/11	38.9766998291,-76.4899291992	
3/30/11 01:45	Easton	MD	Triangle	10-15 minutes	Black Triangle UFO 4 Lights... 1 Red(Blinking).. 911 Called	5/2/11	38.7738990784,-76.0747528076	
3/29/11 21:00	Baltimore	MD	Circle	5 min	UNBELIEVABLE!	4/3/11	39.2905502319,-76.6095962524	
3/11/11 23:10	Owings Mills/Baltimore	MD	Light	1 minute	2 bright white lights sitting above the beltway, not moving whatsoever.	3/23/11	39.4380226135,-76.7809295654	
3/5/11 20:30	Delmar	MD	Circle	3-4 seconds	March 5th 2011 (Delmar, MD. 21875) Saturday Night at Approx. 20:30 - Bright Round Object	3/10/11	38.4555511475,-75.5741882324	
3/4/11 22:00	Elkton	MD	Flash	3 seconds	Bright fast moving flash appearing out of nowhere decending at a 45 degree angle lasting for 3 seconds.	3/10/11	39.6085586548,-75.8301315308	
3/3/11 20:30	Rising Sun	MD	Light	2 to 3 mins	AT NIGHT 5 OR 6 LIGHTS FORMED A CIRCLE, DESENDED, THAN LIGHTS WENT OUT	3/10/11	39.6979904175,-76.0637893677	
2/22/11 01:45	Germantown	MD	Unknown	10 minutes	Unable to move encounters of a 4th kind	2/23/11	39.1821784973,-77.2700424194	
2/14/11 04:00	Pasadena	MD	Other	15 minutes	Unexplainable extra large smokey full moon disapears into thin air .	2/18/11	39.1096611023,-76.5732574463	
2/13/11 16:35	Jacksonville	MD	Triangle	40 SECONDS	Since I'm a hunter (waterfowl) when I was what looked like snow geese circling I started to watch close. The sighting was about 1/2 mil	2/18/11	39.5191497803,-76.5626907349	
2/2/11 20:00	Charlotte Hall	MD	Light	10-20 Minutes	Two sighting, including a single floating orb, and the other including three orbs in a triangular formation.	3/23/11	38.4748191833,-76.7933578491	
1/29/11 02:00	Parkville	MD	Light	2 MINUTES	This wasnt just a star...it was something more	2/8/11	39.3785018921,-76.5388183594	
1/27/11	Lanham	MD	Disk	minute	I was taking random pictures while on the bus going around Landover Mall and saw what appears to be a UFO in two of them in the 4:21 PM	1/31/11	38.9619102478,-76.8623428345	
1/22/11 12:40	Bel Air	MD	Light	1 minute	two lights beside eachother  shooting upward str8 into the sky at various speeds	1/31/11	39.5389404297,-76.3484802246	
1/19/11 20:00	District Heights	MD	Flash	1 hour	Last Tuesday night i was in my bedroom had the TV and listening to a gospel cd I brought on my computer when I heard this loud noise go	2/8/11	38.8608398438,-76.8816299438	
1/16/11 20:12	Gaithersburg	MD	Circle	2 miuntes	I was in the back seat of a moving vehicle in Gaithersburg, Maryland when I saw a bright, gold, circular object to the east	1/31/11	39.1398582458,-77.1938171387	
1/8/11 21:00	Nottingham	MD	Formation	3 mins	3 bright objects in sky fly in formation over White Marsh MD	1/31/11	39.0281715393,-76.5477371216	
1/4/11 15:30	Chesapeake Bay	MD	Other	hour	I WOULD LIKE TI BRING TO YOUR ATTENTION, THE DEATH'S OF THOUSANDS OF FISH IN THE CHESAPEAK BAY THE FISH WERE ALL YOUNG FROM ONE TO THRE	1/31/11	38.5167045593,-76.3829879761	
1/1/11 00:00	Joppatowne	MD	Fireball	1:30	Silent Red Light of New Years	1/5/11	39.4580993652,-76.3585281372	
12/28/10 18:50	Skidmore	MD	Light	3 -4 sec	Flash of light	1/5/11	39.0196990967,-76.4162979126	
12/8/10 21:28	Gwynn Oak	MD	Triangle	21 seconds	it was a sight to see,	1/5/11	39.3247909546,-76.7133636475	
12/8/10 21:28	Gwynn Oak	MD	Triangle	21 seconds	It was a sight to see,	1/5/11	39.3247909546,-76.7133636475	
12/2/10 19:00	Silver Spring	MD	Circle	Approximately five minute	Five to eight orange circles in the sky.	1/5/11	38.9966812134,-77.0288696289	
12/2/10 18:00	Silver Spring	MD	Other	15 min	four large clusters of lights flying in close proximity	1/5/11	38.9966812134,-77.0288696289	
11/27/10 23:30	Ocean City	MD	Triangle	01min	UFO over Ocean City, Maryland	1/31/11	38.3349990845,-75.0843582153	
11/23/10 19:30	Columbia	MD	Cylinder	1 minute	cylinder shaped object with moving lights	1/5/11	39.2091598511,-76.8673095703	
11/19/10 19:00	Berlin (Assateague Island)	MD	Triangle	20 minutes	Three stationary lights in triangular pattern	1/5/11	38.3222007751,-75.2183609009	
11/18/10 20:30	Waldorf	MD	Light	1/2 second	one small white ball of light, without a tail flashed through the sky for just 1/2 of a second then disappeared	11/21/10	38.6156997681,-76.9024581909	
11/17/10 00:24	Middle River	MD	Disk	6 minutes	I saw a ufo behind my neighbors house on the ground.	11/21/10	39.3373718262,-76.4052886963	
11/4/10 19:55	Williamsport	MD	Diamond	20:24	Close encounter with a hovering craft.	11/21/10	39.5958709717,-77.8211898804	
10/27/10 23:20	Mt. Savage	MD	Oval	1 hour	changing shades of green and blue.  kind o moving in a circular motion.  ((NUFORC Note:  Twinkling stars??  PD))	11/21/10	39.7007713318,-78.8447189331	
10/2/10 21:00	Severn/Glen Burnie (BWI area)	MD	Triangle	1 minute	Triangular shaped craft seen hovering near a highway. Large and did not move.	11/21/10	39.0773010254,-76.5865859985	
