DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/5/11 05:10	Lyman	ME	Formation	15 Minutes	Multiple pointed circular shere, void center, very bright, very stable in shape, not moving, very high.	10/10/11	46.4390335083,6.51975107193	
9/25/11 23:40	Phillips	ME	Light	a few seconds	Very large light moving across the sky, disappearing behind the tree line, followed by a flash of light as if something had exploded	10/10/11	44.8237686157,-70.3407974243	
9/19/11 22:00	Presque Isle	ME	Unknown	6 hours	5 objects seen in aroostook county sky numerous times!  ((NUFORC Note:  We suspect twinkling stars.  PD))	10/10/11	46.6816101074,-68.01537323	
9/10/11 21:30	Harrison	ME	Circle	10 minutes	Yellowish/red spheres observed off to the southwest about  9:30 PM on 9/10/11?	10/10/11	44.1101417542,-70.6796188354	
9/10/11 13:30	Vassalboro	ME	Cylinder	10 sec	Approximately 13:30(130pm)on Saturday September 10,2011 at Vassalboro, ME, about ten miles N of Augusta on the Holman Day Rd.	10/10/11	44.4531402588,-69.6800613403	
9/1/11 21:00	Bernard	ME	Fireball	1 - 2 minutes	A bright orange fireball traveled very slowly , taking 1 - 2 minutes, from east to west over Bass Harbor before burning itself out.	10/10/11	44.302772522,-68.3737335205	
8/31/11 20:14	Industry	ME	Light	3Min	Star-like obkect in sky moves silently, and changes directions.	10/10/11	44.6713218689,-70.0240859985	
8/26/11 22:30	Portland	ME	Formation	10 minutes	4 small red disappearing lights in arch formation	10/10/11	43.6591415405,-70.256652832	
8/20/11 22:00	Palermo	ME	Light	5-7 minutes	Bright red object traveled slowly across the sky from the southwest to northeast and then disappeared.	8/21/11	44.4134483337,-69.4544906616	
8/16/11 20:10	Old orchard beach	ME	Formation	3-5 min.	6 slow moving balls of light disappear into a cloud	8/21/11	43.5180702209,-70.3776016235	
8/13/11 23:00	York	ME	Circle	3 minutes	Round orange object traveling south to north over the ocean	8/21/11	43.1440200806,-70.6511535645	
8/12/11 21:00	York	ME	Light	23:00	Bright Orange lights over York Beach!	8/21/11	43.1440200806,-70.6511535645	
8/12/11 21:00	York	ME	Light	23:00	Bright Orange lights over York Beach!	8/21/11	43.1440200806,-70.6511535645	
8/11/11 02:30	Orr's Island	ME	Unknown	1.5 Hours	Fireball and orbs moving very rapidly at sharp angles	8/21/11	43.7723197937,-69.9672927856	
8/8/11 23:00	Winslow	ME	Light		Winslow sighting of two white oscilating lights	8/21/11	44.5461196899,-69.6171722412	
8/7/11 00:41	Winslow	ME	Light	1:41	Odd oscillating white lights above Maine (Sighted in central Maine)	8/7/11	44.5461196899,-69.6171722412	
7/12/11 01:00	Hartland	ME	Sphere	3 mins	UFOs over Great moose Lake, Maine 7-12-11	7/17/11	44.8836212158,-69.4462966919	
7/10/11 21:30	York Beach	ME	Circle	10 Minutes	Eight round orange obects observed over York Beach.	8/7/11	43.1718215942,-70.608039856	
7/7/11 22:15	Harrison	ME	Sphere	10 minutes	Orange Orbs in Western Maine	8/21/11	44.1101417542,-70.6796188354	
