DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/2/11 21:00	New York Mills	MN	Light	1 minute	One satellite chasing another	10/10/11	46.5177192688,-95.3733673096	
9/25/11 18:10	Marcell	MN	Circle	60 seconds	Brilliant bright white light that seemed to be floating across the sky and then suddenly disappeared.	10/10/11	47.5956802368,-93.6901092529	
9/24/11 22:00	Burnsville	MN	Unknown	15 min	Hovering Object Near Cliff Rd/Portland Ave S	10/10/11	44.7658500671,-93.274772644	
9/23/11 21:15	Hugo	MN	Other	1 minute	Flame in the sky	10/10/11	45.1621894836,-92.9925765991	
9/21/11 21:30	Maple Grove	MN	Fireball	3 minutes	Fireballs seen over Maple Grove MN	10/10/11	45.0982894897,-93.4430999756	
9/16/11 21:20	Ramsey	MN	Circle	1 minute	Ball of Fire over Ramsey, MN seen by 2.	10/10/11	45.0170402527,-93.0994796753	
9/15/11 02:00	Bloomington	MN	Sphere	5 Seconds	Bright sphere sitting still in sky, after 3 seconds it moved impossibly fast vertically, down behind horizon.	10/10/11	44.8204917908,-93.3063583374	
9/10/11 20:30	Lakeville	MN	Formation	1 hour	Hovering objects with flashing lights viewed from a suburban area.  ((NUFORC Note:  Possibly a sighting of stars??  PD))	10/10/11	44.6570091248,-93.242729187	
9/5/11 21:45	Lakeville	MN	Fireball	4-5 mins	Red light object in the Minnesota sky	10/10/11	44.6570091248,-93.242729187	
9/4/11 13:30	Faribault	MN	Egg	5 minutes	craft, egg shaped, with U shape around half of it, slowly flying by at about 500 feet in the air, lasting about 5 minutes	10/10/11	44.2946891785,-93.2753829956	
9/4/11 02:00	International Falls	MN	Oval	15 secs.	very small with pink and blue lights and could move very fast. It flew very close  to us	10/10/11	48.6026000977,-93.4036483765	
9/1/11 01:22	Sherburn	MN	Triangle	1.5 to 2 minutes	object spotted, triangular in shape, 3 glowing red/amber lights, silent, 25 to 30 feet in length, made movements not possible to planes	10/10/11	43.6522903442,-94.7279968262	
8/29/11 20:00	Gilbert	MN	Light	5 minutes	Star-like spheres for past few weeks consistant every night.	10/10/11	47.4909095764,-92.4630432129	
8/28/11 21:45	Rochester	MN	Light	3 minutes	Lighted object in orbital motion changed color, stopped, moved erratically at varying speeds, on a non-orbital path.	10/10/11	44.0193481445,-92.4591522217	
8/26/11 00:00	Saint Paul	MN	Light	10sec	UFO in Minnesota at midnight	10/10/11	44.9438209534,-93.0933227539	
8/24/11 04:15	Cloquet	MN	Light	1 1/2 hrs, still there	UFO scanning, in the sky.  ((NUFORC Note:  Possibly not a serious report.  PD))	10/10/11	46.7143096924,-92.4810409546	
8/17/11 23:10	Buffalo	MN	Unknown	10 seconds	Hovering silent craft, size of small plane, maybe spherical	8/21/11	45.172580719,-93.8762283325	
8/17/11 18:10	Cannon Falls	MN	Cylinder	1 minute	cylindrical, white, shining, floating object moved at lightning speed hovering in several places before disappearing	8/21/11	44.5076293945,-92.9057388306	
8/13/11 21:29	Annandale	MN	Light	5mins	Two distant orange lights hover, move slowly, maneuver, then disappear.	8/21/11	45.261390686,-94.1237487793	
8/7/11 18:30	Minneapolis	MN	Circle	6 seconds	Round white object over Minneapolis that disappeared	8/21/11	44.9790306091,-93.2649307251	
8/7/11 01:14	Oronoco	MN		10 minutes	shape changing radiant object in SE MN 080711	8/21/11	44.1663208008,-92.5358734131	
8/6/11 21:50	Bloomington	MN	Light	3 min	I shortly viewed a short lived cluster of 8 lights at approximately 1500 feet over a swamp area in a river valley by an airport..	8/21/11	44.8204917908,-93.3063583374	
7/28/11 19:30	Blackduck/Bemidji (between)	MN	Circle	A few seconds	Bright white light, comes and goes in seconds but disappears mid air	8/7/11	46.3491096497,-94.1983184814	
7/22/11 22:40	Woodbury	MN	Unknown	5 minutes	Silent, orange, glowing craft flies over Woodbury Minnesota.	8/7/11	44.9198684692,-92.940612793	
7/7/11 22:40	Coon Rapids	MN	Light	2 minutes	Bright light in Coon Rapids	7/17/11	45.1730918884,-93.304397583	
7/4/11 23:00	St. Louis Park	MN	Circle	4 Minutes	Red ball was floating in the sky after the firwork display in SLP, MN	7/17/11	44.9484786987,-93.3433914185	
7/4/11 22:30	Apple Valley	MN	Fireball	3 min	10 witnesses saw a reddish orange glowing silent object starting in the south hemisphere and dissappearing 3-4 min later in the north	7/6/11	44.7427482605,-93.2175827026	
7/4/11 22:00	Underwood	MN	Light	45 minutes	Solid individual orange-yellow lights flying from SW tracking directly into an intense lightning storm roughly 15 min apart..	7/6/11	46.2838783264,-95.8713607788	
7/4/11 03:00	Hastings	MN	Light	ongoing	Hard to describe sighting that is lasting for a LONG time!	7/4/11	44.7422904968,-92.851890564	
7/4/11 00:01	Saint Paul	MN	Triangle	5 minutes	Two triangular craft were seen over a populated area of South Saint Paul, MN, at midnight July 3, to July 4, 2011.	8/7/11	44.9438209534,-93.0933227539	
7/4/11 00:01	Saint Paul	MN	Triangle	5 minutes	Update* from the 07-28-11 report of Triangle UFO seen over St. Paul, MN, July 4th, 2011.	8/7/11	44.9438209534,-93.0933227539	
7/3/11 03:00	Minneapolis	MN	Other	unkown	Report.	7/4/11	44.9790306091,-93.2649307251	
7/1/11 22:00	Brooklyn Park	MN	Fireball	2 or 3 min.	red/orange balls over brooklyn Park target going east to west	7/6/11	45.1088905334,-93.3485717773	
7/1/11 21:30	Northfield	MN	Fireball	1 min	Pulsating fireball hovering above tree line	7/4/11	44.4496002197,-93.1537628174	
6/30/11 21:00	Grand Rapids	MN	Teardrop	5 minutes	((HOAX??))  ((NUFORC Note:  Date is flawed.  PD))  Bright shiny object changed shape as it took off!	7/4/11	47.2359199524,-93.5275268555	
6/24/11 23:00	Babbitt	MN	Circle	10 minutes	Bright, fast moving "star" heading east over Birch Lake RV Park in Babbitt, MN.	6/27/11	47.7144889832,-91.9503936768	
6/1/11 22:00	Brooklyn Park	MN	Sphere	2 min.	3 Red/Orange ball in night sky Brooklyn Park MN	7/17/11	45.1088905334,-93.3485717773	
5/27/11 14:30	Mankato	MN	Changing	4-5 hours	((HOAX??))  The craft made things slow down and we blacked out a few seconds after we saw said craft.	6/27/11	44.1674003601,-94.0024108887	
5/16/11 00:30	Avon	MN	Light	4 min	5 orange lights seen over Avon, Minnesota.	5/29/11	45.6106987,-94.4498901367	
5/11/11 13:00	Wilno	MN	Other	7 min	5 unkown crafts over Wilno, MN	5/12/11	44.5037002563,-96.236289978	
5/7/11	Winona	MN	Egg	1-2 min	Strange object in night sky	5/12/11	44.0512886047,-91.6385879517	
5/5/11 23:00	East Bethel	MN	Circle	2 hours	Green circle light, that emited yellow and red colors, stayed fixed in sky for two hours.	5/12/11	45.3704109192,-93.2158813477	
5/2/11 21:30	Brainerd	MN	Light	at least 15 minutes	Two lights that hovered and moved irregularly far off in the distance.	5/12/11	46.3531608582,-94.2006912231	
4/28/11 21:00	Cannon Falls	MN	Light	2 hours	I saw a light in sky that looks slightly bigger than the stars, didnt move but was changing colors. looked like the colors included red	5/2/11	44.5076293945,-92.9057388306	
4/26/11 00:30	Stillwater	MN	Sphere	less then a minute	greenish white orb/sphere appeared and disappeared over highway in Stillwater MN around 12:30 am	5/2/11	45.0567016602,-92.8105697632	
4/21/11 00:00	Morton	MN	Rectangle	10 seconds	Large unexplainable rectangular, clear-shaped "form" seen in night sky	5/2/11	44.5501785278,-94.9875335693	
4/1/11 22:35	Adrian	MN	Triangle	3-5 Sec	3 round lights in triangle shape moved across sky at extreme rate of speed, looked like a falling star at first but then as it came mor	4/3/11	43.63671875,-95.9819412231	
3/22/11 05:00	Faribault	MN	Light	1 min.	I was taking out the trash at my work, and then walked around the perimeter of the hotel in the pouring rain and I just happened to loo	3/23/11	44.2946891785,-93.2753829956	
3/1/11 07:00	Bemidji	MN	Triangle	4 minutes	Did anyone see the Triangle with lights in the sky in Bemidji, March 1, 2011 at 7:55?	3/10/11	47.4731407166,-94.8796463013	
2/21/11 02:00	Bloomington	MN	Unknown	10 seconds	My wife and I woke up to a loud noise flying directly over our house at 2:00 AM. It was a low humming sound accompanied by a repetitive	2/23/11	44.8204917908,-93.3063583374	
2/10/11 07:28	Rochester	MN	Egg	30 seconds	a shiny saucer or egg shaped object in the sky at Walmart store	2/18/11	44.0193481445,-92.4591522217	
2/7/11 03:00	Piranguinho (Brazil)	MN	Flash	40 minutos	SOU POLICIAL NO BRAZIL, EU E  MEU FILHO QUE TAMBEM É POLICIAL ESTAVAMOS NA VIATURA REALIZANDO UMA INTERCPTAÇÃO EM UMA RODOVIA DE UM VEI	8/7/11	46.3491096497,-94.1983184814	
1/22/11 21:35	Rochester	MN	Unknown	3 minutes	Black line over moon moves, then vanishes.	1/31/11	44.0193481445,-92.4591522217	
1/15/11 22:43	Burnsville	MN	Oval	5 seconds	very fast.	1/31/11	44.7658500671,-93.274772644	
1/12/11 19:35	Hutchinson	MN	Light	10 minutes	Hovering aircraft	1/31/11	44.8905487061,-94.3692169189	
1/12/11 18:40	Onamia	MN	Flash	seconds	flash seen at same time in different parts of state.	1/31/11	46.0706710815,-93.6698226929	
11/28/10 00:01	Hollandale	MN	Rectangle	20 minutes	a hollandale mn strang object	1/5/11	43.7608718872,-93.2030792236	
11/24/10 20:00	Bemidji	MN	Fireball	About 1 to 2 minutes	Flaming Orb in Chippewa National Forest	1/5/11	47.4731407166,-94.8796463013	
11/12/10 15:30	Maple Grove	MN	Sphere	10 minutes	Daytime Sighting in Maple Grove	11/21/10	45.0982894897,-93.4430999756	
11/7/10 01:00	Big Lake Township	MN	Triangle	minutes	Large triangle shaped craft, lights red white and blue.	11/21/10	45.3294181824,-93.7469406128	
11/2/10 19:45	Deerwood	MN	Oval	25 seconds	Two oval objects with soft green light inside hovering near Deerwood Mn. then moved s.e.	11/21/10	48.5583000183,-96.5916976929	
10/29/10	Duluth	MN	Triangle	1.5 seconds	Fast moving triangular shaped object.	11/21/10	46.7879600525,-92.0998535156	
10/28/10 22:00	International Falls	MN	Circle	5 seconds	round ball that looked like fire with flashing bottom falling out of the sky.	11/21/10	48.6026000977,-93.4036483765	
10/22/10 05:25	Burnsville	MN	Triangle	10 min	Triangle object object seen over burnsville 5:25 am	11/21/10	44.7658500671,-93.274772644	
10/16/10 22:45	Rochester	MN	Circle	10 seconds	Very bright circle that suddenly disappeared	11/21/10	44.0193481445,-92.4591522217	
10/11/10 19:40	Cottage Grove	MN	Light	3-4 Minutes	Craft with two white lights in Minneapolis Approach Pattern that moved down and not forward then disappered behind the tree line.	11/21/10	44.8336601257,-92.9532165527	
10/6/10 14:40	Chaska	MN	Teardrop	5 seconds	Silver tear drop shape object moving at a high rate of speed from north to south.	11/21/10	44.7871894836,-93.6018218994	
9/30/10 22:30	Terrebonne (rural area)	MN	Light	at least an hour	Bright white round light,doesn't move, gets very bright then almost fades out then repeats this for a long time.((NUFORC Note:  Star?))	11/21/10	47.8322982788,-96.1376113892	
9/11/10 22:30	Shoreview	MN	Circle	5+ hours	round bright circling orb around tower	11/21/10	45.0820083618,-93.1342697144	
9/5/10 23:50	Aitkin	MN	Fireball	1minnute	Glowing in the tree line was an amazing aluminous orange fireball .	11/21/10	46.5333786011,-93.7073669434	
9/3/10 22:00	Scandia	MN	Triangle	5 minutes	V/ triangular shaped. at first looked like a huge shining star. sounded like a train. nothing like a helicoptor nor plane.	11/21/10	45.2565994263,-92.8092880249	
8/21/10 18:00	Bloomington	MN	Sphere	2 minutes	At approximately 5:45 pm on Saturday August 21st. I went for a bike ride. I looked up into the sky as I heard a jet over head. I saw th	8/24/10	44.8204917908,-93.3063583374	
8/10/10 00:00	Saint Paul (Eastside)	MN	Other	3 + hours	UFO Sighting On Saint Paul's Eastside.	8/24/10	44.9438209534,-93.0933227539	
8/2/10 01:00	Red Lake	MN	Diamond	1hr 20 min	spinning object with red blue lights over red lake	11/21/10	47.8765792847,-95.0148010254	
7/28/10 00:00	Minneapolis	MN	Oval	15 mins	a oval ring of 11 light sources. seen for about 15 mins , taken shots of the sighting	7/28/10	44.9790306091,-93.2649307251	
7/25/10 02:35	Duluth	MN	Circle	15 seconds	Bright blue-green ball with trailing light tail	7/28/10	46.7879600525,-92.0998535156	
7/23/10 20:00	Plymouth	MN	Sphere	photo	Reflective orb revealed in digital photo of clouds.	8/24/10	45.0188102722,-93.4757995605	
7/19/10 21:00	Scandia	MN	Diamond	10-15 min.	Twin lighted objects floating at dusk, south east of Scandia, MN	7/28/10	45.2565994263,-92.8092880249	
7/18/10 01:16	Inver Grove Heights	MN	Light	45 minutes	Bright string of stationary lights after tornadic storms baffles stormwatcher	7/19/10	44.831199646,-93.0627975464	
7/18/10 01:00	Coon Rapids	MN	Formation	3 hours	formation of lights in a row very close.unmarked car showed up they took photos and left.	7/28/10	45.1730918884,-93.304397583	
7/16/10 23:30	Prior Lake	MN	Fireball	4 min. approx.	Four of us saw a phenomenon of about 12 reddish lights in the late night sky south of Minneapolis MN.	7/19/10	44.7152290344,-93.4260482788	
7/16/10 20:00	Duluth	MN	Disk	about 1 min	Black disk shaped object moves noiselessly through air and disappears behind a tree.	7/19/10	46.7879600525,-92.0998535156	
7/12/10 23:30	Meadowlands	MN	Light	Still going	Red-flashing light in the sky hovering and NOT moving from single spot.	7/19/10	47.0696983337,-92.7327194214	
7/4/10 23:00	Coon Rapids	MN	Circle	5 min	July 4th, at 11pm witnessed orange fireball with traveling across the entire night sky in Coon Rapids Minnesota.	7/10/10	45.1730918884,-93.304397583	
7/4/10 22:40	Apple Valley/Lakeville/Burnsville	MN	Light	3-5 minutes	Bright red light moves slowly across sky, pauses in mid-air for 3 minutes and fades away into nothing.	7/6/10	44.7658500671,-93.274772644	
7/4/10 22:30	Lakeville	MN	Sphere	1 minute	Three glowing orange balls in Minnesota on july 4th 2010	11/21/10	44.6570091248,-93.242729187	
7/4/10 22:30	Vining	MN	Unknown	about 4minnutes	red dots in night sky	7/10/10	46.2631607056,-95.5366363525	
7/4/10 22:02	St. Paul	MN	Formation	4 minutes	3 round red lights moving in formation (line) from the West to the East.	7/10/10	44.9438209534,-93.0933227539	
7/4/10 21:00	Fridley	MN	Light	2 minutes	Bright red/orange ball of light over Moore Lake (Hwy 65), for 2-3 min, motionless over tree line, then fades.	8/24/10	45.0850982666,-93.2632598877	
7/4/10 21:00	Lakeville	MN	Other	10 minutes	Pyramidal-shaped Craft Over Lakeville North High School Field	7/6/10	44.6570091248,-93.242729187	
7/4/10 21:00	Garrison	MN	Rectangle	10 min	Mille Lacs Lake, Garrison, MN, strange orange rectangle lights seen over lake.	7/10/10	46.2943000793,-93.8245620728	
6/30/10 23:00	Magnolia Township	MN	Light	5 Minutes	Non-blinking/non-changing orange light moving west to east.	7/19/10	43.6453208923,-96.0799789429	
5/29/10 23:12	Minneapolis	MN	Circle	60 min so far	UFO over mpls 5/28/2010.  ((NUFORC Note:  Possible sighting of Venus??  PD))	6/3/10	44.9790306091,-93.2649307251	
5/29/10 10:30	Minneapolis	MN	Circle	5 minutes	A amber light with a surrounding halo was hovering above Wells Fargo Center for approximately 5 minutes on 3 separate occasions.  It wo	6/3/10	44.9790306091,-93.2649307251	
