DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 01:09	St. Louis	MO	Diamond	two minutes	UFO hovers and vanished outside of baby's window.	10/10/11	38.6277389526,-90.199508667	
10/6/11 17:13	Buffalo	MO	Other	30 seconds	Unusual aircraft	10/10/11	37.6443481445,-93.0924072266	
10/5/11 20:40	Independence	MO	Circle	less than 40 seconds	Glowing, pulsating, orange orb, silent, low to the ground, shot away at amazing speed	10/10/11	39.0932388306,-94.4156265259	
10/4/11 22:00	Monroe City	MO	Flash	ongoing	Star like object with more than usual red and blue flashing in NorthEastern sky. ((NUFORC Note:  Sighting of star, Sirius?  PD))	10/10/11	39.6507301331,-91.7346725464	
10/4/11 20:00	Independence	MO	Triangle	4 to 5 minutes	Hovering triangular craft with many lights seen in the night sky.	10/10/11	39.0932388306,-94.4156265259	
10/4/11 08:00	Lees Summit	MO	Triangle	3 minutes	large triangular shaped object flying very low and way too slow with white lights on the,bottom that revealed triangular shape.	10/10/11	38.9139099121,-94.3751678467	
10/1/11 21:43	Kansas City	MO	Fireball	45 seconds	Unusual fireball-like orb moving in the sky, and suddenly disappears	10/10/11	39.1029510498,-94.5830612183	
10/1/11 21:43	Kansas City	MO	Fireball	60 seconds	Orange fireball crosses the sky in Kansas City.	10/10/11	39.1029510498,-94.5830612183	
9/17/11 23:00	Defiance	MO	Circle	2 MINUTES	Strange lights over Defiance	10/10/11	38.6327590942,-90.7781982422	
9/17/11 05:30	Mehlville	MO	Oval	2 mins.	Bright white lights in circlular position with two larger lights in center and five smaller lights to outside.	10/10/11	38.505569458,-90.3254013062	
9/13/11 04:20	Bismarck	MO	Light	1 hr	strobing light, changing colors - red, orange and blue,  30 deg above horizon, stationary.  ((NUFORC Note:  Probably Sirius.  PD))	10/10/11	37.7694892883,-90.6242523193	
9/12/11 23:15	Manchester	MO	Triangle	unknown	UFO sighting in Manchester MO, picture taken to best of abilities.	10/10/11	38.5928611755,-90.5106811523	
9/7/11 20:30	Saint Peters	MO	Fireball	30-45sec	2 Red Fireballs travelling North to South	10/10/11	38.7923583984,-90.5956878662	
9/4/11 22:30	Columbia	MO	Sphere	5 minutes	Fifty silent spherical craft moving quickly over Columbia Missouri	10/10/11	38.9521713257,-92.3341522217	
9/3/11 21:00	Passaic	MO	Other	1O minutes	On a research outing i heard and saw movement alongside the road i was working on, later something was found in the images.	10/10/11	38.3220901489,-94.3474578857	
9/2/11 01:15	Pineville	MO	Other	1 hour	blinking light over Missouri/Arkansas border that moved and "hovered" strangley	10/10/11	36.5938110352,-94.3841705322	
8/29/11 22:05	Branson	MO	Light	10seconds	saw bright light ascending	10/10/11	36.6415290833,-93.2180099487	
8/28/11 04:00	Catawissa	MO	Triangle	sunrise approx 1 1/2 hour	Catawissa Missouri in Franklin County, a hudge triangular shaped object in sky just like 4 nights prior to this	10/10/11	38.425491333,-90.7830734253	
8/28/11 02:00	Rolla	MO	Light	5 minutes	Star-like object with two faint blue lights moving together.	10/10/11	37.9514389038,-91.7674407959	
8/27/11 02:40	Drake	MO	Flash	20 sec	A bright flash or blink was observed in several locations in the night sky.	10/10/11	38.4697303772,-91.4648513794	
8/20/11 22:30	Independence	MO	Light	5-10 min	While driving along road I noticed a grouping of lights,ahead were a couple cars with hazards on,pulled to side with the others witness	8/21/11	39.0932388306,-94.4156265259	
8/20/11 22:00	Osage Beach	MO	Oval	1 minute	We were watching a neighbor shoot off fireworks when we noticed an oval shaped object floating (about the size of a basketball in compa	8/21/11	38.1373710632,-92.6361923218	
8/20/11 21:00	Poplar bluff	MO	Circle	5 min	Three objects in triangle pattern	8/21/11	36.756980896,-90.3932723999	
8/19/11 21:07	Kansas City	MO	Unknown	1 1/2 minutes	Kansas City MO/ Independence MO lights and configuration night sky sightings	8/21/11	39.1029510498,-94.5830612183	
8/19/11 21:00	Kansas City	MO	Fireball	2 minutes	Large white object came into atmosphere and broke up into 5 smaller objects over Kansas City, MO	8/21/11	39.1029510498,-94.5830612183	
8/16/11 01:00	Raytown	MO	Triangle	10-15 min	Very bright color changing triangular shaped object floating and flying over small area	8/21/11	39.0105209351,-94.4624633789	
8/15/11 22:20	Holden	MO	Light	20 seconds	5 red-orange Lights fading in and out from right to left horizontally	8/21/11	38.7179603577,-93.9903488159	
8/12/11 11:30	St. Louis	MO	Unknown	5 minutes	Steady light with no sound or shape disspeared,	8/21/11	38.6277389526,-90.199508667	
8/11/11 21:00	Desoto	MO	Fireball	6 seconds	Red glowing fireball with green tail- seen at just above tree level- heading to ground.	8/21/11	38.1400489807,-90.5539703369	
8/2/11 22:30	Blue Springs	MO	Sphere	about 45 seconds	Orange sphere burning at the center appears over my house	8/21/11	39.0182609558,-94.274810791	
7/31/11 00:20	Terre du Lac	MO	Light	6 minutes	Bright light travelling North to Southwest.	8/7/11	37.9303016663,-90.607421875	
7/27/11 21:45	Roach	MO	Fireball	6 seconds	Unexplained Circular Fireball	8/7/11	37.9908714294,-92.8282012939	
7/19/11 21:45	Saint Louis	MO	Fireball	10 minutes	Group of Orange Fireballs sighted in South City Saint Louis.	8/7/11	38.6277389526,-90.199508667	
7/9/11 22:45	Joplin	MO	Light	1-2 minutes	Orange ball moving above Joplin, MO	7/17/11	37.0847587585,-94.5134735107	
7/9/11 21:30	Imperial	MO	Fireball	15 seconds	Reddish orange fireball in sky in Imperial MO	7/17/11	38.3689193726,-90.3764801025	
7/8/11 16:00	West Alton (Mississippi River)	MO	Unknown	5 minutes	It went underwater eventually, it was black,and seemed to have something on its back, cell phone signal was temporarily lost.	7/17/11	38.8674087524,-90.226348877	
7/5/11 21:28	Springfield	MO	Unknown	1 min	Fire ball like object over springfield, mo	7/6/11	37.2089691162,-93.291557312	
7/4/11 23:00	Warrensburg	MO	Fireball	20 min.	Just little balls of light.	7/17/11	38.7712211609,-93.7411499023	
7/4/11 22:38	Saint Joseph	MO	Disk	20 min	Saint Joseph	7/6/11	39.7666015625,-94.8560714722	
7/4/11 21:43	Saint Charles	MO	Fireball	10 minutes	Fireball spotted over saint charles missouri	7/6/11	38.7824287415,-90.4820785522	
7/4/11 21:30	Malden	MO	Triangle	45 seconds	Three people saw a "fireball ufo" at  2 different times.	7/6/11	36.5582695007,-89.9670028687	
7/4/11 21:30	Ellisville	MO	Fireball	5 to 10 min	Nothings tops off a firework show like ufos! In the middle of the show while I  was chilling with my girlfriend and her parents. Off th	7/17/11	38.592300415,-90.5921325684	
7/4/11 21:20	Blue Springs	MO	Sphere	3 minutes	Fireball moving across the sky east to west during July 4th fireworks	7/17/11	39.0182609558,-94.274810791	
7/4/11 21:00	Manchester	MO	Other	10 mins	Red glowing orb traveling slowly towards west, then hovering and moving a little east; no camera available; no reports made to other s	8/7/11	38.5928611755,-90.5106811523	
7/3/11 22:30	Catawissa	MO	Fireball	3-4 minutes	July 3, 2011, Franklin County, Missouri approx. 10:30PM an amber fiery ball of light seen for 3-4 minutes same time as firework display	8/21/11	38.425491333,-90.7830734253	
7/3/11 21:45	St. Joseph	MO	Fireball	4 min.	2 flying objects that look like fireballs	7/4/11	39.7666015625,-94.8560714722	
7/3/11 16:00	Raymore	MO	Fireball	3 minutes	Fireball in Raymore, MO.	7/17/11	38.8044395447,-94.4582824707	
7/1/11 21:45	Belton	MO	Cross	45 seconds	A bright cross shaped, fire colored with diamond shaped aura flew straigh nort directly over head of me heading towards k.c., mo.	7/4/11	38.8108100891,-94.530960083	
7/1/11 21:45	Washington	MO	Triangle	2:00	;@ Approx 9:45 pm tonight my wife and I were sitting on our deck.Heard fire works going off in our Subdivison. I look to the South	7/4/11	38.5535392761,-91.001083374	
6/30/11 22:08	Cape Girardeau	MO	Light	2 mins	Orange Light passing over city, silent.	7/4/11	37.3027114868,-89.5445327759	
6/29/11 20:45	Osage Beach	MO	Disk	14 seconds	Bright unidentified object over Osage Beach	7/4/11	38.1373710632,-92.6361923218	
6/29/11 01:45	Dexter	MO	Light	3-5 minutes	Star like object flying across horizon in Dexter, MO.	7/4/11	36.7995910645,-89.9583511353	
6/28/11 22:34	Osage beach	MO	Disk	3 min.	Single slow cruising orb over the grand glaze bridge	7/4/11	38.1373710632,-92.6361923218	
6/28/11 18:50	Springfield	MO	Triangle	1:30	Daytime triangular craft flying above Springfield, Missouri	8/7/11	37.2089691162,-93.291557312	
6/25/11 23:00	St. Louis	MO	Triangle	30 seconds	I was taking a few pictures of an approaching storm front on June 25, 2011, South St. Louis County, Missouri, facing west. In the lower	7/4/11	38.6277389526,-90.199508667	
6/16/11 23:34	St. Charles	MO	Disk	8 seconds	Small disk, 5 bright blue lights on side, moved fast and smooth.	6/20/11	38.7824287415,-90.4820785522	
6/14/11 16:00	Long Lane	MO	Sphere	3 min.	driving on roberts rd. to hico creek,when just above the tree line,about 75 feet. 2 orange orbs moved right to left in a straight line	10/10/11	37.6098594666,-92.9106216431	
6/10/11 19:45	Maplewood	MO	Egg	40 seconds	My daughter looked across the parking lot above a strip mall and asked if that was a hot air balloon. It was black or dark and looked l	6/12/11	38.6129684448,-90.3265075684	
6/2/11 23:00	Florissant	MO	Light	12 seconds	Unidentified green light.	6/20/11	38.791519165,-90.3229980469	
6/2/11 20:55	St. Charles	MO	Light	6 seconds	Moving, green orb over St. Charles/St. Louis, Missouri	6/3/11	38.7824287415,-90.4820785522	
6/2/11 20:50	St. Louis	MO	Circle	2 seconds	A luminous greenish circle was visible 2 seconds going fast out and then into clouds near St. Louis, MO	6/3/11	38.6277389526,-90.199508667	
6/1/11 00:38	Osage Beach	MO	Light	15 seconds	Multiple ufo sightings in Osage Beach, Missouri area.	6/3/11	38.1373710632,-92.6361923218	
5/31/11 23:00	St. Joseph	MO	Circle	1 minute	multiple color UFO's over St. Joseph, MO	6/3/11	39.7666015625,-94.8560714722	
5/31/11 04:00	Kansas City	MO	Circle	3-5 seconds	UFO's spotted over kansas city mo	6/3/11	39.1029510498,-94.5830612183	
5/29/11 04:05	Poplar Bluff	MO	Cone	04:25	UFO sighting in Poplar Bluff.	5/29/11	36.756980896,-90.3932723999	
5/28/11 21:00	Niangua	MO	Fireball	40 minutes	Several objects, flying in groups of 2, 3 & 5 at a time, in no apparent formation,at intervals, from the east turning to the north.	5/29/11	37.3879699707,-92.8321380615	
5/28/11 13:00	Joplin	MO	Disk	5 sec	Bright disk cutting through TV tornado film, seen 06/14/11.	6/20/11	37.0847587585,-94.5134735107	
5/15/11 03:50	Lee's Summit	MO	Disk	1 minute	Huge dark grey domed saucer with white lights	5/29/11	38.9139099121,-94.3751678467	
5/12/11 21:00	Perryville	MO	Sphere	40-50 minutes	fast moving Red/Bright Orange Lights over Perryville Missouri	5/29/11	37.7253189087,-89.862449646	
5/1/11 21:00	Columbia	MO	Fireball	2 minutes	A ball of light looked like it was hovering very high and then took off to the South.	5/2/11	38.9521713257,-92.3341522217	
4/29/11 23:30	St. Charles	MO	Triangle	unknown	St. Charles, off MO-94 (Friedens Rd), three triangle shaped white lights hover above the road	5/2/11	38.7824287415,-90.4820785522	
4/24/11 17:30	Vinita Park	MO	Circle	30 mins	we saw a  black disk shape object in the sky circle in shape hovering over some kids on the basketball court moving around.	5/2/11	38.6957588196,-90.3391571045	
4/20/11 03:00	St. Louis	MO	Changing	20 minutes	((HOAX))  I was standing on my porch, smoking a doobie, when, all of a sudden, I saw 3 weird shapes in the sky. My	5/2/11	38.6277389526,-90.199508667	
4/5/11 21:16	Lowry City	MO	Light	9 seconds	((HOAX??))  a oval light moving about 60 miles per hour over a forest.	6/20/11	38.1434211731,-93.7210693359	
4/2/11 06:15	Rocky Mount	MO		1 minute	yellowish light, moving very slowly	4/3/11	38.2819290161,-92.7040710449	
