DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/1/11 13:00	Clinton	MS	Circle	5 mins.	Jet and object flying side by side	10/10/11	32.3376502991,-90.3294296265	
9/25/11 19:30	Gulfport	MS	Fireball	5 seconds	I was driving on I-10 West bound and about to exit onto Hwy 49 South into Gulfport when I saw a bright multi-colored light streaking ou	10/10/11	30.3803195953,-89.0923461914	
9/12/11 15:08	Tupelo	MS	Other	1 min	((HOAX??))  Floating plane spotted, then vanishes.	10/10/11	34.2574081421,-88.7078323364	
9/11/11 21:10	Senatobia	MS	Circle	5 Seconds	Large white light moving at helicopter speed, no sound, totaling a distance of about 6" from viewing point before disappearing.	10/10/11	34.6193313599,-89.9610671997	
8/26/11 08:38	Clinton	MS	Light	super 8 hotel	It was big bright about 9ft long n six feet wide its like it was there den it wasn't when it vanished slowly.	10/10/11	32.3376502991,-90.3294296265	
8/18/11 21:00	Sumrall	MS	Other	3 hrs	star like object making circular and zigzag pattrens almost like its searching for something.  ((NUFORC Note:  Twinkling star??  PD))	8/21/11	31.419260025,-89.5458221436	
8/15/11 13:30	Mississippi (central part)	MS	Egg	1 Sec.	EGG Shaped possibly round Metalic UFO speeding down the interstate southbound on I55 central Missippi state.	8/21/11	34.3937988281,-90.255897522	
8/12/11 17:03	Collins/Prentis	MS	Light	3 hours	White light follows family home after star gazing in Collins, Mississippi.	8/21/11	32.7106018066,-89.6525421143	
7/6/11 21:00	Gulfport	MS	Unknown	five minutes	Bright red/white light hovers over Gulfport, climbs rapidly, heads north, then east, the downward,	7/17/11	30.3803195953,-89.0923461914	
6/24/11 22:30	Seminary	MS	Circle	10 min	strange solid circular lights that floated slowly and then disappeared	6/27/11	31.5617904663,-89.4945373535	
5/8/11 20:30	Starkville	MS	Circle	2 minute	Orange lit ciruclar aircraft cruising at a low altitude speed moving from south to north, with no audible exhaust.	5/12/11	33.4659194946,-88.8128814697	
4/29/11 22:35	Starkville	MS	Circle	8 min	Orange circles flying from SE to NW in a straight line.	5/2/11	33.4659194946,-88.8128814697	
1/19/11 20:00	Ocean Springs	MS	Circle	three minutes	On or about 19 January of 2011, I was at my home in Ocean Springs, Ms.  At close to 8:30 pm, I looked out the window and saw a disc-sha	2/8/11	30.4162807465,-88.8081436157	
1/11/11 21:15	Vicksburg	MS	Fireball	4 seconds	Fireball in the sky over Mississippi	1/31/11	32.3500404358,-90.8815536499	
1/11/11 21:00	Pearl	MS	Light	approx. 10 min.	bright unexplainable light	1/31/11	32.2751197815,-90.1371688843	
1/11/11 20:40	Brandon	MS	Flash	less than 1 second	Quick Burst of Blue/Green light witnessed by at least 30 people.	1/31/11	32.2731208801,-89.9886398315	
12/23/10 00:00	McComb	MS	Cylinder	month	Have you there been any reports from mississippi if not there should be?	1/5/11	31.2457408905,-90.4540786743	
11/21/10 16:55	Meridian (west of)	MS	Light	6-7 minutes	Bright light during the late afternoon initially stationary, moves, then disappears, reappears a few minutes later.	1/5/11	32.3650817871,-88.7030792236	
11/20/10 13:00	Sardis	MS	Sphere	1-2	WOW	1/5/11	34.436958313,-89.915802002	
11/7/10 18:30	Tunica	MS	Light	5 min	A Shooting star that Turned into a Moving Light	11/21/10	34.6901817322,-90.3826217651	
10/29/10 18:20	Vicksburg	MS	Other	10-15 Sec.	Blinking lights in triangle formation over Vicksburg, leaving behind two large clouds of smoke then disappearing	11/21/10	32.3500404358,-90.8815536499	
