DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/15/11 19:50	Moncton (Canada)	NB	Fireball	Greater than 10 minutes, 	Fire like light round with undefined border seen through cloud cover at 19:50 15 Sep 11	10/10/11	46.0883598328,-64.7782592773	
8/31/11 22:15	St. Andrews (Canada)	NB	Teardrop	30 seconds	One bright yellow/orange teardropped shaped object floating/bouncing lightly for 30 seconds until it disappeared	10/10/11	45.0779304504,-67.0538330078	
8/31/11 21:15	Rothesay (Canada)	NB	Light	90 seconds	brith light moving fast.	10/10/11	45.3942718506,-65.9861602783	
8/29/11 17:15	Saint Andrews (Canada)	NB	Light	2-3 minutes	Possible UFO siting over the St. Croix River during Hurricane Irene in St.Andrews, New Brunswick.	10/10/11	45.0779304504,-67.0538330078	
8/14/11 10:00	Grand Bay-Westfield (Canada)	NB	Light	2 Minutes	Light over house	8/21/11	45.2982177734,-66.1920623779	
8/8/11 21:00	Miramichi (Canada)	NB	Fireball	5 to 6 minutes	saw orange glowing flying very low and slow,changed direction and climbed out of sight	10/10/11	47.031162262,-65.1777954102	
6/2/11 18:00	St. Andrews (Canada)	NB	Sphere	2 min	UFO Objects Found	10/10/11	45.0779304504,-67.0538330078	
4/22/11 21:30	Hampton (Canada)	NB	Light	3 min	Bright light NE of Hampton elavation 40 degrees heading E rising  then north.	5/2/11	45.524181366,-65.8291015625	
2/4/11 19:00	Saint John (Canada)	NB	Light	10 minutes	Multiple amber colored lights in the night sky over Saint John	2/8/11	45.2734184265,-66.0641174316	
1/1/11 22:00	Miramich (Canada)	NB	Light		I was drawn outside by the sound of fireworks, and thought it would be a good idea to bring the dog to do his buisness...As I watched t	1/5/11	47.031162262,-65.1777954102	
1/1/11 00:20	Saint John (Canada)	NB	Circle	3 MIN	TWO ORANGE CIRCLES SEEN  AND PICTURES OF THIRD CIRCLE ALL MOVING AWAY	1/5/11	45.2734184265,-66.0641174316	
12/8/10 00:00	Fredericton (Canada)	NB	Disk	1 hr	((HOAX??))  multiple object sightings	7/4/11	45.9606399536,-66.6391220093	
9/18/10 11:00	Dieppe (Canada)	NB	Light	2 minutes	Bright light grew larger and brighter.	11/21/10	46.0950393677,-64.7508468628	
9/2/10 22:30	St. Andrews (Canada)	NB	Changing	2-3 min	Bright orange object enters atmosphere, flies south, stops, than fades to nothing	11/21/10	45.0779304504,-67.0538330078	
8/23/10 22:10	Tracadie Sheila (Canada)	NB	Triangle	4 minutes	Bright orange triangle object moving over treetops, on a clear full moon night.	8/24/10	47.5213088989,-64.9106369019	
6/26/10 22:55	Saint John (Canada)	NB	Sphere	4 minutes	Strange sphere passing through night sky	7/28/10	45.2734184265,-66.0641174316	
5/12/10 23:18	Riverview (Canada)	NB	Diamond	5 minutes	It stopped and changed directions frequently, and eventually disappeared.	6/3/10	46.0570907593,-64.8000869751	
4/3/10 23:30	Miramichi (Canada)	NB	Triangle	2-5 min	Triangle ufo seen flying of the city of miramichi, 3 lights on on the edges and a search light in the center	4/13/10	47.031162262,-65.1777954102	
4/3/10 21:57	Moncton (50.42km before)(Canada)	NB	Other	30 sec	Large Square UFO over Car Ahead of Me, on Route #2 Highway, Nearing Moncton, New Brunswick	4/13/10	46.0883598328,-64.7782592773	
7/30/09 00:00	St  Leonard (Canada)	NB	Light	20 seconds	small silent craft with 1 steady white light and a smaller flashing red light next to it hovers over industrial sawmill at night.	12/12/09	47.1666984558,-67.8833007812	
6/24/09 00:40	Moncton (Canada)	NB	Unknown		Falling star north west of moncton.	8/5/09	46.0883598328,-64.7782592773	
5/2/09 20:45	Tracadie-Sheila (Canada)	NB	Sphere	35 to 45 sec	Orange ball with black top ?	5/12/09	47.5,-64.9167022705	
4/10/09 00:20	Tabusintac (Canada)	NB	Sphere	1 minute	Large red, glowing object seen in Tabusintac, NB	4/14/09	47.3284416199,-65.0106964111	
8/28/08 00:15	Moncton (Canada)	NB	Fireball	1 hour	Odd fireball seen in Moncton night skies.	10/31/08	46.0883598328,-64.7782592773	
11/1/07 23:00	Fredericton (Canada)	NB	Fireball	3-5 seconds	Meteor-like green UFO	11/28/07	45.9606399536,-66.6391220093	
10/20/07 06:00	Neguac (Canada)	NB	Cigar	?	I noticed something odd in the picture when I used it as a sceensaver...there were no planes when I took it	11/28/07	47.2529907227,-65.073059082	
10/12/07 19:00	Monton (Canada)	NB	Oval	an going	8 circling lights seen in Moncton N.B.	11/28/07	46.5222511292,-66.1928634644	
9/8/07 23:35	Fredericton (Canada)	NB	Formation	5 seconds	V-formation of lights travelling over suburban street	10/8/07	45.9606399536,-66.6391220093	
8/9/07 19:55	Riverview (Canada)	NB	Triangle	5 minutes	Object looked like a Concord (plane), size of a 50-passenger plane, no markings, no windows, but it was flying backwards.	10/8/07	46.0570907593,-64.8000869751	
7/22/07 03:00	Beaver Dam (Canada)	NB	Light	45 minutes	Multiple "Power Ups" in small area of sky	8/7/07	45.8822479248,-66.6812362671	
6/17/07 02:30	Saint John (Canada)	NB	Fireball	10 mins	Flashing starlight objects hovering in sky.  ((NUFORC Note:  Stars or planets??  PD))	8/7/07	45.2734184265,-66.0641174316	
5/4/07 01:05	Beaver Dam/Oromocto (Canada)	NB	Light	10 Minutes	Lights over Oromocto	6/12/07	46.5222511292,-66.1928634644	
2/17/07 19:20	Port Elgion (Canada)	NB	Circle	6 min	red green and yellow colours hovering in th sky	2/24/07	46.0546913147,-64.09425354	
12/23/06 20:00	Renous (Canada)	NB	Cylinder	5-6 seconds	While driving through a game refuge, I saw this yellowish - white cylindrical object very high above the  trees.	1/21/08	46.801410675,-65.8116836548	
9/28/06 05:15	Beresford (Canada)	NB	Light	10 minutes	On Sept. 28th, Two stationary, brightly blinking lights appeared approx. 10 kilometers east northeast. Stationary for about 10 minutes.	10/30/06	47.7164115906,-65.7045822144	
9/27/06 00:00	Fredericton (Canada)	NB	Unknown	30 sec	UFO sighting near Fredericton.	12/7/06	45.9606399536,-66.6391220093	
8/15/06 19:30	Fredericton (Canada)	NB	Cigar	10 seconds	Metal like object, size of plane, no jet stream, no wings, no tail, not moving at a great pace. Disappeared within seconds	10/30/06	45.9606399536,-66.6391220093	
