DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/29/11 22:30	Bismarck	ND	Triangle	8-10 seconds	Sept 29, 2011   3 dot triangle form fast moving, group for 8-10 seconds, no sounds no strobes no idea.	10/10/11	46.8053703308,-100.779312134	
9/21/11 23:30	Minot AFB	ND	Triangle	
	3 Dark Red Triangular shaped lights moving at an extreme rate of speed over an Air Force Base.	10/10/11	48.424118042,-101.323196411	
9/20/11 21:35	Minot	ND	Other	8 sec.	Cresent shaped solid object, silent, with no lights seen over minot n.d. moveing south east 15 min. ago.	10/10/11	48.2361106873,-101.296066284	
8/6/11 22:50	Fargo	ND	Light	3 seconds	A very bright light just appeared and did a semi-circular swoop and disappeared into the distance.	8/21/11	46.8759117126,-96.7817611694	
8/6/11 21:15	Halliday	ND	Fireball	2 or 3 minutes	Bright orangish/red burning object moved slowly above the treetops, then turned & moved away from us & disappeared.	8/21/11	47.3552017212,-102.333023071	
4/12/11 21:55	Minot	ND	Light	2 seconds	Light traveled half way across the night sky in less than 2 seconds and then vanished with no sound at all.	5/2/11	48.2361106873,-101.296066284	
4/7/11 01:40	Grand Forks	ND	Changing	10 seconds	Multiple objects over Eastern North Dakota.	5/2/11	47.924079895,-97.0320281982	
7/24/10 01:00	Williston	ND	Triangle	over 5 hours	triangle sighting that was in the same spot for over 4 hours only moved in figured 8 ways  ((NUFORC Note:  Probably not a UFO.  PD))	7/28/10	48.1470298767,-103.621887207	
7/4/10 21:45	Richardton	ND	Teardrop	3 min.	My wife and son and I were watching fire works towards the west side of town from the east and we saw a fire shape bell object leave fr	7/6/10	46.8835601807,-102.314048767	
6/4/10 22:00	Bismarck	ND	Light	30 min	green spotlight and 3 lights	6/10/10	46.8053703308,-100.779312134	
4/10/10 22:00	Fargo	ND	Formation	10 - 15 seconds	Six pairs of side by side amber lights moving in a V formation.	4/13/10	46.8759117126,-96.7817611694	
11/24/09 19:45	Garrison	ND	Oval	15 minutes	11 orange oval objects moving under perceived intelligent control	12/12/09	47.6464500427,-101.417991638	
8/21/09 23:00	Mandan	ND	Light	5 minutes	pulsating light moving south to north	8/27/09	46.8265113831,-100.888969421	
8/13/09 23:00	Minot	ND	Triangle	5 seconds	3 orbs in triangle shape passed over an airplane, headed NW across Minot, ND.	8/27/09	48.2361106873,-101.296066284	
8/13/09 11:56	Grand Forks	ND	Triangle	3-5 seconds each time	Triangle shaped UFO with 3 dots in each corner no lights, sphere and worm like object in sky	8/27/09	47.924079895,-97.0320281982	
5/25/09 01:38	Grand Forks	ND	Triangle	4-5 seconds	Shaped like ^    ---and had lights across it, they lights were in a row and moved in a row upwards then the lights went completely off	6/9/09	47.924079895,-97.0320281982	
5/17/09 04:05	Fargo	ND	Other	15 seconds	2 luminescent glowing forms criss-crossing across the night sky.	6/9/09	46.8759117126,-96.7817611694	
4/11/09 11:20	Bismarck	ND	Disk	3 seconds	silver disc shaped object flying extremely fast at a low altitude	5/12/09	46.8053703308,-100.779312134	
11/14/08 21:00	Langdon	ND	Flash	5 minutes	An orange, glowing shape followed me in my pickup causing it to die and interfered with my phone outside of Langdon, North Dakota.	1/10/09	48.7611808777,-98.3659210205	
10/19/08 01:00	Minot	ND	Triangle	2 Hours	Obj. with 6 lights,triangular in shape with a tail, moved from the S area in the sky to the N and then just hovered.	10/31/08	48.2361106873,-101.296066284	
9/10/08 22:30	Bismarck	ND	Changing	3 hours	Illuminating light surveys the North Dakota Capitol, Bismarck	10/31/08	46.8053703308,-100.779312134	
8/31/08 01:10	Williston	ND	Triangle	4 - 5 Seconds	Three orange dots in a triangular shape over ND	10/31/08	48.1470298767,-103.621887207	
8/24/08 01:00	Casselton	ND	Unknown	Evening	Imitates aircraft; red, blue & amber lights in the evenings, same place every evening; there are others nearby.	10/31/08	46.9002990723,-97.2114105225	
8/20/08 03:00	Grand Forks AFB	ND	Unknown	45 minutes	"Star" war in night sky	10/31/08	47.9616012573,-97.3371582031	
8/7/08 23:00	Hazen	ND	Cylinder	10 seconds	Big and huge and very silent ,with dim lights all around it	8/12/08	47.3015899658,-101.624732971	
6/30/08 23:00	Bismarck	ND	Rectangle	7-8 minuets	2 red lighted objects over Bismarck Nd	7/5/08	46.8053703308,-100.779312134	
1/15/08 21:00	Colfax	ND	Disk	@ 1-2 Min	Lighted object on the ground in an empty snow covered field	7/29/10	46.4708518982,-96.8762207031	
1/3/08 02:30	Hope	ND	Unknown	2 minutes	Large bright orange light moving to the south changed to green and disappeared into the northern black sky.	1/21/08	47.3222808838,-97.723739624	
9/1/07 22:15	Minot	ND	Triangle	20 seconds	Smooth moving black triangular shaped object  with white dots on bottom, flew over us at about 500 feet above us.	10/8/07	48.2361106873,-101.296066284	
8/13/07 01:00	Hazelton	ND	Sphere	15 mins	Mostly white with a little color spherical object moving erratically through the North Dakota sky near Hazelton.	8/14/07	46.487701416,-100.280288696	
6/20/07 23:45	Wheatland	ND	Circle	2Min	Orange Sphereical Unknowen craft over Eastern North Dakota	8/7/07	46.905620575,-97.3455505371	
6/19/07 22:50	Williston	ND	Light	4min	circle lights, white colored.  ((NUFORC Note:  Space Shuttle w/ ISS??  PD))	8/7/07	48.1470298767,-103.621887207	
