DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/9/11 20:00	West Ossipee	NH	Light	10 min.	Orange Lights Moving Very Slowly In The Night Sky	10/10/11	43.8218917847,-71.2041091919	
10/9/11 19:05	Center Barnstead	NH	Sphere	10-12 min	Two sightings within 10 min.- yellow/gold orbs w/ragged redish perimiter, hover & chngd:3 bright dots triangle, back to orb, vanished	10/10/11	43.3482513428,-71.2644500732	
9/3/11 21:00	Freedom	NH	Egg	20 seconds	i was camping near ossipee nh on the maine border. it was about 9pm  and dark. i was on a golf cart heading in a easterly direction. my	10/10/11	43.8162498474,-71.0415267944	
9/3/11 20:15	Hampton Beach	NH	Sphere	15 MIN.	ORANGE RED BALLS OF LIGHT , INTENSITY OF LIGT WAS CONSISTANT AND DIDN'T CHANGE WITH CRAFT CHANGING DIRRECTION	10/10/11	42.9071617126,-70.8114013672	
8/30/11 23:00	Exeter	NH	Triangle	20-30 seconds	Large triangle w/ large white circular light near each edge and a smaller circular red light in center and a constant low rumble sound	10/10/11	42.9813995361,-70.9463806152	
8/12/11 20:15	New Castle	NH	Triangle	6-10 minutes	5 round balls-2 faded out and 3 then formed a triangle.	8/21/11	43.0659484863,-70.7166671753	
7/30/11 21:18	Troy	NH	Oval	2 minutes	If it looks like the ISS but isn't,  what is it?  ((NUFORC Note:  Possible flare from an "Iridium" satellite??  PD))	8/7/11	42.8269615173,-72.1830062866	
7/21/11 22:35	Dover	NH	Unknown	Unknown	Large object with many lights, one large,bright light on the side, hovering over a semi-residential area near two large fields.	8/7/11	43.1934585571,-70.8741836548	
7/4/11 21:45	Seabrook	NH	Unknown	45 sec	Orange light hovering by power plant	7/17/11	42.8792915344,-70.868598938	
6/29/11 21:00	Dover	NH	Unknown	10 seconds	A metallic object in the sky vanished before our eyes, with no clouds or anything else to obscure our view.	8/7/11	43.1934585571,-70.8741836548	
5/15/11 22:10	Portsmouth area	NH	Unknown	5 sec	Near hit with an unidentified object at 41000ft in eastern US.  ((NUFORC Note:  Report from commercial pilot.  PD))	5/29/11	43.6809806824,-71.5720367432	
4/5/11 23:15	Center Barnstead	NH	Other	5min	Round sphere w/3 fingerlike tendrils w/yellow orange and red lights on the end, coming from one spot on its hemisphere.	5/2/11	43.3482513428,-71.2644500732	
3/20/11 01:35	Concord	NH	Light	Seconds	I was standing outside looking at the moon tonight, when I looked over and saw two bright lights, one on top of the other. Both were br	3/23/11	43.2072486877,-71.5365982056	
2/6/11 13:30	Center Conway	NH	Other	
	Military jets over New Hampshire training or fighting something.	2/18/11	43.99477005,-71.0799407959	
1/13/11 07:30	Hampstead	NH	Circle	3 minutes	Round shiny extremely bright almost silver-looking object over day skies	1/31/11	42.8739128113,-71.1824035645	
12/28/10 17:31	Fremont	NH	Triangle	1-2 minutes	Around 5:30 a triangle shaped craft was moving south-south west. There wasn't a sound in the air.	1/5/11	42.9897384644,-71.139831543	
12/11/10 23:00	Pinkham Notch	NH	Fireball		Multiple sightings near base of Mt. Washington, NH	1/5/11	43.6809806824,-71.5720367432	
12/11/10 19:00	Springfield	NH	Triangle	2 minutes	Three white lights seen over I-91 in Springfield, NH	1/5/11	43.4978713989,-72.0325393677	
12/2/10 18:15	Twin Mountain	NH	Fireball	5 MIN	1 FIREBALL OBJECT FLEW VERY SLOWLY FROM NORTH TO SOUTH AT APPOX 100 FEET ABOVE MYSELF AND A FRIEND. NO SOUND WAS HEARD.WE VIEWED TH	1/5/11	44.2714691162,-71.5414810181	
10/22/10 19:50	Manchester	NH	Triangle	1-2 seconds	At around 7:50pm EST this evening, Friday October 22nd 2010, I was driving North on 93, just North of Manchester, NH. Above the toll ga	11/21/10	42.9911689758,-71.4630889893	
10/16/10 22:00	Meredith	NH	Light	60 minutes	red/white twinkling light in eastern NH sky.  ((NUFORC Note:  Sighting of a celestial body?  PD))	11/21/10	43.6570281982,-71.5010528564	
8/14/10 22:45	Warren	NH	Sphere	10 imnures	orange orb in northwestern sky-no sound-changed direction	8/24/10	43.9241714478,-71.8926467896	
8/14/10 22:30	Warren	NH	Sphere	10 minutes	Golden orange orb or sphere shape object viewed from White Mountain National Forest	8/24/10	43.9241714478,-71.8926467896	
8/13/10 23:40	Milton	NH	Triangle	30 min	Black Triangle/Pyramid shape craft flew across lake and directly over our car	8/24/10	43.4157714844,-70.9863128662	
8/8/10 09:00	Alstead	NH	Circle	2 hrs	Bright lights last night way up by the stars noo flashing lights.  ((NUFORC Note:  Possible satellites, we suspect.  PD))	8/24/10	43.1500396729,-72.3619384766	
8/6/10 22:10	Keene	NH	Light	3 seconds	4 to 5 lights traveling in formation from the northwest to the southeast and looked like dim spotlights in the sky.	8/24/10	42.9332008362,-72.28150177	
7/28/10 09:40	Rochester	NH	Light	2:00	i believe what my family saw was a ufo	11/21/10	43.3055305481,-70.9803619385	
7/6/10 22:15	Penacook	NH	Light	2 min	bright object fadeing into darkness no light of any kind after fading out	7/10/10	43.277759552,-71.5986175537	
6/19/10 21:15	Plymouth	NH	Cigar	2 minutes	silent, bright blinking light, slow moving, close to the tree tops	7/6/10	43.7610359192,-71.6929473877	
6/16/10 22:00	Durham	NH	Other	10 minutes	((HOAX??))  Large ship seen over Durham, New Hampshire	5/29/11	43.1326217651,-70.9202575684	
6/7/10 22:00	Lancaster	NH	Light	8 mins	2 yellow lights over Lancaster, NH.	6/3/11	44.4872093201,-71.5688934326	
4/22/10 00:51	Kingston	NH	Sphere	10 seconds	Large white orb hovering in the sky.	5/12/10	42.9316711426,-71.0543212891	
3/20/10 23:00	Laconia	NH	Changing	1hr and 30 min.	UFO Sighting in  Laconia	4/13/10	43.5280685425,-71.4689407349	
