DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/17/11 21:17	Anthony	NM	Triangle	6 seconds	While watching night sky with my head in the east-west position, a smooth, rounded, triangular craft passed over heading due south towa	10/10/11	32.0065002441,-106.581573486	
9/17/11 10:00	Alamogordo	NM	Fireball	30 secs	Fire ball suddenly shoots up right angle and amazing speeds.	10/10/11	32.8992500305,-105.960319519	
9/8/11 19:05	Farmington	NM	Teardrop	10-12 minutes	Weather ballon spotted over Farmington, New Mexico by many people.	10/10/11	36.7281417847,-108.205688477	
9/4/11 19:50	Roswell  (NO JOKE)	NM	Light	3-4 minutes	A light in the sky moving in a zig-zag pattern	10/10/11	33.394821167,-104.522750854	
8/19/11 23:55	Las Cruces	NM	Sphere	20 min. (approx.)	Enormous yellow sphere seen rising over the Organ Mts. before midnight  8-18-2011	8/21/11	32.306728363,-106.777732849	
8/2/11 21:15	Albuquerque	NM	Circle	1 minute	Green, glowing circle being chased through the albuquerque sky by helicopter	8/7/11	35.0841789246,-106.648643494	
6/30/11 23:09	Taos	NM	Light	35 minutes	White light over New Mexico	7/4/11	36.4115982056,-105.574249268	
6/25/11 23:05	Texico	NM	Light	2.5min	Possible fighter jet shooting at UFO	6/27/11	34.3887290955,-103.044639587	
5/18/11 10:00	Belen	NM	Oval	all night	It's about time someone else see those lights in the sky Id been watching them for over a year now. I live in belen and see them all ar	5/29/11	34.6607894897,-106.776916504	
5/8/11 19:00	Albuquerque	NM	Triangle	30-35 minutes	Reddish orange glowing triangular object appearing to viewers 30-35 minutes toward the West.	8/21/11	35.0841789246,-106.648643494	
5/4/11 09:00	Albuquerque	NM	Other	8 months	((HOAX??))  Get the metal out of my body	5/12/11	35.0841789246,-106.648643494	
5/1/11 22:15	Farmington	NM	Changing	20-45 minutes	the crafts made form several small lights made a SOLID METALLIC DIAMOND AND hoveredand disappeared.	5/29/11	36.7281417847,-108.205688477	
4/30/11 02:07	Santa Fe	NM	Light	15 seconds	on April 30th at 2:07 a.m., 8-10 lights in a boomerang formation was seen hovering the skies of Santa Fe, New Mexico.	5/2/11	35.6915397644,-105.937400818	
4/9/11 23:55	Farmington	NM	Triangle	10-15 minutes	the craft had and forward object protuding out of the fornt may or may not hand something onw the fornt of the shaft, then  it what loo	5/2/11	36.7281417847,-108.205688477	
3/19/11 20:00	Belen	NM	Unknown	2 hours	1 star shaped object with blinking lights & landings of other objects where there are no airports.	3/23/11	34.6607894897,-106.776916504	
3/14/11 14:00	Lincoln National Forest (Sitting Bull Falls)	NM	Oval	unknown	No visual sighting but took photo in Sitting Bull Fall that shows unknown objects in the sky.  ((NUFORC Note:  Bird or insect?  PD))	3/23/11	32.9165382385,-105.389717102	
2/14/11 18:45	Taos	NM	Light	4 seconds	A light dropped vertically, hesitated, then travelled horizontally at 5000 mph.	2/18/11	36.4115982056,-105.574249268	
2/10/11 21:00	Ruidoso	NM	Light	5 minutes	shimmering light appears/disappears/reappears followed by plane and an apparent air force jet	2/18/11	33.3336982727,-105.68006134	
2/2/11 16:40	New Mexico	NM	Circle	25 min	Many UFO over new mexico white and green	2/8/11	32.3068695068,-106.757522583	
1/16/11 14:30	Roswell	NM	Egg	3 seconds	I was on flight American Airlines 1924 on January 16, 2011.  The pilot announced that we were on descent just over Nevada bordering New	1/31/11	33.394821167,-104.522750854	
12/13/10 01:16	Fruitland (Nenahnezad Chapter House)	NM	Disk		Muliple blinking light over Nenahnezad Chapter House far below the san juan river	1/5/11	36.7393989563,-108.395698547	
12/11/10 21:00	Albuquerque	NM	Oval	One hour	Low in the ski with colored light then turned into big bright light moving towards me and then zipped across the ski.	1/5/11	35.0841789246,-106.648643494	
12/2/10 13:32	Albuquerque	NM	Flash	6 minutes	Flash over desert turing green and red in color flying supersonicly.	1/5/11	35.0841789246,-106.648643494	
11/22/10 22:00	Santa Fe	NM	Sphere	5 sec	yellow sphere with orange blinks trailing it. Moved pretty slowly, and was quite low to the horizon.	1/5/11	35.6915397644,-105.937400818	
11/21/10 10:00	Albuquerque	NM	Other	six minutes	Blue/green Hoops in the sky in Albuquerque, New Mexico.	1/5/11	35.0841789246,-106.648643494	
11/14/10 18:00	Lovington	NM	Circle	20 min	Lovington new Mexico UFO with crash	1/5/11	32.9444503784,-103.348632812	
10/14/10 16:30	Truth or Consequences	NM	Circle	object hovered in sky sou	Shiny object reflected sun in white sands area ufo stayed in a stable position then was gone in a flash. Ufo was circular.	11/21/10	33.1360015869,-107.231689453	
9/9/10 22:00	Lemitar	NM	Fireball	3 to 5 mins	orange lights in the southeastern sky in New Mexico	11/21/10	34.1596984863,-106.908493042	
9/3/10 20:00	Framington	NM	Sphere	15	red light seen over farm land saw from the parkinglot of Smiths food and Drug.	11/21/10	36.7281417847,-108.205688477	
8/15/10 00:00	Deming	NM	Disk	presently	craft hovering over town for over a month now and presently continuing to do so!  Deming NM	8/24/10	32.268081665,-107.758666992	
8/3/10 00:00	Albuquerque	NM	Unknown	all night	What looks to be two bright stars with flashing red and green lights over the western skys of NM	8/24/10	35.0841789246,-106.648643494	
8/3/10 21:00	Silver City	NM	Light	1 minute	Intensely bright, slow-moving, "star-like" object that grew even brighter before it suddenly disappeared.	8/24/10	32.7699699402,-108.275001526	
7/31/10 04:15	Albuquerque	NM	Cigar	20 seconds	Night sky turned white with a cigar shaped object in the middle of a circle of light	8/24/10	35.0841789246,-106.648643494	
7/4/10 23:00	Las Cruces	NM	Sphere	6 minutes	Several lights appeared in a line and disappeared one after another.	7/10/10	32.306728363,-106.777732849	
7/4/10 21:00	Albuquerque	NM	Sphere	5 minutes	A bright yellow light over Albuquerque on July 4th  1/2 hour before the city fireworks display	7/10/10	35.0841789246,-106.648643494	
6/17/10 09:41	Los Montoyas	NM	Disk	20 Seconds..	10-15 miles S.E. of Las Vegas, New Mexico.  Silver disc or round,	6/23/10	35.4195709229,-105.207000732	
5/31/10 20:00	Albuquerque	NM	Other	30min	lights shooting across NM sky.	6/3/10	35.0841789246,-106.648643494	
5/29/10 20:05	Taos	NM	Formation	5 min	Two large craft that released a dozen smaller craft which dissapered as the larger craft kept flying	6/3/10	36.4115982056,-105.574249268	
5/26/10 09:30	Santa Fe	NM	Formation	1:00	Two gold "star like" objects moving silently in formation.	6/3/10	35.6915397644,-105.937400818	
5/25/10 22:00	Albuquerque	NM	Flash	10min	a bright light over Albuquerque NM	6/3/10	35.0841789246,-106.648643494	
5/1/10 23:00	Tijeras	NM	Circle	5 min.	UFO over Sandia Mountains	5/12/10	35.0887908936,-106.375320435	
4/17/10 18:39	Albuquerque	NM	Oval	5 seconds	It was around the time I stated in the beginning of this report. 1730 hours, I was sitting down on a chair smoking a cigarette. i looke	5/12/10	35.0841789246,-106.648643494	
3/15/10 05:45	Tijeras (south of, on hwy S.14)	NM	Rectangle	5 minutes	football field size and shape silent craft floating by over S.14	6/27/11	35.0887908936,-106.375320435	
3/3/10 06:15	Rio Rancho	NM	Fireball	10 minutes	A fireball in the sky	4/13/10	35.2415885925,-106.66002655	
2/6/10 17:50	Albuquerque	NM	Oval	10 min	Oval ship flying over northwest albuquerque bright red, yellow, and white lights pulsing.	2/14/10	35.0841789246,-106.648643494	
2/1/10 04:45	Socorro (west of, on Hwy 60)	NM	Rectangle	5 minutes?	Followed by at very close range, rectangular shape, orange lights approximately 75-85 mph	2/14/10	34.059928894,-106.891838074	
1/25/10 19:15	Holloman AFB	NM	Other	1 minute	Unusual Lights Seen	2/14/10	32.8509864807,-106.101249695	
1/22/10 18:00	Socorro	NM	Light	20 minutes	Silent red lights over Socorro, NM.  ((NUFORC Note:  Witness experienced in the field of astronomy.  PD))	1/31/11	34.059928894,-106.891838074	
1/14/10 01:00	McGregor range	NM	Circle	1 snapshot	object over mountains	2/14/10	32.0796318054,-106.182762146	
1/10/10 18:45	Tularosa	NM	Other	5 min.	green figure 8 followed by military aircraft	2/14/10	33.0728607178,-106.017837524	
1/1/10 18:00	Albuquerque	NM	Light	Half an hour	My wife and I were outside in the Jacuzzi when she first saw a light.  It glowed and traveled from north to south.  It lit up again whe	2/14/10	35.0841789246,-106.648643494	
12/21/09 00:00	Stanley	NM	Circle	1 hour	hot spot for activity ufos every night.	2/14/10	35.1484603882,-105.977333069	
12/19/09 18:00	Stanley	NM	Sphere	4 hours	stanley and edgwood ufo seen low and obveous	2/14/10	35.1484603882,-105.977333069	
11/30/09 20:51	Alamogordo	NM	Sphere	7 min	Bright Orange Orb traveled fairly quickly  across sky  then  hovered briefly and shot straight up.	12/12/09	32.8992500305,-105.960319519	
11/26/09 17:30	Crystal	NM	Light	5 minutes	Two Tandem Bright Reflective Objects Traveling Southeasterly	4/13/10	36.045501709,-108.962280273	
11/20/09 13:58	Santa Fe	NM	Formation	approx. 5 minutes	sighted a formation of many star-like objects flying through daytime sky	12/12/09	35.6915397644,-105.937400818	
11/20/09 05:00	i-10e bound markers 2-65	NM	Rectangle	1.5 hours	I was traveling on the i-10 east in New mexico on 11-20-09,i  glanced at the horizon at about mile marker 2 and noticed an   Object in	12/12/09	33.6359901428,-105.871109009	
11/17/09 04:10	Albuquerque	NM	Chevron	5 to 10 seconds	Saw a chevron of lights moving from north to south while watching for the Leonid meteor shower.	12/12/09	35.0841789246,-106.648643494	
11/6/09 21:45	Farmington	NM	Disk	4 to 5 minutes	Strange saucer like object with red flashing lights decending slowly from moon	12/12/09	36.7281417847,-108.205688477	
