DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/24/11 03:48	Las Vegas	NV	Oval	:04	Five green lights in an oval form appeared and disappeared from the clouds	10/10/11	36.1719093323,-115.139968872	
9/24/11 03:30	Las Vegas	NV	Light	3 hours	I noticed a bright blue light in the middle of the sky.  ((NUFORC Note:  We suspect a sighting of a twinkling star.  PD))	10/10/11	36.1719093323,-115.139968872	
9/19/11 22:00	Yerington	NV	Unknown	30 sec	small very fast craft spoted in nevada desert with a hellicopter.	10/10/11	38.9896583557,-119.163208008	
9/18/11 22:35	Las Vegas	NV	Sphere	10 min	Bluish dim glow with redish rotating spheres	10/10/11	36.1719093323,-115.139968872	
9/16/11 19:30	Blue Diamond	NV	Fireball	5 seconds	White & green fireball impacts mountain range behind Blue Diamond, Nevada	10/10/11	36.047618866,-115.406730652	
9/15/11 19:15	Pahrump	NV	Flash	7 TO 10 SEC	SECOND EVENT IN TWO NIGHTS THIRTY MINUTES APART. MORE DRAMATIC SAME COLOR OF GREEN WHIT LIGHT OVER PAHRUMP, NV.	10/10/11	36.213558197,-115.991416931	
9/14/11 20:21	Pahrump	NV	Fireball	25 seconds	Bright ball of light over the desert.	10/10/11	36.213558197,-115.991416931	
9/14/11 19:45	Henderson	NV	Unknown	30 seconds	Saw the light in Las Vegas before it turned green and yellow	10/10/11	36.0308189392,-114.981086731	
9/14/11 19:45	Pahrump	NV	Unknown	30-45 seconds	Green light in the sky	10/10/11	36.213558197,-115.991416931	
9/14/11 19:45	Las Vegas	NV	Fireball	10 seconds	Green fireball followed by red tail,	10/10/11	36.1719093323,-115.139968872	
9/14/11 19:40	Pahrump	NV	Fireball	30-45 sec	BRILLIANT GREEN WHITE LIGHT LASTING 45 SECONDS WEST TO EAST DIRECTION OVER PAHRUMP, NV	10/10/11	36.213558197,-115.991416931	
9/14/11 19:30	Henderson	NV	Fireball	5 Seconds	Fireball with a long tail	10/10/11	36.0308189392,-114.981086731	
9/14/11 19:00	Las Vegas	NV	Other	2 - 3 minutes	Possible Explanation for Green Light In Sky in Las Vegas	10/10/11	36.1719093323,-115.139968872	
9/14/11 19:00	Las Vegas	NV	Fireball	minute	Shooting star like craft seen looking S-SW from northwest Las Vegas	10/10/11	36.1719093323,-115.139968872	
9/11/11 05:30	Reno/Carson City	NV	Light	3 min	Blue/green semi-circle light object near Washoe lake NV along 395	10/10/11	38.9862632751,-119.957122803	
8/23/11 16:00	Las Vegas	NV	Cylinder	10 seconds	Bright metallic blimp shaped object flying east right between the flight path of two planes.	10/10/11	36.1719093323,-115.139968872	
8/19/11 20:30	Las Vegas	NV	Teardrop	8 Minutes	2 bright colored, fire like, teardrop shaped beings in the sky.	8/21/11	36.1719093323,-115.139968872	
8/17/11 22:30	Reno	NV	Disk	30 sec or less	Reno area fast traveling object	8/21/11	39.5273895264,-119.813407898	
8/17/11 02:00	Las Vegas	NV	Sphere	30 seconds	Bright round object seen flying south  underneath path of airplaine.	10/10/11	36.1719093323,-115.139968872	
8/15/11 17:00	Battle Mountain (54 miles from)	NV	Cigar	2 minutes	When: •	Monday, August 15, 2011 •	Approximately 5:45-6pm PST Where: •	Highway 305 in Nevada •	Roughly 54 miles to Battle Mountain, NV c	8/21/11	40.6405487061,-116.936897278	
8/9/11 10:30	Rose Mountain Pass	NV	Cigar	15 seconds	A very bright capsule shaped object high in the sky was seen by my wife and me as we drove along the Mount Rose pass catching our atten	10/10/11	39.3564682007,-116.655410767	
7/28/11 10:30	Beatty	NV	Flash	120 seconds	Intense bright flashing light cluster possible diamond or triangle giant craft over Nye county Nevada	8/7/11	36.90832901,-116.759429932	
7/11/11 22:25	Las Vegas	NV	Sphere	20sec	Red glowing sphere or northwest las vegas (lone Mountain & 215)	7/17/11	36.1719093323,-115.139968872	
7/9/11 10:45	Sparks	NV	Oval	2 min	About a dozen car-sized silver round objects dance above Sparks Nevada	7/17/11	39.5410003662,-119.749191284	
6/28/11 03:50	Henderson	NV	Fireball	1.5 sec	Meteor?	7/4/11	36.0308189392,-114.981086731	
6/14/11 09:45	Las Vegas	NV	Teardrop	1 hour +	Long duration daylight sighting of 2 craft west/southwest of Las Vegas strip	8/7/11	36.1719093323,-115.139968872	
5/26/11 22:30	Las Vegas	NV	Flash	5 minutes	Red and white flashing UFOs.	5/29/11	36.1719093323,-115.139968872	
5/26/11 04:15	Sparks	NV	Disk	ongoing	Long slender white object.	5/29/11	39.5410003662,-119.749191284	
5/5/11 20:33	North Las Vegas	NV	Light	1 minute	White light over N. Las Vegas, NV.  ((NUFORC Note:  ISS passed overhead here at 20:30 hrs.  PD))	5/12/11	36.1989593506,-115.118537903	
5/1/11 21:00	Las Vegas	NV	Changing	9:40pm	I have recordings and pictures of unidentified objects that dispence out others with multiple colorings inside my home.	5/29/11	36.1719093323,-115.139968872	
4/30/11 20:22	Las Vegas	NV	Unknown	4-6 seconds	I saw something flame and fall from the sky. It was either a Meteor, space junk, or an airplane.	5/2/11	36.1719093323,-115.139968872	
4/16/11 22:00	Reno	NV	Circle	4 sec	green circular object traveling over reno extremely fast.	5/2/11	39.5273895264,-119.813407898	
4/6/11 17:00	Las Vegas	NV	Triangle	10 Minutes	Triangle shaped UFO hovers overhead.	5/2/11	36.1719093323,-115.139968872	
4/4/11 22:30	Carson City	NV	Triangle	10 seconds	greyish/flat black in color no lights triangular shape with no noise from craft	5/2/11	39.1648788452,-119.766998291	
4/4/11 08:30	Las Vegas	NV	Oval	45 MIN	UFO over Las Vegas NV 4/4/2011 8:30PM	5/2/11	36.1719093323,-115.139968872	
4/3/11 14:35	Henderson	NV	Oval	1 Minute	Jet-black, oval, fast, shiny, made sharp turns, Over Mccarran Airport/ Henderson.	4/3/11	36.0308189392,-114.981086731	
3/31/11 15:30	Las Vegas	NV	Unknown	15 min	Las Vegas UFO Sighting 3.31.2011	4/3/11	36.1719093323,-115.139968872	
3/6/11 04:45	Las Vegas	NV	Circle	5 minutes	four to five circular dark objects at spring mountian state park	3/10/11	36.1719093323,-115.139968872	
3/5/11 21:34	Vegas	NV	Other	3min	mothership siteing for more info contact ((number deleted))	3/23/11	36.1719093323,-115.139968872	
2/23/11 20:00	U. S. Highway 93	NV	Light	20 minutes	many orange lights seen in north eastern nevada	3/10/11	39.3362312317,-114.809410095	
2/3/11 20:00	Tonapah	NV	Unknown	30 min	U.S. Goverment   testing strange craft	2/18/11	38.0654907227,-117.231933594	
1/29/11 18:00	McGill	NV	Oval	30s-1min.	Bright green light, oval, and quick	1/31/11	39.4028892517,-114.779830933	
12/26/10 17:08	Reno	NV	Circle	5 seconds	12/26/2010 17:08 Reno Nevada circle 5 seconds moved across sky from west to east	1/5/11	39.5273895264,-119.813407898	
12/24/10 22:30	Las Vegas	NV	Diamond	3 minutes	diamond shaped craft from north to south, crossed orion constellation 2230 12/24/2010	1/5/11	36.1719093323,-115.139968872	
12/24/10 19:30	Reno	NV	Light	1-2 minutes	Strange lights over Reno on Christmas eve	2/18/11	39.5273895264,-119.813407898	
12/16/10 11:40	Sparks	NV	Disk	2 mins	Looking out of the window of my house I saw a flying disc. It was white on top and metallic on the bottom. There was just one. It was t	1/5/11	39.5410003662,-119.749191284	
12/8/10 20:35	Henderson	NV	Light	2 seconds	Blue light screaming across the Nevada skyline	1/5/11	36.0308189392,-114.981086731	
11/4/10 21:30	Reno	NV	Formation	seconds	two light formations moving across reno, nevada	11/21/10	39.5273895264,-119.813407898	
11/4/10 00:30	Las Vegas	NV	Oval	2 hours	Circular object with blue/red/green flashing center lights and glowing edges seen over Las Vegas skies.  ((NUFORC Note:  Stars??  PD))	11/21/10	36.1719093323,-115.139968872	
10/31/10 05:15	Las Vegas	NV	Rectangle	1 hour	Noticed a bright white light moving across the sky in the north/northwest sky of Las Vegas, Nevada.  It appeared high in the sky.  It w	11/21/10	36.1719093323,-115.139968872	
10/19/10 20:33	Hazen/Fallon	NV	Triangle	4 seconds	At night  a flicker of light, then steady Red/Oranges Orbs in a Triangle Pattern consisting of 5-6 located on the bottom of UFO.	11/21/10	39.3564682007,-116.655410767	
10/13/10 22:45	Las Vegas	NV	Changing	15 seconds	Shapeshifting object seen over Las Vegas drive-in movie theater.  ((NUFORC Note:  Possibly migratory birds??  PD))	11/21/10	36.1719093323,-115.139968872	
10/13/10 14:30	Las Vegas	NV	Circle	10 Minutes	Sighting of 3 UFO's in the Las Vegas region in triangle formation that moved to a straight line.	11/21/10	36.1719093323,-115.139968872	
10/8/10 18:00	Las Vegas	NV	Light	5 mins	Lights, orbs or UFO's were seen and filmed over Las Vegas the north mountains 10/08/10	11/21/10	36.1719093323,-115.139968872	
9/24/10 20:00	Nevada	NV	Rectangle	15 minutes	Highway 95 Lights No Sound Craft	11/21/10	41.3189582825,-115.978553772	
9/24/10 19:30	Henderson	NV	Fireball	.5 second	Bright Green Fireball in night sky travelling west-east over Henderson NV  Food for Less parking lot 9-24-10	11/21/10	36.0308189392,-114.981086731	
9/4/10 13:00	Las Vegas	NV	Disk	picture	After looking at pictures taken on i phone saw strange disk in one of the pictures	11/21/10	36.1719093323,-115.139968872	
8/15/10 04:00	Las Vegas	NV	Oval	30 minutes	UFOs seem to show some kind of interest with hills and mountains	1/31/11	36.1719093323,-115.139968872	
8/9/10 08:35	Las Vegas	NV	Other	10 Minutes	A Thin Slice of Black over the Las Vegas mountain range	8/24/10	36.1719093323,-115.139968872	
7/27/10 15:00	Las Vegas	NV	Disk	2-3 minutes	Large, white, dome shaped object spotted near a  "Janet" plane in Las Vegas	8/24/10	36.1719093323,-115.139968872	
7/19/10 21:30	Pahrump	NV	Light	45-60 seconds	Object appearing as sattelite with amazing speed stops and maneuvers in many ways.	7/28/10	36.213558197,-115.991416931	
