DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/10/11 00:00	Troy	NY	Triangle	2 hours	Red, green & orange blinking triangle formation.  ((NUFORC Note:  Probable sighting of a twinkling star, possibly Sirius.  PD))	10/10/11	42.7344894409,-73.6880874634	
10/9/11 23:00	Staten Island	NY	Other	At least a half hour	After a closer look and seeing the moon was in the opposite sky as where this was, and planes flying what looked to be way under it, i	10/10/11	40.6424407959,-74.0752792358	
10/9/11 19:00	Coeymans	NY	Light	1 second	Rapidly descending bright light over river	10/10/11	42.4996604919,-73.8214797974	
10/8/11 19:53	Binghamton	NY	Light	10 minutes	Multiple red lights over Binghamton,NY	10/10/11	42.0986785889,-75.9112701416	
10/7/11 18:00	Staten Island	NY	Oval	2-3 Minutes	Bronze oval craft with bright flashing lights witnessed in vicinity with airplane in daytime sky	10/10/11	40.6424407959,-74.0752792358	
10/5/11 22:00	Auburn	NY	Triangle	about a few minutes	Unbelievable star that turns into a UFO.	10/10/11	42.929359436,-76.5659103394	
9/30/11 12:19	Tyre	NY	Cigar	45 Seconds	Cigar shaped object seen from car.	10/10/11	42.9894981384,-76.804397583	
9/27/11 20:30	Cheektowaga (Buffalo)	NY	Fireball	Approx 1 min	We saw a fireball object, no lights, no sound nor smoke/exhaust.	10/10/11	42.9039306641,-78.7405700684	
9/26/11 23:00	Owego	NY	Light	30 min	2 shinning lights in-sink moving, came closer.	10/10/11	42.1026992798,-76.2621383667	
9/26/11 18:30	Maine	NY	Triangle	3 min.	Triangular shaped object.Size of large van.No noise or physical disturbance.Two rear white lights, one green light	10/10/11	42.1930198669,-76.0609893799	
9/24/11 23:00	Fairport	NY	Formation	1 minute	2 large lights in the sky with a orange glow. At first thought to be a plane flying very low and quite, however they joined together to	10/10/11	43.10105896,-77.44190979	
9/23/11 19:15	Island Park	NY	Fireball	2 mins	One fireball floating slowly up and down in the sky  a circle with fire in it my husband and I both saw it	10/10/11	40.6007499695,-73.655921936	
9/20/11 20:30	Staten Island	NY	Fireball	30 SECONDS	RISING ORANGE FIREBALL OVER STATEN ISLAND	10/10/11	40.6424407959,-74.0752792358	
9/16/11 09:00	Potsdam	NY	Fireball	4 seconds	Orange fireball in sky.	10/10/11	44.6698608398,-74.9858932495	
9/12/11 23:00	Kennedy	NY	Unknown	five mins	large very bright lights semed to be connected, no noise vey close to my house	10/10/11	42.1574516296,-79.1015472412	
9/10/11 21:00	Tonawanda	NY	Fireball	5 min	two bright amber lights hovering or moveing slow	10/10/11	43.0188293457,-78.8863677979	
9/10/11 14:30	Williamsville	NY	Other	15 sec	On Sept 10th 2:30 p.m in Williamsville NY.In clear skys my daughter captured an amazing photo of a UFO	10/10/11	42.9628486633,-78.7449035645	
9/10/11 09:25	Buffalo	NY	Circle	3 min	My husband was on the back deck and called for me to come out and up in the sky was two orange dots following each other then the first	10/10/11	42.8854408264,-78.8784637451	
9/9/11 21:15	Montauk	NY	Cylinder	approx. 35 mins	Yellow to orange colors radiating above and below cylindrical or disk shaped object travelling at high rate of speed	10/10/11	41.031211853,-71.9537277222	
9/7/11 02:02	Nassau County	NY		10 seconds	Blue light "explosion" as if viewed within a dome or planetarium	10/10/11	40.6994590759,-73.5966415405	
9/4/11 22:00	Ashford Hollow	NY	Other	30 seconds	i was at my parents cabin in ashford hollow ny for the holliday weekend. my kids were gonna meet me out there but didn't make it. so of	10/10/11	42.4078102112,-78.6886978149	
9/4/11 00:00	Savona	NY	Light	an hour	I am at a loss to rationally explain what my girlfriend and I have seen, not once, not twice, but three times in a week!	10/10/11	42.2890281677,-77.2187271118	
9/3/11 22:22	Kings Park	NY	Oval	5-10 minutes	6 glowing spheres in the sky, moving in exact uniform formation	10/10/11	40.8843383789,-73.2412567139	
9/3/11 20:16	Rochester (Town of Chili)	NY	Circle	20:16-21:30	8-18 red/orange lights seemingly rising from the distant tree line above I-490 westbound after chili center exit south/southwest of my	10/10/11	43.1554985046,-77.616027832	
9/2/11 15:00	Syracuse	NY	Disk	5:00-5:30	a color changing object that left a trail of light	10/10/11	43.0499916077,-76.1473922729	
9/1/11 21:47	Ovid	NY	Light	5 minutes	it stopped and much quicker began to go the opposite direction suddenly plummeted toward the ground shot back up to where it was before	10/10/11	42.6763801575,-76.8219070435	
9/1/11 18:00	Hamburg	NY	Cone	20 seconds	Bun shaped object hovering over parking lot and then darting back and forth at high speed.	10/10/11	42.7160606384,-78.8321075439	
8/31/11 22:00	Montauk	NY	Fireball	30-45 seconds	Undulating ball of fire over Montauk that went high and disappeared, 5 minutes later a 2nd one appeared and did the same thing.	10/10/11	41.031211853,-71.9537277222	
8/31/11 21:05	Montauk	NY	Fireball	3 mins	Came out of restaurant on south Edison in Montauk, ny.  My husband went to get our car when I happened to look up in the sky and saw an	10/10/11	41.031211853,-71.9537277222	
8/30/11 22:16	Lysander	NY	Other	approx 5-10 minutes	Cubical obect sighted 15 miles north of New York State Fair, 8-30-11, 10:16 pm.	10/10/11	43.1844215393,-76.3986206055	
8/30/11 20:44	Yonkers	NY	Light	20 seconds	Moving light with no sound or blinking/pulsating.	10/10/11	40.9325218201,-73.8989105225	
8/30/11 20:00	Blue Point	NY	Fireball	5 minutes	10 fire like balls over south shore long island headed NE.	10/10/11	40.7542915344,-73.037437439	
8/28/11 21:00	Tonawanda	NY	Circle	20  minutes	3 redidish organge cicle/spheres seen over Tonawanda NY	10/10/11	43.0188293457,-78.8863677979	
8/28/11 14:27	Nissequogue	NY	Sphere	3 minutes	round silver object hovering over long island bay during hurricane Irene	10/10/11	40.8992118835,-73.1950683594	
8/27/11 20:45	Lockport	NY	Light	1and a half -2 minutes	Yellow lights in formation traveling silently across the sky, faded away one by one.	10/10/11	43.1691703796,-78.6954574585	
8/27/11 07:30	Utica	NY	Diamond	1 min	Daytime UFO sighting 8/27/11 Utica, NY	10/10/11	43.0957984924,-75.2427597046	
8/26/11 22:30	Buffalo/Freedom	NY	Other	3 mins	Grayish star/object moving across sky and then moving upward near Freedom NY	10/10/11	42.9037895203,-75.5704879761	
8/26/11 11:56	Fairport	NY	Fireball	45seconds	SHOCKING	10/10/11	43.10105896,-77.44190979	
8/25/11 21:30	Wellesley Island	NY	Circle	1-2 minutes	Luminous orange object moving across the night sky over Wellesley Island State Park	10/10/11	44.3214378357,-75.991897583	
8/25/11 08:25	Herkimer	NY	Light	5 minutes	add on to earlier report	10/10/11	43.0248413086,-74.9834823608	
8/25/11 08:25	Herkimer	NY	Light	5 minutes	orange bright light moving across sky chasing smaller bright white light	10/10/11	43.0248413086,-74.9834823608	
8/24/11 21:00	Brooklyn	NY	Triangle	5 seconds	Large wing seen moving quickly over Brooklyn 08-24-11	10/10/11	40.6924514771,-73.9903564453	
8/24/11 04:30	Cutchogue	NY	Triangle	4-5 min	large black triangular craft seen over Interstate 80 in north west New Jersey.	10/10/11	41.0100517273,-72.4856567383	
8/20/11 21:00	Lindenhurst	NY	Rectangle	1 hour	red to orange flickering lights/flames attached to some type of object sailing fast in the sky over Lindenhurst,NY	10/10/11	40.6816711426,-73.3674316406	
8/20/11 20:44	Niles	NY	Fireball	30 seconds	3 Fireballs Spotted in Triangle Formation Spotted in Niles NY 8:44pm 08/20/11	8/21/11	42.8375015259,-76.4139022827	
