DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/6/11 01:00	Stillwater	OK	Disk	7 mins	((HOAX??))  I came from the Northwest and flew over our building.	10/10/11	36.1162490845,-97.0586471558	
10/5/11 06:00	Enid	OK	Circle	30 seconds	Object tracked from north to south high in sky, became bright, stopped in mid flight and disappeared.	10/10/11	36.397228241,-97.8783416748	
10/2/11 01:50	Owasso	OK	Light		On Oct 2 2011 between 1:50am-2:05am 7 to 9 fighter planes flew over my house. A few hitting there boosters making a loud sound shaking	10/10/11	36.2678985596,-95.8550109863	
9/29/11 23:45	Shawnee	OK	Chevron	15 seconds	i was laying outside in the driveway looking at the stars and noticed what appeared to be the upper air pushing and was able to see a d	10/10/11	35.3319816589,-96.9247970581	
9/23/11 09:45	Oklahoma City	OK	Light	5-10 minutes	A series of red lights moving south to north.	10/10/11	35.4720115662,-97.5203475952	
9/13/11 10:45	Springer	OK	Light		It was bright aqua blue almost turqouis.	10/10/11	34.3150405884,-97.1429672241	
9/9/11 13:00	Tulsa	OK	Oval	two nights	Tulsa Oklahoma UFO sighting	10/10/11	36.1497383118,-95.9933319092	
9/8/11 20:00	Tulsa	OK	Light	2 min	Bright, stationary light in western sky at sunset.	10/10/11	36.1497383118,-95.9933319092	
8/31/11 00:00	Ardmore	OK	Triangle	2 minutes	Triangular craft with three red lights hovering and then circling areas in Ardmore, Oklahoma.	10/10/11	34.1726799011,-97.1287612915	
8/24/11 05:50	Geronimo	OK	Light	1 Hour	At 0550 on 23 August 2011, I observed a light in the ESE sky, approximatly 25 degrees above the horizon. At the time the moon was in a	10/10/11	34.4809417725,-98.3870925903	
8/22/11 21:00	Hugo	OK	Fireball	5 min	orange lights over Hugo Oklahoma	10/10/11	34.0108909607,-95.513458252	
8/8/11 20:00	Tulsa	OK			Unidentified object in photo of storm clouds.	8/21/11	36.1497383118,-95.9933319092	
8/1/11 00:00	Bokchito	OK	Light	3-4 minutes	Bright orange/blue light moving really fast then disapearing.	8/7/11	34.0171699524,-96.1444702148	
7/27/11 11:45	Edmond	OK	Light	5-6 seconds	Stars foating off and shooting away	8/7/11	35.6548995972,-97.4781265259	
7/27/11 01:00	Watts	OK	Changing	15 minutes	Big light in the middle of town that changed shape and color	8/7/11	36.1053390503,-94.574180603	
7/19/11 22:30	Sapulpa	OK	Fireball	3 minutes	Three UFO's Witnessed by four people.	8/7/11	35.998790741,-96.1082229614	
7/10/11 22:45	Durant	OK	Fireball	5:00	Wife, son and I observed two fireball objects and one silver object over Okla.	8/7/11	33.9931983948,-96.3860168457	
7/9/11 10:35	Owasso	OK	Triangle	3-4 minutes	Triangular shaped UFO passes over my house in broad daylight.	7/17/11	36.2678985596,-95.8550109863	
7/3/11 22:00	Broken Arrow	OK	Cylinder	3 minutes	Large object with orange/red light.	7/17/11	36.0508384705,-95.7894973755	
