DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/9/11 18:00	Prinveille	OR	Cigar	1 min	Bright red glowing object in Prineville, Or.	10/10/11	44.3029212952,-120.844039917	
10/8/11 21:10	Portland	OR	Unknown	15- 20 seconds	I was looking up at the moon facing South from my Southeast Portland front porch, when I saw some red and green lit object almost float	10/10/11	45.5117912292,-122.675628662	
9/28/11 21:00	Gleneden	OR	Oval	Watched it for 15 min but	An oval orb blinking green and red lights and that has electrical currents is watched off the Oregon coast.	10/10/11	42.3226509094,-122.980178833	
9/28/11 21:00	Yachats (south of)	OR	Other	5 minutes	Low-flying, arrow-shaped craft with unblinking white-yellow lights and one red blinking light	10/10/11	44.3134307861,-124.10471344	
9/28/11 20:50	Stayton	OR	Circle	1 hour +	Round Obj. with green, red, yellow, blue & white lights moving E to W for over an hour.  ((NUFORC Note:  Star, perhaps Sirius?  PD))	10/10/11	44.8020095825,-122.794319153	
9/28/11 16:15	Albany	OR	Oval	3 minutes	UFO witnessed by skeptical man and nephew in Northwest.	10/10/11	44.6354789734,-123.107757568	
9/27/11 21:00	Eugene	OR	Circle	10 minutes	Five fiery lights/dark circular objects seen by young couple in Eugene, OR.	10/10/11	44.0499191284,-123.088539124	
9/25/11 21:00	Florence	OR	Light	2 minutes	Red lights over Florence, Oregon	10/10/11	43.9688682556,-124.107391357	
9/25/11 21:00	Bend	OR	Unknown	unknown	Pulsing, rotating red and green lights with flashes of white light in NE sky every night.  ((NUFORC Note:  Sirius??  PD))	10/10/11	44.0573883057,-121.315811157	
9/25/11 06:00	Portland	OR	Light	15 -20min	Yellow/Orange light ball with blinking lights over Sauvie Island	10/10/11	45.5117912292,-122.675628662	
9/23/11 19:50	Happy Valley	OR	Fireball	3 0r 4 seconds	Two separate fireballs descending slowly, in different parts of sky,one touching ground very near us, the far one vanishing at horizon	10/10/11	45.4469985962,-122.530479431	
9/22/11	Mulino	OR	Circle	3 min	circle/ red/orange differnt color lights spun	10/10/11	45.2222290039,-122.582077026	
9/21/11 20:30	Tillamook	OR	Cylinder	10 seconds	Bright glowing orb	10/10/11	45.4563217163,-123.84262085	
9/21/11 20:15	Canby	OR	Fireball	brief	large green fireball plummenting out of the sky	10/10/11	45.2629013062,-122.69418335	
9/21/11 20:00	Salem	OR	Egg	2 mins	Was driving at about 8 pm, suddenly in front of me in the sky a bright green egg shape appeared slowly crossed sky then accelerated and	10/10/11	44.9332618713,-123.043807983	
9/21/11 00:00	Portland	OR	Flash	Hour	I saw multiple objects I can not describe last night in Portland, Oregon around midnight.	10/10/11	45.5117912292,-122.675628662	
9/20/11 20:45	Talent	OR	Triangle	35 sec	it looked like something of a V shape entered the atmosphere glowing.	10/10/11	42.246219635,-122.785507202	
9/20/11 01:55	Portland	OR	Rectangle	6 seconds	Orange glowing, black center wing	10/10/11	45.5117912292,-122.675628662	
9/11/11 00:00	The Dalles	OR	Fireball	30 seconds	2 witnesses to a large orange fireball object flying upwards into the atmosphere	10/10/11	45.6015510559,-121.183433533	
9/9/11 20:00	Portland	OR	Oval	5 Minutes	9 Objects, oval in shape	10/10/11	45.5117912292,-122.675628662	
9/5/11 12:18	Eugene	OR	Light	1-2 seconds	Bright fast moving light	10/10/11	44.0499191284,-123.088539124	
9/5/11 01:00	Portland	OR	Light	5 seconds	bright light that looked like a satellite then shoots straight up leaving a streak behind momentarily	10/10/11	45.5117912292,-122.675628662	
9/4/11 21:37	Corvallis	OR	Light	1 minute	Two lights appear within extremely close proximity, fly straight, and then vanish at the same time.	10/10/11	44.5650405884,-123.263526917	
8/28/11 21:10	Milwaukie	OR	Light	2 minutes	bright light 08/28/2011 portland	10/10/11	45.4451408386,-122.64150238	
8/28/11 21:00	Oregon City	OR	Light	5 MIN	Bright white light and small red light in sky 8-28-2011 Oregon city oregon	10/10/11	45.3365097046,-122.592781067	
8/27/11 00:00		OR	Fireball	20 sec	7 FT FROM UFO ORB SEEN INSIDE HOW WORKS!	10/10/11	43.9408683777,-120.600776672	
8/24/11 09:00	Portland	OR	Other	
	T-shaped,y-shaped,triangle,three lights,daytime.	10/10/11	45.5117912292,-122.675628662	
8/23/11 11:06	Portland	OR	Triangle	seconds	Started looking like a shooting star but then shot into triangle and went "dot dot dot into bigger ones and shot into the sky" and then	10/10/11	45.5117912292,-122.675628662	
8/20/11 21:20	Aurora	OR	Circle		Small colored lights moving erratically near the I-5 interstate in Oregon.	10/10/11	45.2296104431,-122.755859375	
8/19/11 21:30	Hillsboro	OR	Light	2-3 min	Observed what appeared to be a fast satellite stop move in controlled impossible maneuvers then assume original trajectory	10/10/11	45.5226898193,-122.990386963	
8/19/11 00:50	Baker City	OR	Fireball	10 seconds	Fireball, space debris, or unknown object .	8/21/11	44.7739982605,-117.82988739	
8/16/11 17:28	Coos Bay	OR	Light	7 minutes	I saw a steady ball of light with no sound  about 20,000 feet fly by in a northesterly direction from coos bay	8/21/11	43.3679504395,-124.219520569	
8/14/11 21:55	Corvallis	OR	Light	1.5 minutes	White light far brighter than satellite drifts overhead and vanishes.  ((NUFORC Note:  Overflight of ISS??  PD))	8/21/11	44.5650405884,-123.263526917	
8/13/11 23:00	Mt. Hood parkdale	OR	Other	10 seconds	Mt Hood OR, large triangle shaped with rounded corners diamnond shape inside, other objects around it, disappeared within 10 seconds	10/10/11	45.5198402405,-121.596740723	
8/13/11 21:15	Aloha	OR	Light	4 mins	Three red lights over Aloha Oregon	8/21/11	45.4940681458,-122.867279053	
8/11/11 10:00	Bend	OR	Light	3-4 Seconds	Very bright point of blue-white light moving downward in the vicinity of the Big Dipper constellation.	8/21/11	44.0573883057,-121.315811157	
8/8/11 23:00	Medford	OR	Light	twenty five seconds	Me and my friend were laying in a grassy hill in Medford, Oregon. We were on vacation, just counting bats and star-gazing. The stars we	8/21/11	42.3235588074,-122.875610352	
8/6/11 21:30	Seaside	OR	Fireball	15 minutes	3 Fireball Looking Objects Seen Over Seaside, Oregon on the Evening of August 6th, 2011	8/7/11	45.9930686951,-123.920753479	
8/4/11 22:10	Gresham	OR	Other	2 min-5min	Two drone like objects chasing or observing a star like craft or object that was faster and more silent then any other craft or object	8/7/11	45.5062789917,-122.435333252	
7/23/11 05:23	Eagle Creek	OR	Flash	5 Seconds	Flashing light, no sound, up approx 20k to 40k ft.  Went from southwest to northeast horizon in about 6 sec.	8/7/11	45.3615188599,-122.363838196	
7/22/11 21:50	Portland	OR	Light	30 seconds	Large neon blueish bright white light flying and hovering in all directions in NE Portland.	8/7/11	45.5117912292,-122.675628662	
7/18/11 23:40	Rainier	OR	Light	
	Saw a strange fast light while driving home.  ((NUFORC Note:  Sighting allegedly affected dashboard lights in car.  PD))	8/7/11	46.0891418457,-122.936088562	
