DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/17/11 20:05	Johnston	RI	Sphere	1 minute	Orange Sphere in the night sky.	10/10/11	41.8380661011,-71.524230957	
9/17/11 20:05	West Warwick	RI	Light	@ 5 min	I saw 6 or 7 red lights slowly moving in the sky north of West Warwick, RI that were heading north	10/10/11	41.708278656,-71.5224685669	
9/12/11 21:30	Providence	RI	Triangle	1 second	Fleeting triangular object following a meteor path	10/10/11	41.8238716125,-71.4119873047	
9/3/11 22:15	Narragansett	RI	Unknown	2 minutes	Newton Ave/ Hazard Rock area- Huge hovering object with light formations dissapeared.	10/10/11	41.4316902161,-71.4562301636	
7/9/11 22:15	Mapillville	RI	Fireball	60 seconds	On 7-9-2001 i was driving home from a friends house in Mapillville Road Island . I was 1000 feet from my driveway. There was a clearing	7/17/11	41.9486198425,-71.646812439	
7/4/11 22:00	Warwick	RI	Fireball	20 mins	Red lights in the sky on the 4th of july	7/6/11	41.698589325,-71.4616775513	
5/8/11 23:00	Exeter	RI	Diamond	20min	A disbeliever firmly becomes a believer after spotting this thing in the sky.	5/29/11	41.5774612427,-71.5383300781	
3/7/11 18:50	Wakefield	RI	Formation	30-60 sec.	Two White Lights Fly Simultaneously WNW to EAST	3/10/11	41.4388389587,-71.4907913208	
2/18/11 19:40	North Kingston	RI	Flash	Seconds??	Man sitting in car is bathed in light from three very bright flashes of light, in rapid sequence.	2/18/11	41.5539894104,-71.4680023193	
1/25/11 19:20	South Kingstown	RI	Unknown	10 minutes	Mystery 'jets' again over Rhode Island	1/31/11	41.5539894104,-71.4680023193	
1/21/11 17:11	Warwick	RI	Light	10 Seconds	Blue ball of light arching in the sky in Warwick, Rhode Island	1/31/11	41.698589325,-71.4616775513	
1/16/11 21:00	Pawtucket	RI	Circle	60 sec.	3 flying orange orbs.	1/31/11	41.8792190552,-71.3824768066	
1/3/11 21:40	Wakefield	RI	Disk	1.5 seconds	A large disc shaped craft entered my field of vision and disappeared before i could observe further details.	1/5/11	41.4388389587,-71.4907913208	
11/2/10 17:00	Coventry/West Greenwich	RI	Other	about 10 mins.	2 missile shaped objects in broad daylight. 95 SOUTH EXIT 7. They were moving extremely slow or not at all. Was not a plane.	11/21/10	41.7016601562,-71.5920791626	
9/20/10 00:00	Westerly	RI	Unknown	40 minutes	Low flying jet like sound followed by a long sighting of three color lighted object hovering.	11/21/10	41.3772544861,-71.8275527954	
9/15/10 22:45	East Greenwich	RI	Triangle	1 minute	Three bright white lights in a triangular shape - with a red pulsing light at the rear moving over highway - LOW	11/21/10	41.6605300903,-71.4499664307	
8/14/10 23:00	Providence	RI	Diamond	15 minutes	lights over providence	8/24/10	41.8238716125,-71.4119873047	
7/27/10 00:15	Cranston	RI	Other	20 minutes	Pulsating white, red, geen light in the Western Sky of Rhode Island.  ((NUFORC Note:  Sighting of star.  PD))	7/28/10	41.7788391113,-71.435218811	
7/11/10 03:00	West Warwick	RI	Light	the past two days so far 	several flying objects surrounding one bright light that moves in different directions.  ((NUFORC Note:  Jupiter in E sky??  PD))	7/19/10	41.708278656,-71.5224685669	
6/3/10 14:00	Newport	RI	Disk	Unknown	UFO photo sighting	7/10/10	41.4921188354,-71.3113479614	
5/24/10 14:30	Charlestown	RI	Other	1 hour	Strange aircraft again over southern Rhode Island	6/3/10	41.3831863403,-71.6427001953	
5/20/10 11:00	South Kingstown	RI	Chevron	5 minutes	Odd chemtrail and jet formation over souther Rhode Island	6/3/10	41.5539894104,-71.4680023193	
5/16/10 09:40	South Kingstown	RI	Cylinder	30 seconds	Stationary gray cylinder slowly accelerates, turns white, then opaque, and disappears.	6/3/10	41.5539894104,-71.4680023193	
5/14/10 04:30	Providence	RI	Other	2 seconds	Star slides to left in sky, then Disappears	11/21/10	41.8238716125,-71.4119873047	
4/10/10 21:00	Warwick	RI			this is not a sighting report but perhaps a clarification of an event that occured on the night of April 10, 2010 in which a UFO was re	5/12/10	41.698589325,-71.4616775513	
4/10/10 00:00	Warwick	RI	Disk	10 minutes	bright light hovering over the warwick mall	4/13/10	41.698589325,-71.4616775513	
4/2/10 20:45	Greenville	RI	Formation	5 minutes	orange lights over Greenville RI started in formation then disappeared from sky very weird	4/13/10	41.8722686768,-71.5537414551	
3/16/10 12:45	Westerly	RI	Circle	10	Object flying along side an airplane disappeared into the clouds, emerged 5 minutes later and flew southwest.	4/13/10	41.3772544861,-71.8275527954	
1/26/10 11:00	South Kingstown	RI	Other	5 minutes	This morning at 11am I again heard the now familiar jet-like sound of an approaching craft.  I went outside to see a low flying jet of	2/14/10	41.5539894104,-71.4680023193	
1/21/10 18:40	South Kingstown	RI	Cylinder	7 minutes	Jet-like objects again over southern Rhode Island	2/14/10	41.5539894104,-71.4680023193	
1/20/10 18:45	South Kingstown	RI	Chevron	10 minutes	Jet-like craft with loud noise and strange lights in over southern RI	2/14/10	41.5539894104,-71.4680023193	
10/11/09 19:00	North Smithfield	RI	Circle	10 to 15 seconds	I was watching the sky like I always do on a clear night because you can always see what appear to be stars riding along the night sky.	12/12/09	41.9667015076,-71.5500030518	
10/1/09 20:00	Providence	RI	Disk	5 minutes	saucer with red and blue lights over providence, RI	12/12/09	41.8238716125,-71.4119873047	
10/1/09 08:00	Pawtucket	RI	Cylinder	10 minutes	Hovered over Pawtucket, RI and had red flashing lights at the bottom	12/12/09	41.8792190552,-71.3824768066	
9/25/09 22:30	Wakefield	RI	Light	seconds	two lights moved horizontally then zig zaged very fast and shot out of sight.	12/12/09	41.4388389587,-71.4907913208	
9/19/09 20:23	North Kingstown	RI	Light	3 min	There was a bright bell shaped light in the sky.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.5539894104,-71.4680023193	
9/19/09 20:12	Cranston	RI	Cone	3 min	cone shaped hazy light pointed downward from sky.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.7788391113,-71.435218811	
9/19/09 20:10	Wakefield	RI	Triangle	1minute	Bight ball of light in the sky trailed by a more diffuse morphing cloud of light.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.4388389587,-71.4907913208	
9/19/09 19:58	North Smithfield	RI	Sphere	>1 minute	I was looking up at the stars and all of the sudden a giant circle was right in front of my eyes. ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.9667015076,-71.5500030518	
9/19/09 19:50	Providence	RI	Unknown	20 seconds	I ran across information that seems to explain the beams.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	41.8238716125,-71.4119873047	
8/23/09 03:00	Little Compton	RI	Fireball	3 mins	Strange orbs/lights seen above and around Warren Point during Hurricane Bill	12/12/09	41.5095596313,-71.1726303101	
8/19/09 22:00	Leeds (UK/England)	RI		2 minutes	controlled and deliberate manouvers	8/27/09	41.5744094849,-71.5449371338	
8/8/09 21:00	Middletown	RI	Fireball	0:05	~24 orange/red fireball shaped objects moving in pairs along common flight path before ascending and dissappering.	8/27/09	41.5205497742,-71.2875900269	
