DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 06:30	Mount Pleasant	SC	Light	5 minutes	Extremely fast moving craft with erratic stopping and side to side motion.	10/10/11	32.8012809753,-79.8894500732	
10/6/11 00:08	Moncks Corner	SC	Fireball	30 seconds	Brilliant White falling object over Coastal South Carolina.	10/10/11	33.1964912415,-80.0126876831	
10/1/11 23:41	Bluffton	SC	Unknown	20 seconds	Ball of red/yellow light followed by a trail of fire falls to earth in or around Bluffton, SC	10/10/11	32.2372093201,-80.861328125	
10/1/11 23:00	Greenville area	SC	Light	3-4 hrs	Red, blue, white lights seen hovering in the sky in the vicinity of the Anderson/Greenville area. ((NUFORC Note:  Possible star??  PD))	10/10/11	33.8748092651,-80.8533172607	
10/1/11 22:50	Bluffton	SC	Chevron	ongoing	Large white light with blue triangular glow sighted in Bluffton, SC sky	10/10/11	32.2372093201,-80.861328125	
9/29/11 21:20	St. Stephen	SC	Unknown	20 to 25 minutes	10 to 12 lights followed by jet fighters over Berkely County in South Carolina	10/10/11	33.4045410156,-79.9248275757	
9/29/11 21:15	St. Stephen	SC	Unknown	20 minutes	On the evening of September 29, 2011, my Husband and I took our dog outside for a walk.  As we always do we went over to the driveway a	10/10/11	33.4045410156,-79.9248275757	
9/29/11 21:00	Myrtle Beach	SC	Circle	10 seconds	4 orange/yellow circular shapes spotted in Myrtle Beach	10/10/11	33.6935691833,-78.8826675415	
9/29/11 21:00	Myrtle Beach	SC	Triangle	5-10 min	we saw a large  bright orange circular lights that formed a v shaped pattern clearly then blink rapidly and disappear.	10/10/11	33.6935691833,-78.8826675415	
9/29/11 21:00	North Myrtle Beach	SC		20 seconds	3 orange lights appeared in  the sky over Myrtle Beach at 27th street	10/10/11	33.8276596069,-78.6848983765	
9/29/11 20:53	North Myrtle Beach	SC	Sphere	two minutes	UFO sighting Sept 29th 2011 8:53 I witnessed two yellow-orange color spheres about the size of 1/8 of the moon and 5 small star size ob	10/10/11	33.8276596069,-78.6848983765	
9/26/11 19:45	Myrtle Beach	SC	Light	>30 seconds	Two orange lights in the sky	10/10/11	33.6935691833,-78.8826675415	
9/26/11 09:20	Georgetown	SC	Cigar	3 minutes	White lights that multiplied	10/10/11	33.3683013916,-79.28074646	
9/24/11 23:20	Clemson	SC	Cylinder	3 minutes	Observed large bright orange fiery object over Clemson SC night sky near midnight.	10/10/11	34.6825904846,-82.8395385742	
9/13/11 09:00	Greer	SC	Sphere	3-4 minutes	5 red spheres in sky Greer SC 9-13-11	10/10/11	34.9382095337,-82.2276992798	
9/13/11 09:00	Greer	SC	Sphere	3-4 minutes	Greer S C,  5 red spheres moving southerly near GSP/ 9/13/11	10/10/11	34.9382095337,-82.2276992798	
9/9/11 21:00	Ridgeland	SC	Unknown	20 sec	Large Craft hovering over Highway surrounded by Bright white lights	10/10/11	32.4817886353,-80.9836578369	
8/28/11 03:30	Charleston	SC	Oval	30/+ mins	Slow, moving, multicolored object above the sky in Charleston, SC.	10/10/11	32.7811508179,-79.931602478	
8/27/11 01:30	Columbia	SC	Light	30 min	Glowy orange lights on Cayce side of the river.	10/10/11	33.998550415,-81.045249939	
8/23/11 09:00	Lancaster	SC	Light	20 mins	What started out as fun and exciting has turned into frightening.	10/10/11	34.7206001282,-80.7709274292	
8/21/11 20:45	Clover	SC	Circle	2-3 minutes	Large circular flying object that appeared to be on fire.	10/10/11	35.1111984253,-81.2265777588	
8/19/11 18:00	Moore	SC	Disk	5 sec	ufo beside plane traveling east in south caroline	8/21/11	34.8321914673,-81.9907989502	
8/2/11 01:00	Sumter	SC	Triangle	07:15	An unknown object appeared in the hour of darkness	8/7/11	33.9243392944,-80.3423614502	
7/22/11 21:00	Pawleys Island	SC	Sphere	4 minutes	Large orange glowing orb moving over Litchfield Beach	8/7/11	33.4384994507,-79.1277236938	
7/21/11 22:00	Edisto Beach	SC	Circle	3-4 sec	2 orange, evenly spaced lights over ocean at Edisto Beach SC 7-21-11.	8/7/11	32.4815788269,-80.3294525146	
7/15/11 10:30	Surfside Beach	SC	Triangle	15 min	Was turning left out of our subdivision and looked up into the sky.  Saw several bright lights "playing" thru the cloud.  Full moon ton	7/17/11	33.6195716858,-78.9737472534	
7/7/11 22:30	Moore	SC	Triangle	25 minutes	There was a 3 lights that were oscilating around themselves and twirling in a circle. Then as I watched it turned and shaped in to a fl	7/17/11	34.8321914673,-81.9907989502	
7/5/11 23:00	Murrells Inlet	SC	Oval	30 mins	Ufo and Uso in same frame video recorded.	10/10/11	33.548160553,-79.0445022583	
7/4/11 21:40	North Augusta	SC	Fireball	2 minutes	Glowing round object hovered in sky going eastward from North Augusta/Edgefield area.	7/6/11	33.4957809448,-81.9700775146	
7/3/11 21:15	Isle of Palms	SC	Fireball	2 min	Ball of fire coming from Atlantic ocean toward the north west at steady pace	7/6/11	32.7895393372,-79.7835922241	
7/3/11 21:00	Moncks Corner	SC	Light	2 minutes	WAS LOOKING  UP AT APROX.TWARDS THE WEST,A THIRD OF THE WAY UP AND SAW A BRIGHT LITE SLOWELY MOVEING ACROSS THE SKY AND NOTICED IT DIDN	7/4/11	33.1964912415,-80.0126876831	
7/2/11 22:30	Moncks Corner	SC	Light	3 mins	Red ball of light climbs to 15,000 ft, hovers, then fades out with no clouds in the sky.	7/4/11	33.1964912415,-80.0126876831	
7/1/11 21:54	Myrtle Beach	SC	Oval	15 seconds	Bright Ball of Light Seen at Myrtle Beach SC then Suddenly Accelerated Out of Sight	7/6/11	33.6935691833,-78.8826675415	
7/1/11 21:54	Myrtle Beach	SC	Oval	15 seconds	Bright Ball of Light Seen at Myrtle Beach SC then Suddenly Accelerated Out of Sight	7/17/11	33.6935691833,-78.8826675415	
7/1/11 00:20	Myrtle Beach	SC	Circle	3 to 5 minutes	2 circular objects appearing as clusters of orange lights moving parallel to the coast off Myrtle Beach, SC.	7/4/11	33.6935691833,-78.8826675415	
6/29/11 21:00	South Myrtle Beach Pier	SC	Oval	5 minutes	Two oval objects with orange/red colors flying over the ocean while at Myrtle Beach 2nd Ave. Pier	8/7/11	33.8748092651,-80.8533172607	
6/28/11 21:30	Litchfield Beach	SC	Light	29 minutes	Quick, flashing lights over Litchfield Beach, SC	7/4/11	33.4730911255,-79.1039199829	
6/28/11 21:25	North Myrtle Beach	SC	Triangle	2 Minutes	Three orange/reddish triangular  lights over North Myrtle Beach!	8/7/11	33.8276596069,-78.6848983765	
6/28/11 10:35	Myrtle Beach	SC	Unknown	10 seconds	We are staying around 70th/71st North Myrtle and saw the lights last night from our balcony @ approx 10:30p.  Strangest thing we have s	7/4/11	33.6935691833,-78.8826675415	
6/25/11 22:00	Fort Mill	SC	Light	2 min.	Series of 6 silent fiery-orange lights moving across night sky	6/27/11	35.0066719055,-80.9431610107	
6/15/11 05:16	Westminster	SC	Light	3 minutes	bright light in the night sky.  ((NUFORC Note:  Sighting of International Space Station.  PD))	6/20/11	34.6666984558,-83.0990219116	
6/8/11 21:45	Myrtle Beach	SC	Formation	45 minutes	Bright orange balls of light in random formations and quickly moving, chased by military jets	6/12/11	33.6935691833,-78.8826675415	
