DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/28/11 21:00	Greenwood	SD	Oval	15 min	Witnessed three ufo's usa, greenwood, sd	10/10/11	42.9219818115,-98.3833236694	
9/20/11 06:33	Sioux Falls	SD	Light	6:33	Bright light like space station but brighter and moving in strange ways unlike aircrafts	10/10/11	43.5453491211,-96.7312774658	
8/15/11 21:00	Yankton	SD	Light	1 minute	I was told to come outside to view something that my friends saw in the sky because I have seen a UFO at one other point this summer. T	8/21/11	42.8717918396,-97.3970489502	
8/13/11 03:30	Rapid City	SD	Other	15 seconds	Gliding white soundless aircraft, shaped like a thin semi-circle	8/21/11	44.081161499,-103.230888367	
7/27/11 22:35	Brookings (near)	SD	Circle	45 sec	White light getting larger, then smaller and fading away	8/7/11	44.3109512329,-96.7985534668	
7/22/11 01:30	Custer	SD	Circle	5 Minutes	Orange Lights East of Custer, SD	8/7/11	43.7695198059,-103.601837158	
7/1/11 22:20	Yankton	SD	Unknown	1 minute	Yellow/orange light, had points, in the atmosphere and close to us, moved funny, faded away into the sky.	7/4/11	42.8717918396,-97.3970489502	
5/26/11 09:15	Scotland	SD	Circle		There were 5 lights 1 would fade out then another to the side right 2 left total of five! People seen it thirty miles away!	5/29/11	43.1491012573,-97.7161483765	
5/5/11 23:05	Sioux Falls	SD	Chevron	2 Minutes	Three brillant white lights going one direction and stopping and  two red chevron shaped objects going near opposite course	5/12/11	43.5453491211,-96.7312774658	
3/16/11 21:16	Chamberlain	SD	Light	5 minutes	bright orange lights over Chamberlain, SD	3/23/11	43.8113212585,-99.3299789429	
11/15/10 10:34	Sioux Falls	SD	Triangle	4min	light, triangle, airport	11/21/10	43.5453491211,-96.7312774658	
10/14/10 19:20	Mitchell	SD	Light	2 min	Dark object with lights around- went west and turned 90 degrees and shot north.	11/21/10	43.7021217346,-98.0289077759	
10/12/10 06:07	Sioux Falls	SD	Light	10 minutes approx	Hovering flashing lights moving up	11/21/10	43.5453491211,-96.7312774658	
9/13/10 01:00	Sioux Falls	SD	Triangle	30 seconds	Triangle formation of lights moving quickly to the North, near Sioux Falls	11/21/10	43.5453491211,-96.7312774658	
9/2/10 12:30	Pierre	SD		20 seconds	Three objects with blue and red blinking lights were spotted traveling at massive speeds in zig zag patterns across the nite sky.	11/21/10	44.3689193726,-100.350151062	
9/2/10 12:30	Pierre	SD		20 seconds	Sighted:  Three quickly and silently moving unidentified objects with sporadically blinking red and blue lights were sighted flying thr	11/21/10	44.3689193726,-100.350151062	
8/25/10 22:00	Hudson	SD	Triangle	over 30 min.	this is a huge triangle shape ufo with one big light and three smaller lights	8/30/10	43.1288986206,-96.4541168213	
8/8/10 06:05	Huron	SD	Rectangle	10 sec	((HOAX??))  It was at a stand still like it was waiting at a stop sign!	8/24/10	44.3638496399,-98.2141418457	
8/6/10 02:00	Sioux Falls	SD	Fireball	20 minutes	Twelve orange balls of light moving over Sioux Falls, SD, at 2:00 hrs. on 08/06/10	8/24/10	43.5453491211,-96.7312774658	
8/1/10 00:05	Brandon	SD	Fireball	seven minutes	About 7-9 orange objects appeared in the sky to the East, moving Northeast; each faded out after about seven minutes.	8/24/10	43.5944099426,-96.5723495483	
7/4/10 22:30	Ipswich	SD	Light	1:30 min.	Bright, unexplained light	7/10/10	45.4438018799,-99.0293121338	
7/4/10 22:15	Ipswich	SD	Light	3 minutes	Orange light moving slowly without sound over Ipswich, SD	7/10/10	45.4438018799,-99.0293121338	
6/26/10 23:00	Pine Ridge	SD	Light	1 hour	Pine Ridge, South Dakota - Bright Orange Light, June, 26th, 2010	7/6/10	43.0263404846,-102.551689148	
6/23/10 02:30	Rosebud	SD	Circle	2 min	strange orange glow	6/23/10	43.2321090698,-100.853141785	
12/31/09 23:00	Aberdeen	SD	Formation	3-4 minutes	Orange balls shooting into the air and forming a check mark formation.	2/14/10	45.4590911865,-98.4873199463	
8/22/09 03:30	Rapid City	SD	Light	5 mins	There was 5 of us outside. I looked to the east and seen a bright white light. I thought it was a helicopter but heard nothing. I let m	12/12/09	44.081161499,-103.230888367	
7/22/09 23:00	Keystone	SD	Circle	45 sec	Strange Orb light in the sky.  ((NUFORC Note:  Sighting of ISS?  Please check .  PD))	8/5/09	43.893661499,-103.424598694	
7/5/09 23:00	Eagle Butte	SD	Rectangle	30 min.	7 Flaming flying object's the night before an important Native ceremony.	8/5/09	45.0003814697,-101.234771729	
6/22/09 21:16	Egan	SD	Oval	3 minutes	2 to 3 minute sighting of bright oval shaped object.moving south.	8/5/09	44.0009994507,-96.6494216919	
6/22/09 21:15	Egan	SD	Cigar	2 to 3 minutes	White cigar shaped object in sight for 2 to 3 minutes sighting duration. No noise, contralis, etc.	8/5/09	44.0009994507,-96.6494216919	
5/25/09 22:00	Rapid City	SD	Triangle	30 seconds	Loud humming triangular craft observed over Western South Dakota moving at high speed	6/9/09	44.081161499,-103.230888367	
5/18/09 22:00	Rapid City	SD	Triangle	4-5 minutes	Triangular object over Rapid City	6/9/09	44.081161499,-103.230888367	
5/17/09 23:30	Rapid City	SD	Unknown	5 seconds	Single, bright white light over Rapid City, SD.	6/9/09	44.081161499,-103.230888367	
5/15/09 00:00	Huron	SD	Light	15 min+	Red flashing lights that apeared randomly across the sky.	1/31/11	44.3638496399,-98.2141418457	
5/8/09 12:30	Brookings	SD	Other	8 seconds	Strange fast moving silent orbs seen over South Dakota skies.	5/12/09	44.3109512329,-96.7985534668	
3/19/09 12:22	Rapid City	SD	Light	20 seconds	Seemingly shooting star spilt into 4 objects, then joins back up into one object in the Black Hills.	3/19/09	44.081161499,-103.230888367	
11/2/08 16:30	Gregory	SD	Sphere	5-10 minutes	white sphere seen about 1/3 the size of a full moon, hovering then disappearing at high rate of speed	1/10/09	43.2267913818,-99.4331588745	
10/14/08 20:30	Rapid City	SD	Cigar	ongoing	North east sky.  ((NUFORC Note:  Star??  PD))	10/31/08	44.081161499,-103.230888367	
7/26/08 04:23	Sioux Falls	SD	Disk	15 minutes	Flashing Red and White Disc off in the Eastern sky on the southwestern side of Sioux Falls	8/12/08	43.5453491211,-96.7312774658	
7/15/08 22:00	Black Hills	SD	Unknown	approx. 15 min	Light seen in the Black Hills	3/19/09	44.4166488647,-103.708808899	
6/8/08 21:30	Sioux Falls	SD	Other	3-5 secs.	Glowing Orangish/Yellowish aircraft witnessed South from Sioux Falls S.D.	6/12/08	43.5453491211,-96.7312774658	
3/24/08 22:15	Sioux Falls	SD	Triangle	30 sec to 1 min	Large triangular delta wing looking 10 to 15 lights not bright dull and dim it moved very fast.	3/31/08	43.5453491211,-96.7312774658	
2/19/08 17:15	Sioux Falls	SD	Oval	20 minutes	Two oval objects appeared in the sky right where unmarked planes made an X con-trail!!  ((NUFORC Note:  Contrails??  PD))	3/4/08	43.5453491211,-96.7312774658	
1/31/08 00:00	Mission	SD	Disk	6 hours	Very scary experience that ever happened to me.	2/14/08	43.3058013916,-100.6534729	
11/19/07 06:30	Kennebec	SD	Triangle	5 minutes	Bright triangular white light with two much smaller circular lights that flew with it.  ((NUFORC Note:  Overflight of ISS.  PD))	11/28/07	43.9044189453,-99.8655395508	
10/29/07 08:30	Sioux Falls	SD	Oval	2 minutes	Black, oval, reflective object seen gliding through the daytime sky.	11/28/07	43.5453491211,-96.7312774658	
10/25/07 17:00	Rapid City, Sioux Falls	SD	Unknown		Object moving horizontally across South Dakota sky	11/28/07	43.8200836182,-96.7041015625	
10/25/07 08:00	Sioux Falls, SD	SD	Unknown	15 minutes	Ufo entered atmosphere and hovered over city.  videotaped by Keloland tv, Rapid City Web cam.  ((NUFORC Note:  Contrail.  PD))	11/28/07	
10/24/07 21:05		SD	Sphere	30sec	Several orbs over South Dakota farmland.	11/28/07	44.4361381531,-100.230491638	
10/24/07 20:25	Turkey Ridge	SD	Rectangle	3 minutes	5 bright orange square lights over Southeast SD	11/28/07	43.2430496216,-97.2893295288	
10/22/07 20:30	Stephan	SD	Light	2 hours	Bright orange lights dropping , what looked like flares?	11/28/07	44.2462806702,-99.4534683228	
10/22/07 20:00	Hurley (west of)	SD	Other	30 min	multiple bright lights and objects that would alternate and fade in and out in a row	11/28/07	43.2817611694,-97.0823135376	
10/20/07 21:30	Ft. Thompson	SD	Light	1week same time	weird lights over ft thompson sd	3/4/08	44.0758590698,-99.4379196167	
10/15/07 21:00	Mission	SD	Light	10 minutes	The night sky was clear and the stars were shining bright, when we saw this bright orange light.	3/4/08	43.3058013916,-100.6534729	
10/4/07 23:35	Rapid City	SD	Cigar	15 seconds	Silver cigar shape craft over north rapid	10/8/07	44.081161499,-103.230888367	
9/21/07 01:00	Rosebud	SD	Changing	About 1 minute	A Group of 9 Lights in 2 Rows flying south, slowing down then forming a V shape. A Low Humming Sound can be Heard.	11/21/10	43.2321090698,-100.853141785	
7/4/07 23:00	Vermillion	SD	Light	20 minutes	I saw these lightrs high in space every 5 minutes for about 20 minutes.	8/7/07	42.7866783142,-96.9280319214	
3/3/07 08:00	Oglala	SD	Unknown	10:00 min	" A bright light was seen in the sky and it came down and went over the house and disappeared, no sound"	8/7/07	43.1872291565,-102.737960815	
10/30/06 23:00	Rapid City	SD	Triangle	10 seconds	Triangular Dark Silent Craft Over Downtown Rapid City, South Dakota	12/7/06	44.081161499,-103.230888367	
