DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/17/11 21:30	Chelsea	AL	Oval	approx. 10 minutes	These were all a oval dark orange colored shapes that seem to be flowing in some sequence.  They appeared coming up from a mountain for	10/10/11	33.326081,-86.635496	
9/9/11 10:20	Double Springs	AL	Sphere	1 OR MORE HOURS	Strange bright spheres in the sky that sometimes changes colors and moves very fast and in strage directions.  ((Stars??  PD))	10/10/11	34.1497743,-87.402601	
9/1/11 21:00	Jacksonville	AL	Light	2 min	white light  ascends vertically	10/10/11	33.8083447,-85.754348	
8/23/11 05:00	Athens (Hwy 72 W)	AL	Light	approx. 10 min.	Huge, motionless, multicolored ball of light in tree lines.	10/10/11	34.7844835,-86.951378	
7/29/11 17:20	Hoover	AL	Other	2 minutes	Giant Mettalic/Silver almost transparent craft seen over Caldwell Mill Road and ValleyDale Rd	10/10/11	33.4053867,-86.8113782	
7/17/11 21:50	Mussel Shoals	AL	Sphere	Unknown	3 glowing red lights in a line.	8/7/11	32.6148571,-87.9716834	
7/6/11 18:45	Doha (Qatar)	AL	Sphere	5 minutes	Round object emitting steady white light seen flying over Doha,Qatar	7/17/11	25.2793155117,51.5224456787	
7/4/11 22:00	Huntsville	AL	Circle	1hr 15min	Red moving dot above Alabama on July 4th	8/7/11	34.7303688,-86.5861037	
7/4/11 21:30	Madison	AL	Light	1 Hour +	Object darted across the sky and would stop on a dime and dart in another direction	8/7/11	34.7099951,-86.751702	
7/2/11 21:32	Maylene	AL	Fireball	3 mins	Bright light from north to south and vanished	7/4/11	33.2034492,-86.861656	
7/2/11 03:00	Baldwin County	AL	Light	A few minutes	One moving white light with a smaller white light on top	7/4/11	30.7504667,-87.766658	
6/9/11 22:00	Monrovia	AL	Unknown	2 minutes	Lat night around 10:00 cst. Me and a friend were outside and I looked up and saw a very bright red and white light. I told my friend to	6/12/11	34.786479,-86.7138863	
5/21/11 19:50	Lincoln	AL	Unknown	10 seconds	Two planes flying very close together , one with a contrail , the other had no contrail and just dissipated in a few seconds .	5/29/11	33.5920388,-86.138167	
5/20/11 22:34	Mobile	AL	Triangle	5 minutes	I was on my way home from work (overtime) and i was on this long road with trees on both sides of the highway. The road was practically	5/29/11	30.6943566,-88.0430541	
5/20/11 21:40	Mussel Shoals	AL	Unknown	4 seconds	green brilliant light over colbert county alabama	5/29/11	32.6148571,-87.9716834	
5/6/11 22:10	Huntsville	AL	Triangle	4-5 sec.	"very aggressive''	5/12/11	34.7303688,-86.5861037	
4/13/11 22:30	Fort Payne	AL	Oval	20 minutes	Flashing white, blue ,red and green lights over Fort Payne AL.  ((NUFORC Note:  Possible sighting of Sirius??  PD))	5/2/11	34.4553717,-85.696916	
4/6/11 20:22	Athens-East Limestone	AL	Other	3 seconds	Fast moving light streak with impossible movement	5/2/11	34.7844835,-86.951378	
1/28/11 21:35	Harvest	AL	Unknown	3 minutes	Unidentified lights hovering above empty field in Harvest, Alabama	1/31/11	34.8556441,-86.7508323	
1/12/11 23:00	Mobile	AL	Flash	5 minutes	ufos playing in the night sky near the southern cross star cluster	1/31/11	30.6943566,-88.0430541	
12/27/10 17:00	Alabaster	AL	Circle	30 minutes	2 ufo's seen over mall in Alabaster, Alabama	1/5/11	33.2456227,-86.843085	
12/13/10 23:45	Eufaula	AL	Light	10 minutes	Observed a stationary blinking light for 10 minutes in the constellation Orion on the night of Dec. 13, 2010.	1/5/11	31.9102535,-85.15039	
12/5/10 21:00	Huntsvile	AL	Formation	20-30 MIN	5 blue lights seen, later chased by fighter jets.	1/5/11	12/1/10 08:20	Huntsville	AL	Other	15 seconds	My sister and I saw a 747 hovering in the air not moving forward or backward, just sitting still in the air about 1 mile away from the	1/5/11	34.7303688,-86.5861037	
11/18/10 23:00	Oxford	AL	Circle	5 MIN	IT LOOKED LIKE A BALL OF Fire ABOUT THE SIZE OF A SOFTBALL IT CAME DOWN AT A ANGEL THEN STRAITEND AND WHENT ABOUT 50 FEET UP AND OVER S	11/21/10	33.6092718,-85.8155198	
11/17/10 04:30	Gadsden	AL	Sphere	about 15 min	White sphere witnessed by my nieces and orange ball witnessed by all of us on same day.	7/4/11	34.0092703,-86.015175	
10/29/10 17:30	Bessemer	AL	Teardrop	Twenty Minutes	Four guys see five teardrop/candle light objects spreading a mist, turn into cones, becomes long slivers, and split in the sky.	11/21/10	33.3713996,-86.97077	
10/16/10 15:00	Cullman	AL	Sphere	10 minutes	Silver spheres that were above us, then disappeared and several minutes later a military jet was flying over the same space.	11/21/10	34.1802519,-86.841585	
10/14/10 18:30	Foley	AL	Cylinder	about 30 seconds	Triangular/Cyinder object with 2 headlights like a car in the sky sitting completely still and had no sound	11/21/10	30.3999064,-87.664295	
10/12/10 19:13	Daphne	AL	Chevron	45 sec	Chevron shape lights moving slowly, Daphne AL	11/21/10	30.6296718,-87.889063	
10/4/10 00:30	Birmingham	AL	Triangle	4 minutes	Black triangle materialized overhead and proceeded southbound	11/21/10	33.5206608,-86.80249	
8/12/10 22:30	Montgomery	AL	Unknown	One minute	High, fast, zig-zag/wobbly flight pattern ...	8/24/10	32.3668052,-86.2999689	
7/25/10 20:40	Troy to Montgomery	AL	Circle	1:20 min	Bright White Light that followed us!	7/28/10	7/24/10 22:00	Florence	AL	Light	20 MIN.	CALLED OUTSIDE BY NEIGHBORS TO LOOK AT STRANGE LIGHTS, RED GLOWING LIGHTS THAT SEEMED TO BE FLOATING , NO SOUND HEARD , PROBALLY 30  +	7/28/10	34.8301525,-87.665257	
7/21/10 10:46	Brantley	AL	Triangle	2 minutes	Large triangle shaped craft chased by a helicopter	7/28/10	31.066846,-87.0908027	
7/15/10 22:30	Citronelle	AL	Unknown	15 min	Light similar to star, disappeared, changed direction in matter of seconds, no sound, no blinking lights, and moved at atleast Mach 3	7/28/10	31.0957034,-88.24756	
7/14/10 01:00	Killen	AL	Cylinder	ongoing	One or two balls or cylinders of light drifting slowly west to east with intermittent quick movement up and down and back to the west	7/19/10	34.8600148,-87.528898	
7/11/10 13:00	Frankfort	AL	Chevron	15 seconds	chromed object in sky	7/19/10	34.5634272,-87.8422568	
7/10/10 22:45	Gadsden	AL	Light	4 seconds	I and  friend over the past week have seen 7 sighting of a bright light that apears in the western sky... ((NUFORC Note:  Venus?  PD))	7/19/10	34.0092703,-86.015175	
7/4/10 20:50	Huntsville	AL	Other	2 hours	Large orbs moving at a steady altitude and velocity	7/10/10	34.7303688,-86.5861037	
7/1/10 20:35	Ardmore	AL	Unknown	1-3 minutes	Two red lights and a blue light over highway 53 near Ardmore, AL.	7/6/10	34.9847243,-86.837351	
6/20/10 16:40	Anniston	AL	Oval	10 min	the smoothest moveing object ever memorizing sliver off white color once i set my eyes focous on it i couldnt do anything but look then	3/23/11	33.6598257,-85.8316318	
5/17/10 22:20	Grant	AL	Teardrop	10-15 mins	2 Teardrop shaped crafts sighted, one followed us down the mountain	6/3/10	34.5174542,-86.260298	
3/12/10 20:30	McKenzie	AL	Triangle	10 minutes	Large amber lights in upside down triangle formation in Mckenzie Alabama moving due south at unknown speed.	4/13/10	31.5428316,-86.724636	
1/2/10 21:10	Madison	AL	Triangle	2 minutes	Triangle shaped craft with orange-yellow lights that hovered very low near Redstone Arsenal in Madison, Al	1/5/11	34.7099951,-86.751702	
12/29/09 20:15	Pine Level	AL		few minutes	Five lights, moving as one, slowly at low altitude from west to east across US-231, with no normal aviation lighting.	2/14/10	32.5837436,-86.4655311	
12/7/09 23:00	Smiths Station	AL	Diamond	5 mins	paryt,saw ship,freaked out,didnt say a word.	4/13/10	32.5436667,-85.111518	
11/12/09 05:08	Deatsville	AL	Light	1 hour	Bright light over Prattville, AL flashing and moving over tree line	12/12/09	32.5866259,-86.391533	
11/10/09 01:00	Birmingham	AL	Triangle	2 min.	I saw a triangular shaped air craft that had three bright white lights and a dime one in the center of it.	12/12/09	33.5206608,-86.80249	
10/20/09 13:00	Danville	AL	Rectangle		rectangler object green flying slowly over a mountian close to danville,Al	4/13/10	34.4084298,-87.0866786	
10/15/09 23:00	Dothan	AL	Flash	20 minutes	blinking lights	2/14/10	31.2232313,-85.3904889	
10/15/09 18:00	Ozark	AL	Other	30 seconds	A large "chef's hat" shaped object in sky over US231 South.	11/21/10	31.4504584,-85.647206	
9/30/09 01:14	Huntsville	AL	Light	UNKNOWEN	Three Lights In A Vertical Formation Blinking To Another Light On Other Side Of The Sky With A White Light Blinking Red	12/12/09	34.7303688,-86.5861037	
9/16/09 21:54	Dothan	AL	Diamond	4 minutes	Diamond shaped silent object floating over Dothan, AL	12/12/09	31.2232313,-85.3904889	
9/15/09 21:30	Phenix City	AL	Unknown	2 seconds	Extremely fast light in low sky.	12/12/09	32.4625934,-85.023134	
9/14/09 19:40	Warrior	AL	Sphere	15 seconds	bright lime green sphere explodes and falls in Blount co. Alabama	12/12/09	32.8542953,-87.8375132	
9/9/09 17:05	Birmingham	AL	Other	15 minutes	Three Silver Boomerang shaped objects spotted in broad daylight	2/14/10	33.5206608,-86.80249	
9/9/09 08:17	Franklin County	AL	Chevron	2 minutes	Dark Chevron/Boomerang shaped object manouvering	12/12/09	32.455092,-85.806648	
8/31/09 05:00	Tuscaloosa	AL	Light	30 mins	At least 7 high speed lights seen over Tuscaloosa/Hillcrest, AL	12/12/09	33.2098407,-87.5691735	
8/23/09 01:00	Spanish Fort	AL	Light	1 hour	Four  balls of light spotted over Spanish Fort area.	8/27/09	30.6765438,-87.917845	
8/11/09 22:00	Phenix city	AL	Triangle	56 minutes	bright object hovering in sky during lightning storm Phenix city, Al	8/27/09	32.4625934,-85.023134	
8/4/09 23:00	McCalla	AL	Changing	1 hour	August 4, 2009, I spotted in the night sky what first thought was a star.  ((NUFORC Note:  I suspect a "twinkling" star.  PD))	8/5/09	33.348723,-87.0141602	
7/25/09 21:40	Semmes	AL	Light	Approx. 10 min.	I saw a star-sized light emerge over a tree-line approximately 30 ft from me (trees about 30-50 feet tall). ((NUFORC Note:  ISS.  PD))	8/5/09	30.7782432,-88.2591726	
7/23/09 07:00	Huntsville	AL			2 large ash circles on the ground	8/5/09	34.7303688,-86.5861037	
7/20/09 09:30	Auburn	AL	Light	1 minute	Two bright, non-moving lights in the sky, brighter than the stars.	8/5/09	32.6107509,-85.486893	
7/7/09 15:28	Satsuma	AL	Cigar	
	Long cigar-shaped object that is 2/3's dark & 1/3 bright, seen in eastern sky traveling WNW.	4/13/10	30.854897,-88.060502	
