DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 22:00	Snowmass VIllage	CO	Circle	3 minutes	Reddish, round object in Southeast sky in Snowmass Village, CO	10/10/11	39.2171857,-106.94164	
9/28/11 21:18	Evergreen	CO	Light	1 minute	Two bright lights that changed formation in NNE sky.	10/10/11	39.2222117,-106.3894706	
9/25/11 20:22	Dolores	CO	Light	4 minutes	Red light traveling north to south the reversed direction	10/10/11	37.6833287,-108.0059049	
9/24/11 14:25	Estes Park	CO	Sphere		Unknown round object and additional objects over Colorado Rockies	10/10/11	40.3838927,-105.50999	
9/19/11 21:00	Greeley	CO	Sphere	7-8 min	i saw an orange sphere in the sky about quarter the size of a full moon, it looked like fire glowing inside a ball.	10/10/11	40.4140727,-104.77056	
9/6/11 23:30	Fountain	CO	Unknown	5 minutes	5 Red light object floating over Fountain, CO	10/10/11	38.6860716,-104.69191	
9/4/11 00:00	Centennial	CO		1.5 hours	I was outside on my back patio when I looked toward the eastern sky and saw a massively bright light rising in altitude.  I asked my br	10/10/11	39.579155,-104.8769227	
9/1/11 21:00	Aurora	CO	Cylinder	2 min	hovering orange/yellow eliptical () with hazy lights over south denver metro	10/10/11	39.7294319,-104.8319195	
8/23/11 11:15	Denver	CO	Disk	2 minutes	Denver, Cheeseman Park large ship sighted...disapears within minutes	10/10/11	39.7391536,-104.9847034	
8/21/11 04:00	Denver	CO	Cylinder	20 Minutes	Cylinder, Spherical, and disc shaped craft making rapid to slow impossible movements, and vanishing.	8/21/11	39.7391536,-104.9847034	
8/18/11 14:30	Englewood	CO	Sphere	5 minutes	Small, shiney, slow-moving object west south of Denver, CO	8/21/11	39.6477653,-104.9877597	
8/11/11 12:35	Fort Collins	CO	Circle	5 minutes	White circler object following a commercial airliner.	10/10/11	40.5852602,-105.084423	
8/8/11 15:07	Commerce Cityy	CO	Oval	7 minutes	Very hard to see object over east Denver visible on clear days when it's not cloudy, consistently.	10/10/11	
8/8/11 04:50	Commerce City	CO	Light	1 min	White light changes direction and zooms into space	8/21/11	39.8834851,-104.79469	
8/5/11 20:50	Pueblo	CO	Triangle	4 seconds	Creme white triangular craft and streak behind it.	8/7/11	38.2544472,-104.609141	
8/5/11 20:50	Pueblo	CO	Triangle	4 seconds	Creme white triangular craft and streak behind it.	8/7/11	38.2544472,-104.609141	
8/3/11 05:15	Fort Collins	CO	Sphere	1 min	Fight blue fast moving light over Fort Collins.	8/7/11	40.5852602,-105.084423	
8/1/11 22:30	Arvada	CO	Circle	30 seconds	10:30  lighted circle over arvada colorado , middle  became   bright and objectfaded away	8/7/11	39.8027644,-105.0874842	
7/29/11 03:06	Fort Collins	CO	Changing	20 minutes	Three ships over Colorado	8/7/11	40.5852602,-105.084423	
7/28/11	Pueblo	CO	Diamond	37 minutes	Diamond shape hovering over mountains	8/7/11	38.2544472,-104.609141	
7/25/11 22:15	Broomfield	CO	Unknown	seconds	Small, bright orb in Broomfield.	8/7/11	39.9205411,-105.0866504	
7/24/11 21:15	Fruita	CO	Circle	4 Minutes	Huge, orange orbs over Colorado National Monument	8/7/11	39.1528981,-108.72524	
7/24/11 20:00	Hemet	CO	Fireball	20 minutes	((HOAX??))  ORANGE AND RED FIREBALL TURNING TO A CLEAR LIGHT THEN TO A BLACK BALL	8/7/11	
7/17/11 23:00	Arvada	CO	Unknown		ufo sightings above colorado 7/17/2001	8/7/11	39.8027644,-105.0874842	
7/15/11 15:00	Denver	CO	Triangle	3 minutes	White Triangle in Denver Colorado	7/17/11	39.7391536,-104.9847034	
7/7/11	Colorado Springs	CO	Triangle	6 Minutes	UFO over Powers and Omaha	7/17/11	38.8338816,-104.8213634	
7/4/11 21:35	Northglenn	CO	Other	2 minutes	Crafts Watching Fireworks with enormous crowd below	7/6/11	39.91045,-104.97808	
7/4/11 21:30	Colorado Springs	CO	Disk	3 minutes	The flying objects seem to appear and dissapear without leaving a trail in the long exposure photos.	7/17/11	38.8338816,-104.8213634	
7/4/11 21:15	Pueblo	CO	Circle	1 minute	Orange lights in Colorado skies	7/6/11	38.2544472,-104.609141	
7/3/11 08:03	Red Feather area	CO	Other	2 mins	This object was flying right to left an stoped an went back to the right after few seconds of wierd movements it continued to go left!!	7/17/11	40.76637,-105.4644355	
7/3/11 08:00	Denver (near)	CO	Light	2 mins	We were camping in Colorado in the mountains. On our way back Sunday July 3rd we were driving and my girlfriend said whats that?  I loo	7/17/11	39.7391536,-104.9847034	
7/2/11 21:40	Nucla	CO	Light	3 min	Red light over SW Colorado.	7/4/11	38.265957,-108.54948	
7/2/11 21:30	Englewood	CO	Disk	15 mins	I was in my car going south toward my home. I noticed glowing orange disks flying from south to north toward the western sky...there we	7/4/11	39.6477653,-104.9877597	
7/1/11 21:30	Gypsum	CO	Chevron	5 - 10 minutes	Chevron-shaped object in the sky above Eagle County, Colorado	7/4/11	39.6376182,-106.93767	
6/30/11 00:20	Fort Collins	CO	Flash	3 Seconds	Flash ball over Ft. Collins, Colorado	7/4/11	40.5852602,-105.084423	
6/28/11 11:40	Denver	CO	Sphere	5 minutes	Several spheres over Denver - Visibile with polarizing glasses and invisible to normal glasses.	7/4/11	39.7391536,-104.9847034	
6/26/11 23:00	Fort Collins	CO	Light	1 min.	Big Star looking craft ....like a planet.  ((NUFORC Note:  Sighting of International Space Station?	6/27/11	40.5852602,-105.084423	
6/23/11 22:19	Louisville	CO	Light	5 seconds	White light grew in size and disappeared.  ((NUFORC Note:  Possible flare from Iridium satellite??  PD))	6/27/11	39.977763,-105.1319296	
6/20/11 18:00	Lafayette	CO	Disk	1-2 minutes	Elliptical shaped grey metal  object moved west to east across summer sky around  6 to 7:30 p.m.	8/7/11	39.9935959,-105.0897058	
6/13/11 16:00	Durango	CO	Disk	unknown	Have photo of clear dome on UFO that I didn't see when taking the photo, only afterwards, and may have captured another craft as well.	6/20/11	37.2763911,-107.8789555	
6/11/11 17:35	Denver	CO	Other	1-2 minutes	Black and shiny object flying over Denver CO	6/12/11	39.7391536,-104.9847034	
6/10/11 21:00	Louisville	CO	Fireball	30 seconds or so	Yellow Light with trail of sparks arcing across the sky	6/12/11	39.977763,-105.1319296	
6/7/11 17:45	Westminster	CO	Circle	10 min	White orb, Colorado sky, 17:45pm	6/12/11	39.8366528,-105.0372046	
6/1/11	La Veta	CO	Rectangle	all day	((HOAX??) we were at my inlaws  house in south co for a few days we took some pics down there , and found spheres and odd shapes,	7/4/11	8.4,-74.5166667	
5/31/11 13:45	Chipita Park	CO	Oval	3 minutes + 1 minute	Driving west on Colorado Hy 24 near Chipita Park, Colorado. Talking on cell phone when me and my two kids noticed and aircraft to the n	6/3/11	38.9435421,-105.00237	
5/30/11 04:30	Eleven Mile State Park	CO	Light	5 min	Two bright white lights with a translucent veil. Traveling NE @ 4:30 am Eleven Mile State Park CO	6/3/11	
5/30/11 04:20	Pueblo West	CO	Triangle	10 min	two bright white lights with a translucent veil traveled from south west to North  horizon just before dawn.	6/12/11	38.3500016,-104.7227546	
5/30/11 04:15	Castle Pines	CO	Light	15 Minutes	One UFO with 2 lights and swirl of light below seen moving across the sky over Denver	6/3/11	39.477357,-104.900607	
5/27/11 20:00	Englewood	CO	Cigar	30-45 sec.	Blue & White flashing UFO over Englewood,CO 5/27/2011	5/29/11	39.6477653,-104.9877597	
5/26/11 22:10	Timnath	CO	Circle	00:00:15	3 circular translucent craft in triangle formation east to west over northern colorado	5/29/11	40.5276265,-104.98492	
5/22/11 22:00	Florissant	CO	Flash	5 Min.	Bright white lights seen in the SW sky from Florissant.	5/29/11	38.9458249,-105.2894358	
5/21/11 05:15	Littleton	CO	Disk	10 minutes	UFO found in background of picture in CO	5/29/11	39.613321,-105.0166498	
5/8/11 22:30	Bayfield	CO	Diamond	2 minutes	Diamond-shaped craft near Bayfield, CO.	5/12/11	37.2351097,-107.59463	
5/4/11 01:33	Colorado Springs	CO	Other	20 seconds	bullet shaped craft over the skies of colorado	5/12/11	38.8338816,-104.8213634	
5/2/11 21:56	Loveland	CO	Light	Driving	Light seen near Colorado air port	5/12/11	40.4177902,-105.06198	
4/28/11 21:35	Colorado Springs	CO	Light	45 seconds	A bright blue object crossing to the northwest.	5/2/11	38.8338816,-104.8213634	
4/22/11 22:00	Denver (west of)	CO	Other	20-30 min.	large bright flashing object with pertruding light ray underneath west of denver travelling south west.	5/2/11	39.7391536,-104.9847034	
4/17/11 21:00	Arvada	CO	Formation	15 mins	Looking west over the Rockies from my Arvada back yard, i saw 3 white lights flickering in a row. It occurred to me that from my angle	5/2/11	39.8027644,-105.0874842	
4/16/11 05:30	LIttleton	CO	Disk	2 seconds	I witnessed a shadowy disk in the afternoon sky and also have a photo of a the disk in early morning.	8/7/11	39.613321,-105.0166498	
4/16/11 00:00	Boulder	CO	Light	15 minutes	3 lights moved past a streak that was left by an airplane but the lights were very very far away.	5/2/11	40.0149856,-105.2705456	
4/1/11 21:00	Lakewood	CO	Triangle	20 sec	My husband, son and I were outside and my husband said what the **** is that? So my son and I stood up and I noticed a triangle shape o	5/12/11	39.7047095,-105.0813734	
3/20/11 22:00	Lafayette (near Denver)	CO	Formation	10 - 20 minutes	Three Lights Over Lafayette, CO Near Denver	3/23/11	39.9935959,-105.0897058	
3/20/11 20:45	Lafayette	CO	Light	15 minutes	Three strange red blinking lights seen in the night sky above Erie, CO	3/23/11	39.9935959,-105.0897058	
3/20/11 20:25	Broomfield	CO	Light	15 min	Broomfield	3/23/11	39.9205411,-105.0866504	
3/20/11 20:00	Lafayette	CO	Light	45 minutes	3 red lights in the shape of a trianlge over Lafayette CO for approximately 45 minutes	3/23/11	39.9935959,-105.0897058	
3/15/11 20:30	Dillon	CO	Fireball	2x 4 min	Campfire glow ascended and faded like a dim star in the distance easterly. Twice	3/23/11	39.6208418,-106.03836	
3/13/11 23:00	Aspen	CO	Fireball	?	Red. White, green flashing lights in the sky	3/23/11	39.1910983,-106.8175387	
2/28/11 20:00	Denver (east of; Weld Co.)	CO	Light	30 min	Bright Lights Low in Eastern Denver Skyline	3/10/11	39.7391536,-104.9847034	
2/25/11 21:30	Windsor	CO	Unknown	five minutes	((HOAX??))  Multicolor lights flashing in thick clump of trees.	3/10/11	39.2424885,-106.4866954	
2/20/11 01:00	Fort Collins	CO	Light	2-3 seconds	White-translucent light radiating from sky in a spherical shape. Only a few seconds long. No major electrical outages in the area	2/23/11	40.5852602,-105.084423	
