DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/5/11 06:45	Boise	ID	Unknown	one min	Bright Flashes	10/10/11	43.6069793701,-116.193412781	
10/1/11 15:00	Boise	ID	Unknown		UFO Gowen Field october 1st 2011	10/10/11	43.6069793701,-116.193412781	
9/29/11 01:26	Idaho Falls	ID	Triangle	3 min	triangel shape 3 light one one each coner greenish yellow made no noise at all moving very fast	10/10/11	43.4920005798,-112.041992188	
9/26/11 21:30	Boise	ID	Oval	hour	multi-color flashing lights with bright white in the middle. Hovering with no noise every night.  ((NUFORC Note:  Sirius?  PD))	10/10/11	43.6069793701,-116.193412781	
9/16/11 22:30	Boise	ID	Light	5 Minutes	Two seperate lights that flashed and then started moving towards one another.	10/10/11	43.6069793701,-116.193412781	
9/10/11 23:30	Twin Falls	ID	Fireball	1 min	Orange fiery-looking orb appeared to be floating at the treeline.	10/10/11	42.5561904907,-114.469612122	
9/10/11 05:20	Ammon	ID	Light	21 min	i saw this object in the east southeast sky, it had many colors and moved at great speed in all directions but seemed to stay close to	10/10/11	43.4676094055,-111.969276428	
9/5/11 00:30	Pocatello	ID	Light	15 minutes	Not quite a satellite.	10/10/11	42.874710083,-112.450569153	
8/30/11 22:30	Boise	ID	Light	5 Minutes	Reported light may not have been the ISS.	10/10/11	43.6069793701,-116.193412781	
8/30/11	Felt	ID	Triangle	5 minutes	A near duplicate sighting, eleven yr.s apart. same general location	10/10/11	43.8718109131,-111.18006897	
8/25/11 21:30	Nampa	ID	Cross	2 minutes	2  witness what appeared to be a low flying small aricraft completely on fire streak across the night sky.	10/10/11	43.582611084,-116.569633484	
8/25/11 21:30	Mountain Home	ID	Circle	30 sec	5 bright orange lights seen by 3+  Air Force personnel in Idaho	10/10/11	43.131439209,-115.69342041	
8/16/11 22:22	Boise	ID	Light	10 minutes	Bright Red UFO Seen Over Boise at End of Hyde Street Fair	10/10/11	43.6069793701,-116.193412781	
8/15/11 22:00	Boise	ID	Circle	5 minutes	high flying thing.  ((NUFORC Note:  ISS over-flight at 21:57 hrs.; SW to NE.  PD))	8/21/11	43.6069793701,-116.193412781	
8/12/11 15:00	Emmett	ID	Disk	6 mins	the craft was very shiny	8/21/11	43.8741188049,-116.500061035	
8/5/11 23:45	Cambridge	ID	Triangle	2 minutes	Triangle shaped figure flying low making no noise and flashing red and blue lights very fast	8/21/11	44.5721893311,-116.676048279	
8/4/11 22:00	Post Falls	ID	Light	25 seconds	Bright light on mountain top by cell tower- receded behind mountain after 25 sec	8/7/11	47.7115287781,-116.948097229	
8/3/11 22:49	Nampa	ID	Triangle	10 minutes	Two large amber glowing objects over Nampa/ Caldwell  Idaho	8/7/11	43.582611084,-116.569633484	
7/23/11 23:00	Lewiston	ID	Light	less than 30 seconds	Fast traveling bright light that appeared and disappeared in less than 30 seconds.	8/7/11	46.4186515808,-117.016662598	
7/17/11 13:00	Lewiston	ID	Triangle	20 minutes	Three delta, possibly "bat-shaped" objects observed flying due west between 10,000 and 25,000 feet at very high rate of speed.	8/7/11	46.4186515808,-117.016662598	
7/4/11 22:45	Star	ID	Fireball	2 mins	REDDISH-ORANGE anomoly appears in the sky about 25 degrees above horizon, moves, changes course, drifts overhead as if observing .	7/6/11	43.6919517517,-116.487968445	
7/3/11 22:50	Nampa	ID	Fireball	2 minutes X2	Two very bright red objects travelling with missile-like speed across the entire night sky NNW to SSE	7/4/11	43.582611084,-116.569633484	
6/25/11 16:40	Carey (15 miles east of; on Hwy 20)	ID	Rectangle	3 minutes	Rectangular object observed for three minutes, then it instantly vanished.	7/4/11	43.3134117126,-113.945877075	
6/25/11 01:00	Stanley	ID	Light	20 minutes	3 alternating color, fast moving lights over Stanley Lake in Stanley, Idaho.	7/4/11	44.2171707153,-114.936439514	
5/10/11 00:07	Boise	ID	Unknown	2 minutes	Stationary flashing lights in SE sky from Boise, Idaho	5/12/11	43.6069793701,-116.193412781	
5/5/11 22:00	Nampa	ID	Triangle	5 min+or-	I was taking my evening walk in a westernly direction when I noticed a very bright light in the northwest. The light was many times bri	5/29/11	43.582611084,-116.569633484	
5/5/11 09:15	Lewiston	ID	Fireball	4 minutes	3 fireballs around lewiston idaho	5/12/11	46.4186515808,-117.016662598	
5/1/11 00:55	Pocatello	ID	Light	three minutes	I saw several bright red lights in the WNW sky that didn't blink and faded in less than three minutes from the time I first spotted the	5/2/11	42.874710083,-112.450569153	
4/30/11 22:30	Nampa	ID	Chevron	+/- 5ive min.	Lights many times brighter than the backgroung of stars!	5/2/11	43.582611084,-116.569633484	
4/22/11 23:00	Burley	ID	Light	3 minutes	Mystery disc seen from 50 or less feet away zooms off!!	5/29/11	42.5348587036,-113.793258667	
4/9/11 05:00	Coeur d'Alene	ID	Other	30 sec	object stood stationary but moved great distances in seconds and stood stationary again	5/2/11	47.6718597412,-116.776161194	
3/20/11 19:00	Chicago	ID	Cigar	2 mins	It was the vapor trail that made a ring in the sky.	3/23/11	43.5306587219,-116.542236328	
3/19/11 22:30	Boise	ID	Oval	3-4 minutes	Amber light hoovering in the west sky	4/3/11	43.6069793701,-116.193412781	
3/1/11 05:15	Burley	ID	Fireball	30 minutes	Bright fireball in sky 15 miles away hovering in sky for 30 minutes until sun rises.	5/29/11	42.5348587036,-113.793258667	
1/17/11 18:32	Coeur d' Alene	ID	Circle	5-25 seconds	Circle moving fast left trail of light about twice the size of the full moon.	1/31/11	44.3890686035,-114.659370422	
1/15/11 01:30	Shoshone	ID	Light	20 minutes	Saw strange light going in circles, then it shot up to space.	3/10/11	42.9361000061,-114.408660889	
1/8/11 03:00	Glenns Ferry	ID	Light	every morning	Is this a enormous star or a planet?	1/31/11	42.9546089172,-115.299919128	
11/14/10 23:00	Rathdrum Prairie	ID	Triangle	45 sec - 1 min	triangle shaped object with 3 bright lights and 1 dull pulsating light underneath the craft it moved silently	11/21/10	44.3890686035,-114.659370422	
10/20/10 19:00	Boise	ID	Fireball	5 minutes	Fireball changes directions a stops in the sky.	11/21/10	43.6069793701,-116.193412781	
10/2/10 00:00	Boise	ID	Light	1 hr	Im sitting here looking south west at a bright light that is the only thing in the sky, not a single star can be seen from the lights o	11/21/10	43.6069793701,-116.193412781	
9/3/10 10:45	Hayden	ID	Triangle	10 sec	three dim lights in the sky.	11/21/10	47.7572288513,-116.791267395	
9/3/10 10:20	Hayden Lake	ID	Triangle	about 30seconds	Boomerand shaped lights in the sky and where moving fast in circles.	11/21/10	47.765789032,-116.757972717	
8/25/10 22:39	Caldwell	ID	Light	5 min.	bright blue light	8/30/10	43.6674385071,-116.692588806	
8/24/10 16:05	Garden City	ID	Flash	4 minutes	Quick Flashing Object Ascends Over Fair Grounds And Pulses Motionless In Sky	8/24/10	43.6602706909,-116.279747009	
8/24/10 08:00	Boise	ID	Disk	2 minutes	Multiple sightings of very fast, bright, disk shaped flying things.	8/30/10	43.6069793701,-116.193412781	
8/20/10 13:00	Nampa	ID	Cigar	5 minutes	cigar shaped UFO. Mediam grey.  no noise. large. elevation about the hight of normal helicopter flying overhead.	11/21/10	43.582611084,-116.569633484	
8/15/10 22:00	Caldwell	ID	Cylinder	3 seconds	UFO Rods have been filmed in daylight--Now read about how to see them at night.	11/21/10	43.6674385071,-116.692588806	
8/12/10 12:30	Boise	ID	Triangle	40 minutes and counting	There are recurring crafts hovering and flying over boise that are not of this world.	8/24/10	43.6069793701,-116.193412781	
7/20/10 21:15	Burley	ID	Disk	5 seconds	Disc shaped UFO sighted over Idaho	8/24/10	42.5348587036,-113.793258667	
7/17/10 23:00	Bruneau/Mountain Home (between)	ID	Triangle	1-2 Minutes on and off	3 Lights, 25 Ft. Off The Ground Forming A Triangle Flash In And Out Twice & Then From Afar Coyotes Howl At It For 4-5 Minutes	7/28/10	44.3890686035,-114.659370422	
7/17/10 21:00	Mountain Home (observatory)	ID		5-10 seconds	Telephoned Report:  Three witnesses observe three distinctly yellow lights maneuvering around astronomical observatory.	7/19/10	43.131439209,-115.69342041	
7/13/10 10:30	Victor	ID	Changing	5-10 minutes	Rod shaped appearance that in photos look more like double lights during daytime.	8/30/10	43.5999794006,-111.111366272	
7/12/10 22:00	Cambridge	ID	Sphere	2+ hours	A second sighting in a small rural Idaho town.	7/19/10	44.5721893311,-116.676048279	
7/11/10 22:45	Boise	ID	Other	20 seconds	Large translucent orange/gold v-shaped object flying from wast to west in straight line	7/19/10	43.6069793701,-116.193412781	
7/10/10 22:00	Moore	ID	Light	1 hr.	ALIEN LANDING OF UNKNOW ORIGIN TO GO ALONG WITH STRANGE BEHAVIOR OF WILD ANIMALS AND PEOPLE IN THE AREA  500 Lights On Object0: Yes	11/21/10	43.7360115051,-113.366462708	
7/8/10 23:00	Cambridge	ID	Circle	15-20 min	A bright light spinning and weaving over a small town in Idaho.	7/10/10	44.5721893311,-116.676048279	
7/3/10 22:00	Nordman	ID	Light	1 hour	Strange slow moving orange light traveling from west to east then turned abruptly and disappeared.	7/6/10	48.6318016052,-116.944869995	
6/27/10 02:55	Pocatello	ID	Light		a light moving fairly fast.	7/6/10	42.874710083,-112.450569153	
5/11/10 22:37	Boise	ID	Light	minute	sporadically fast moving bright light too low to be a satellite and to high to be a plane fades into the stars after a minute	5/12/10	43.6069793701,-116.193412781	
5/8/10 12:45	Fort Hall	ID	Disk	1to 2 minutes	silver disk hovering above house	6/3/10	43.0298690796,-112.437149048	
5/1/10 06:00	Fruitland	ID	Triangle	5 minutes	Triangular shaped something hovering over a dairy farm.	2/18/11	44.0088806152,-116.918609619	
4/20/10 23:59	Post Falls	ID	Light	In filed by my house	It was looking at my house, in tryed to act fast for us to not see it back.	5/12/10	47.7115287781,-116.948097229	
3/18/10 21:00	Meridian	ID	Fireball	1 hour	looks like hundreds of lights in a circle and is moving slowly across the sky. It changes form and does not look like anything that is	4/13/10	43.611000061,-116.392227173	
2/2/10 20:00	Wendell	ID	Light	20 min approx.	Amber lights appearing in the skies over Wendell, ID 8:00PM 02/02/2010	2/14/10	42.775428772,-114.704772949	
2/1/10 21:00	Wendell	ID	Light	20 minutes	Amber lights moving in a diagnal angle seen south of wendell idaho	2/14/10	42.775428772,-114.704772949	
1/22/10 04:40	Boise	ID	Changing	20-25 seconds	33' Wide White Object seen over Boise, ID, emitting Screeching/Shrill Noise (01/22/10)	2/14/10	43.6069793701,-116.193412781	
1/16/10 19:30	Boise	ID	Changing	2 minutes	Red Light Above Boise Descends at Tremendous Speed, Stops to Hover, Emits Radiation - All filmed by Observer 01/16/2010	2/14/10	43.6069793701,-116.193412781	
12/30/09 21:04	Boise	ID	Light	10 seconds	Bright white light moving downward south of Boise then leveling off.	2/14/10	43.6069793701,-116.193412781	
10/5/09 20:10	Eagle	ID	Fireball	4 minutes	A bright fire ball light hovering in the lower sky over Boise Eagle  area.	12/12/09	43.6951904297,-116.350166321	
9/23/09 01:00	Meridian	ID	Disk	2 Hrs	Over 2 hours long UFO hoovers nears Boise, Idaho skys.	12/12/09	43.611000061,-116.392227173	
9/18/09 23:00	Boise	ID	Light	20 minutes	Red, slowly pulsating light, that hovered in the north for twenty minutes.	12/12/09	43.6069793701,-116.193412781	
9/18/09 21:50	Boise	ID	Light	15:00	Bright red light in sky moving very slow and at a random pace.	12/12/09	43.6069793701,-116.193412781	
9/18/09 21:10	Boise	ID	Circle	30 minutes	Circle of intensely bright red lights that initially spewed out falling lights and hovered for a long time before receding slowing up.	12/12/09	43.6069793701,-116.193412781	
9/18/09 21:00	Boise	ID	Light	20 Mins	A red light North of Boise, erratic/still, movment!	12/12/09	43.6069793701,-116.193412781	
9/15/09 21:37	Post Falls	ID	Light	5 minuates	Unkn object following aircraft	12/12/09	47.7115287781,-116.948097229	
9/10/09 21:30	Emmett	ID	Circle	60 sec	Light looked like a star but bigger and brighter went across the sky semi fast got dimmer. ((NUFORC Note:  Satellite??  PD))	12/12/09	43.8741188049,-116.500061035	
7/21/09 22:00	Greenleaf	ID	Light	30 seconds	saw light in the southwestern sky of Idaho around the area of greenleaf light appeared in the eastern sky then disappeared	8/5/09	43.6697616577,-116.815246582	
7/20/09 23:14	Boise	ID	Light	10 Seconds	Very bright object aprox 1000ft agl, steady west to east course, suddenly dims to complete dark.  Similar to shooting star fadeout, yet	8/5/09	43.6069793701,-116.193412781	
7/4/09 21:49	Plummer	ID	Rectangle	1 minute 45 seconds	Bright orange object over Northern Idaho.	8/5/09	47.3351898193,-116.88609314	
6/29/09 23:00	Midvale	ID	Fireball	3-4 minutes	Large orange fireball, turning to orange light heading North to South in central Idaho sky, hovering at times then disappearing.	8/5/09	44.4718589783,-116.735237122	
6/20/09 10:00	Workey	ID	Other	2 minutes	A bright glowing hour glass shaped object  which was stationary in the night sky	8/5/09	47.40076828,-116.919487	
6/12/09 00:47	Hayden	ID	Triangle	5 minutes	TRIANGULAR FLY BY AGAIN... 3 WHITE FLASHING LIGHTS ONE PULSING RED LIGHT	8/5/09	47.7572288513,-116.791267395	
6/11/09 00:30	Hayden	ID	Triangle	3 Minutes	TRIANGULAR OBJECT WITH WHITE AND RED FLASHING LIGHTS	8/5/09	47.7572288513,-116.791267395	
6/3/09 23:25	Hayden	ID	Formation	25 minutes	3 CONCURRENT SIGHTINGS WITHIN 25 MINUTES OF EACH OTHER:  At 23:25 on 6/03/09 my girlfriend and I were stargazing when I noticed what I	6/9/09	47.7572288513,-116.791267395	
6/3/09 23:25	Hayden	ID	Other	4 hours	20 Glowing Boomerang shaped objects during 5 sightings over 4 hours	8/5/09	47.7572288513,-116.791267395	
