DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/8/11 22:30	Munith	MI	Light	1 hour	Orange light and a blue light.	10/10/11	42.3940505981,-84.2511520386	
10/8/11 20:12	Onaway	MI	Light	6 seconds	The fastest object we have ever seen other than a meteor!	10/10/11	45.3576583862,-84.2272186279	
10/7/11 23:43	Fenton	MI	Cigar	8-10 seconds	6 cigar-shapes dash across the sky	10/10/11	42.7936897278,-83.7052612305	
10/7/11 22:00	Burton	MI	Light	2 nights	Unknown ball of light that has smaller ball of light going around it for two nights straight!	10/10/11	42.9684715271,-83.6330795288	
10/5/11 19:30	Garden City	MI	Fireball	4 min.	Large bright orange/red "fireball" that faded and exposed a black flat object	10/10/11	42.3295402527,-83.3311004639	
10/4/11 20:05	West Bloomfield	MI	Other	3-4 seconds	I saw 2 connected glowing white lights (globes) moving upwards and then they just disappeared.	10/10/11	42.5586509705,-83.3727111816	
10/3/11 22:30	Sault Sainte Marie	MI	Changing	Hour	Color changing orb of light moving in multiple directions, slightly changing shape, dimming and brightening.	10/10/11	46.4923095703,-84.3517227173	
10/3/11 21:42	Livonia	MI	Rectangle	1- 2 minutes	Red/Orange Light rotating over Livonia/Plymouth, MI.	10/10/11	42.3965797424,-83.3695678711	
10/2/11 18:00	Battle Creek	MI	Circle	5 minutes	Bright white circular craft flying fast above the clouds until it disappeared.	10/10/11	42.3161697388,-85.1802215576	
9/27/11 03:45	Holland	MI	Cylinder	2 min	Cylinder shape, 2 bright lights on bottom, one on each side of craft as well as one in front, foggy skies, craft aprox 15ft from roof.	10/10/11	42.7730903625,-86.1017532349	
9/24/11 15:00	Newaygo	MI	Cigar	5 min.	Today I saw a craft that I thought may be a plane. Long silver shape as you would see when a plane is side ways. I did not see a tail s	10/10/11	43.4202308655,-85.7992477417	
9/24/11 08:30	Wyandotte	MI	Fireball	5 min	red fireball object saucer like flying object	10/10/11	42.2016105652,-83.1500015259	
9/23/11 18:55	Ann Arbor/Saline	MI	Other	5 seconds	Grey hourglass-like shaped object hovering, then disappeared behind clouds.	10/10/11	42.2133636475,-83.7972793579	
9/23/11 11:15	Grand Rapids	MI	Diamond	1 minute	7 Diamond-shaped objects over Grand Rapids	10/10/11	42.9664115906,-85.6711807251	
9/21/11 23:30	Grand Rapids	MI	Oval	
	Light - Oval	10/10/11	42.9664115906,-85.6711807251	
9/18/11 05:30	Delton	MI	Unknown	5:30-6:00	At 530 am i observed a flickering starlike light slowly moving around a small area in the sky. it was far away and very unfamiliar.	10/10/11	42.4993896484,-85.4081192017	
9/17/11 21:00	Leonard	MI	Formation	10 minutes	Formations of orange balls moving steadly from the northeast horizen to the west overhead then dissapering in the exact same spot.	10/10/11	42.8653717041,-83.1415405273	
9/16/11 10:00	Macinaw	MI	Sphere	10 min.	Orange 4 lights hovering north by northwest Macinaw Island	10/10/11	45.7806816101,-84.7255477905	
9/15/11 20:00	East Lansing	MI	Fireball	?	4 orange fireballs in a row, sitting in the sky, close to ground, disappeared then reappeared.	10/10/11	42.7374992371,-84.4837799072	
9/12/11 02:55	Dowagiac	MI	Diamond	Over 1/2 hour and still g	I am shaking right now! I pulled up with the jeep top down and say a diamond in the sky, then I noticed greenblighys flaking to each o	10/10/11	41.9837303162,-86.1095581055	
9/11/11 22:45	Detroit	MI	Formation	2 minutes	LIGHTED OBJECTS SIGHTED OVER DETROIT I75 HIGHWAY	10/10/11	42.3316802979,-83.0479202271	
9/11/11 21:30	Canton	MI	Light	4 minutes	Canton, MI - Large - Brilliant -  Orange/Amber Star-Like U.F.O.S - shrink and dim down / then disappear !!!	10/10/11	42.3104400635,-83.4873123169	
9/11/11 21:15	Melvindale	MI	Diamond	8 minutes	These objects were seen on two consecutive nights 9-10/9-11-2011 by four people each night. They were filmed by two different HD video	10/10/11	42.2820701599,-83.1770706177	
9/11/11 21:15	Clinton Twp.	MI	Other	5 mins.	7-10 red/orange glowing objects,silent, moving slowly south to north, angled up and moved out of view.	10/10/11	42.0653381348,-83.9447631836	
9/10/11 21:00	Allendale	MI	Other	15 min	Multiable orange globes hovering	10/10/11	42.9722290039,-85.9431610107	
9/10/11 09:45	Hartland	MI	Fireball	15 minutes	Large Glowing Orange flying objects in sky flying in pairs,purposeful movement, very bright	10/10/11	42.6550712585,-83.7536697388	
9/8/11 20:30	Canton	MI	Triangle	5 min	Tringular craft with bright white lights on the corners in S. Canton.	10/10/11	42.3104400635,-83.4873123169	
9/3/11 22:15	Richland	MI	Circle	half hour	Saw many circular obs of light taking off from the Battle Creek, MI are and hovering moving upwards and sideways then disappearing.	10/10/11	42.377571106,-85.4552764893	
8/31/11 10:30	Trenton	MI	Fireball	2 minutes	2 orange orbs.Thought they were flying Chinese lanterns at first but definitely not.	10/10/11	42.1405105591,-83.1794586182	
8/30/11 03:15	Grand Rapids	MI	Triangle	15 minutes	Bright non-blinking lights in a v shape that suddenly dropped from the sky	10/10/11	42.9664115906,-85.6711807251	
8/29/11 22:30	Reading	MI	Light	
	Bright light moving in a zigzag/weaving pattern NE in Reading, MI flying NE then disappeared slowly (seconds) into space.	10/10/11	41.8406906128,-84.7479095459	
8/29/11 22:00	Oscoda	MI	Light	10 minutes	Light over Oscoda?	10/10/11	44.4218788147,-83.3302612305	
