DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/3/11 02:35	Miles City	MT	Formation	7 minutes	3 red objects bright moving then 3 white disperse from within	10/10/11	46.4067115784,-105.84866333	
9/3/11 22:00	Corvallis	MT	Sphere	not applicable	Metal sphere	10/10/11	46.3136901855,-114.113639832	
9/1/11 10:25	Wolf Creek (near)	MT	Sphere	short	Light brown sphere found in the background of a photograph taken in the Montana mountains while on horseback.	10/10/11	47.0063591003,-112.07144928	
8/25/11 01:00	Winnett	MT	Flash	4 seconds	It was like a helicopter spotlight but soundless then winked out and then turned into an orange light and unnaturally sped to the right	10/10/11	47.004119873,-108.352630615	
8/23/11 22:00	Ten Lakes scenic area; border (Canada)	MT	Light	30 min	star like light in sky flying side to side	10/10/11	47.0335197449,-109.645141602	
8/22/11 22:00	Whitefish	MT	Triangle	4-5 minutes	Series of red/orange objects seen over Whitefish, MT	10/10/11	48.410610199,-114.337471008	
8/22/11 08:45	Livingston	MT	Light	4 minutes	2-3 very bright lights above Livingston in broad daylight	10/10/11	45.662109375,-110.561721802	
8/19/11 02:19	Kalispell	MT	Other	45 Minutes	Beam of infrared light terminating in a circle above the ground.	10/10/11	48.2016296387,-114.314903259	
8/14/11 20:45	Bozeman/Clyde park	MT	Light	5-7 min.	Bright white lite that made turns and speeds that an aircraft could not do.	8/21/11	45.6920318604,-111.058052063	
8/14/11 01:00	Hays	MT	Oval	25 Mins.	Hello, my UFO sighting occurred around 1:00AM at 8/14/11, and lasted for about 25 mins. Well, I was just about to fall asleep on the co	8/21/11	47.9906311035,-108.69418335	
8/14/11 00:00	Billings	MT	Light	2-4minutes	Dogs woke me up close to midnight needing to be let out for a nature call. I went out on back deck facing east and sat to relax. I look	10/10/11	45.7836608887,-108.505523682	
8/12/11 21:55	Whitefish	MT	Fireball	5+- minutes	4 orange red fireballs hovered in front of Big Mountain and 3 hovered in a triangle formation over the mountain	8/21/11	48.410610199,-114.337471008	
8/10/11 19:34	Billings	MT	Oval	1 sec	Canon A3100IS Captures an Unknown Black Blur During Thunderstorm.  ((NUFORC Note:  We suspect a bird, caught in flight.  PD))	8/21/11	45.7836608887,-108.505523682	
7/24/11 00:02	Billings	MT	Fireball	2 minutes	Orange Red Fireball/Craft over Billings Montana. 2nd sighting this month.	8/7/11	45.7836608887,-108.505523682	
7/16/11 00:00	Three Forks	MT	Fireball	3 minutes	Orange hovering crafts	7/17/11	45.8915290833,-111.552360535	
7/16/11 12:00	Billings/Laurel	MT	Rectangle	20 minutes	Rectangular white object hovers, flashed lights, disappears over Billings/ Laurel Montana, mid day, 7-16-11.	7/17/11	47.0335197449,-109.645141602	
7/13/11 03:00	Bozeman	MT	Unknown	2 hours	That star is acting like a foosball!  ((NUFORC Note:  Possible sighting of a bright star or planet??  PD))	7/17/11	45.6793212891,-111.033180237	
7/10/11 23:15	Wolf Point	MT	Light	3-4 minutes	Orange-reddish lighs-bright lights pulsating coming from west then disappearing	7/17/11	48.0907592773,-105.640968323	
7/10/11 02:05	Missoula	MT	Light	1- 1.5 hr	Flashing green, red, blue, and white lights hovering above and scanning valleys north of Missoula. ((NUFORC Note:  Star??  PD))	7/17/11	46.8727798462,-113.996231079	
7/4/11 23:15	Wolf Point	MT	Disk	10 Mins	Orange red ball of light that flashes orange and red	7/6/11	48.0907592773,-105.640968323	
7/4/11 22:45	Wolf Point	MT	Fireball	3 mins	Orange red ball of light or orb.	7/6/11	48.0907592773,-105.640968323	
7/4/11 22:15	Billings	MT	Light	1 Hour	6 sightings of red-orange crafts over Billings Montana July 4th 2011 10pm to 11pm	8/7/11	45.7836608887,-108.505523682	
7/3/11 23:30	Butte	MT	Fireball	5 min	3 orange balls of light flew over butte 5 minutes apart	7/6/11	46.001750946,-112.520889282	
7/3/11 22:20	Butte	MT	Sphere	2 to 3 min	Sphere/fireball seen during fireworks	7/17/11	46.001750946,-112.520889282	
7/2/11 18:00	St. Mary	MT	Oval	15 seconds	Seven oval shapes at very high altitude in clear blue sky. Circling around one another, as if a flock of birds but no wings.  White bot	7/17/11	48.7464981079,-113.428787231	
6/15/11 19:00	Great Falls	MT	Chevron	about 10 sec	Boomerang shaped object seen in daylight at Great Falls, Montana.	6/20/11	47.5071411133,-111.30606842	
5/26/11 01:00	Augusta	MT	Light	1-2 minutes	ICBM Sites Augusta, Montana, 1:00 A.M.  brilliant lights, greenish red orb, with no contrails on vanishing.	5/29/11	47.4907989502,-112.393798828	
4/23/11 01:00	Whitefish	MT	Triangle	1 minute	Triangle ufo whitefish montana	5/29/11	48.410610199,-114.337471008	
3/26/11 18:00	Billings	MT	Other	3-5 minutes	Silver oblong object in the sky, turned to a light and back again.	4/3/11	45.7836608887,-108.505523682	
3/15/11 12:00	Glasgow	MT	Circle	3-4 days	((HOAX))  Alien dog fight.	5/29/11	48.195098877,-106.63684082	
3/10/11 00:15	Laurel	MT	Triangle		Red lights over Laurel Montana	3/23/11	45.6697616577,-108.771629333	
3/5/11 20:00	Missoula	MT	Teardrop		Orange and firery ball above Missoula MT	3/10/11	46.8727798462,-113.996231079	
2/27/11 21:00	Bozeman/Belgrade (between)	MT	Light	5 minutes	Multiple ember colored lights north of Bozeman, MT	3/10/11	45.5921401978,-111.199302673	
1/12/11 07:35	Crow Agency	MT	Light	one minute	driving to work spotted bright light in the sky...	1/31/11	45.6015815735,-107.461036682	
12/24/10 09:00	Red Lodge	MT	Cylinder	Current++	Color lights seen flashing in the sky for a 4th night, Red Lodge, MT, and it aint Santa Claus. 12/24/10  ((NUFORC Note:  Sirius??  PD))	1/5/11	45.1864204407,-109.246986389	
12/6/10 13:00	Condon	MT	Light	1-2 sec.	Unexplained bright light traverses back in tree line along a logging trail	1/5/11	47.5314102173,-113.713951111	
11/19/10 21:00	Missoula	MT	Triangle	5 minutes	I saw a strange object that was just hovering, appeared to be a plane but planes don't hover.	1/5/11	46.8727798462,-113.996231079	
11/17/10 11:00	Great Falls	MT	Triangle	1 minute	flew low really low over the hotel i was walking my dog and heard a low click noise im an airfraft mechanic so i know its nothing ive s	11/21/10	47.5071411133,-111.30606842	
11/4/10 00:00	Billings-Lockwood	MT	Disk	2 min	It was metalic in color, with 4 bright spot lights, in a cross shape with a bright red light in the center, it was just hoovering.	11/21/10	45.7836608887,-108.505523682	
10/20/10 21:00	Billings	MT	Light	15 mins	Light moving slowly in a circle outside Billings	11/21/10	45.7836608887,-108.505523682	
10/9/10 01:20	Butte	MT	Formation	Approximately 30 Minutes;	Six points of light seen in sky over Butte, MT.	11/21/10	46.001750946,-112.520889282	
8/26/10 13:55	Glacier National Park	MT	Cylinder	ongoing now	its right there now on Mt. Apgar webcam for Glacier National Park, National Park Service, right in the middle of the screen, cylindrica	8/30/10	48.6174697876,-113.861831665	
8/18/10 00:15	White Sulphur Springs	MT	Egg	30 minutes	very bright egg, eye shaped object seen over Castle Mountains	8/24/10	46.5478401184,-110.906326294	
8/16/10 22:16	Helena	MT	Fireball	3 minutes	Fiery orange-red ball slowly poassed over the valley.	8/21/11	46.5897598267,-112.021202087	
8/15/10 20:45	Conrad	MT	Sphere	20 minutes	UFO seen over Conrad , Montana 8-15-2010.  ((NUFORC Note:  We believe that the photo is of a high-altitude contrail.  PD))	8/24/10	48.1734695435,-111.944236755	
7/25/10 22:30	Bozeman/Belgrade (between)	MT	Sphere	5 seconds?	2nd incident since July 16th, slow streaking object on the 25th, erratic movement on the 16th.	7/28/10	45.5921401978,-111.199302673	
7/23/10 12:30	Polson	MT	Cigar	10 seconds	Unusual looking metallic craft over the National Bison Range in Montana.	8/21/11	47.6938781738,-114.163391113	
7/17/10 15:00	Polson	MT		10	Formations were made into some wheat fields.  ((NUFORC Note:  Photos of fields indicate to us normal "lodging" of grain.  PD))	7/19/10	47.6938781738,-114.163391113	
7/17/10 03:30	Columbia Falls	MT	Light	10 minutes	3 lights in the sky	7/19/10	48.3705482483,-114.181907654	
7/9/10 15:38	Wolf Creek	MT	Disk	3 Hrs	Then saw a light in the sky focused on it and it appeared to be some kind of ship.  ((NUFORC Note:  Venus??  PD))	7/19/10	47.0063591003,-112.07144928	
7/4/10 21:45	Great Falls	MT	Unknown	2 minutes	Craft with large yellow/reddish color light observed over Great Falls MT on July 4th, 2010	7/10/10	47.5071411133,-111.30606842	
7/1/10 22:30	Missoula	MT	Fireball	3 minutes	Glowing orange fireball over Missoula, 10:30 p.m., July 1.	7/6/10	46.8727798462,-113.996231079	
6/30/10 12:00	Glacier National Park (??)	MT			unknown footage	5/29/11	48.6174697876,-113.861831665	
