DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/7/11 21:00	Topsail Beach	NC	Circle	3 minutes	Glowing orange ball about 5' diameter observed at Topsail beach at roof top level..changed shape .elevated, then left	10/10/11	34.3669815063,-77.628112793	
10/1/11 20:00	Wilmington	NC	Triangle	2-5 minutes	Triangle... very dim lights, no noise, around all outer edges, moving slowly, very low... went out of sight over UNCW campus	10/10/11	34.2349700928,-77.9459915161	
9/28/11 21:55	Bunn	NC	Circle	1 second	Orange ball of light in sky	10/10/11	35.9625701904,-78.2551422119	
9/27/11 21:45	Gastonia	NC	Fireball	5 sec	very low in sky, humming sound, not very fast, color of fire ball with bobbing top on it	10/10/11	35.2621994019,-81.1864013672	
9/17/11 02:23	Clayton	NC	Unknown	30 seconds	Power out green light power out green light. loud noise	10/10/11	35.6503601074,-78.4563522339	
9/15/11 19:15	Cary	NC	Formation	15-20 seconds	Oval light changing from green to blue with red pinpoint of light in the middle.	10/10/11	35.7893295288,-78.7811737061	
9/14/11 23:00	Corola	NC	Fireball	10 MIN	Several Orange lights in Sky OBX Corola, NC	10/10/11	36.3794593811,-75.830291748	
9/12/11 01:00	Greenville	NC	Light	2 Hours+	Organized light craft over Greenville, NC	10/10/11	35.6072006226,-77.3802337646	
9/9/11 11:00	Wilmington	NC	Oval	2 minutes	A bright white, oval sighting that moved in a manner unlike any aircraft I have seen in the area that unexplainably disappeared.	10/10/11	34.2349700928,-77.9459915161	
9/9/11 09:30	Hampstead	NC	Diamond	4-5 min.	Hampstead, N.C 9:30 P.M.  diamond   5 minutes orange lights seen by three people	10/10/11	34.3669281006,-77.7112731934	
9/8/11 16:30	Fuquay Varina	NC	Fireball	few seconds	Orange-red fireball falling over Fuquay Varina	10/10/11	35.5850296021,-78.7998199463	
9/8/11 03:31	North Wilkesboro	NC	Light	3 sec	Huge glowing yellow light appeared and zoomed to the ground very, very fast east of North Wilkesboro	10/10/11	36.1609992981,-81.1427688599	
9/4/11 15:00	Winston-Salem	NC	Flash	10 mins	Two U.F.O's were over the airshow and commerial flight path, like they were watching at high altitude.	10/10/11	36.1199607849,-80.23387146	
9/3/11 21:00	Aulander	NC	Triangle	1 minute	three bright yellow lights hovering/departing and then disapearing after about one minute.	10/10/11	36.2288513184,-77.1139602661	
9/3/11 20:00	Aulander	NC	Changing		We've seen over a dozen floating spacecrafts, all coming from the same point and dissappearing at the same point.	10/10/11	36.2288513184,-77.1139602661	
