DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/7/11 06:15	High Bridge	NJ	Light	20 minutes	My 12 year-old son noticed what appeared to be a star hovering and then moving around.  It looks like it may have been over Round Valle	10/10/11	40.6691017151,-74.8955764771	
9/30/11 20:30	Sea Isle City	NJ	Unknown	5 minutes	Single Flame like entity  traveling north easterly  viewd by one individual.	10/10/11	39.1531105042,-74.6931915283	
9/18/11 23:00	Pitman	NJ	Circle	seconds	Sat night, 9/17/11 Pitman and Washington twp NJ, light comes down to earth and then shoots back up on an angle.	10/10/11	39.734539032,-75.121307373	
9/17/11 22:30	Pilesgrove	NJ	Light	15 minutes	Yellow orange spheres withnessed by audience leaving Cowtown rodeo, Pilesgrove, NJ.	10/10/11	39.6646499634,-75.3803405762	
9/13/11 18:45	Manalapan	NJ	Unknown	Unknown	Four Stanges lights at a perfect angle and even distance apart in the night sky	10/10/11	40.2557106018,-74.3941574097	
9/10/11 02:00	Glenwood	NJ	Circle	:45 -1:00min	Saw a amber sphere traveling from west to east, stop it's flight and change direction away from the planet and faded away.	10/10/11	41.2460708618,-74.4794006348	
9/10/11 00:00	Point Pleasant	NJ	Light	10 minutes	Fireballs over new jersey	10/10/11	40.072101593,-74.0691604614	
8/29/11 20:45	Brick	NJ	Circle	3 minutes	The cigar/circle shaped craft hovered with lights about it for about three minutes then left.	10/10/11	40.068359375,-74.1308135986	
8/28/11 11:30	East Brunswick	NJ	Sphere	1 hour	We saw a shpere like obj. in the sky that had pulsating colors of red, green, blue and yellow. ((NUFORC Note:  Twinkling star? PD))	10/10/11	40.417591095,-74.4200668335	
8/13/11 18:20	Atlantic Highlands	NJ	Light	5 to 7 sec	Unexplained light	8/21/11	40.4127616882,-74.038269043	
8/12/11 22:00	Forked River	NJ	Fireball	20 minutes	4 Fireball looking things in a flight pattern. No sound. Perfect flight pattern. 5 min apart. Over the bay.	8/21/11	39.8448600769,-74.1876296997	
8/3/11 13:15	Teterboro	NJ	Circle	6 seconds	Round shape metallic object flying in the sky.	8/7/11	40.8605003357,-74.0562667847	
8/1/11 22:00	Brick Town	NJ	Light	20 minutes	Unidentifiable lights over metedeconk river, NJ	8/7/11	40.068359375,-74.1308135986	
7/30/11 22:15	Stone Harbor	NJ	Fireball	5 - 10 minutes	Multiple fireballs North of Stone Harbor	8/7/11	39.053730011,-74.7582321167	
7/30/11 21:00	Lumberton	NJ	Fireball	4 minutes	Two red-orange fireballs observed and interacted with via spotlight.	8/7/11	39.9768409729,-74.799987793	
7/16/11 12:00	Berkeley Heights	NJ	Flash	10-15 min	Bright flashing object visible in clear blue sky.	8/7/11	40.6864891052,-74.4375762939	
7/13/11 21:40	Jersey City	NJ	Fireball	12 sec	Very fast green hazy fireball over jersey city NJ	7/17/11	40.7173995972,-74.0432281494	
7/5/11 02:45	Newark	NJ	Fireball	2-3 minutes	Around 2:45 AM driving by Branch Brook Park Newark, NJ. Spotted red firey/glowing object slowly coming down traveling SE.	7/6/11	40.7319717407,-74.1741790771	
7/3/11 23:00	East Orange	NJ	Fireball	3 minutes	Red star like object in the sky moving around in the sky	7/4/11	40.7609901428,-74.2099075317	
6/29/11 01:20	Waretown	NJ	Triangle	45 seconds	It was triangular shape, with odd sound coming from it, and had flashing white and orange lights.	7/4/11	39.7916793823,-74.195640564	
6/28/11 17:10	Browns Mills	NJ	Teardrop	30 seconds	teardrop shape	7/4/11	39.9697914124,-74.581451416	
6/26/11 21:30	Highland Park	NJ	Fireball	2 minutes	Orange fireballs in the sky	6/27/11	40.4972496033,-74.4223327637	
6/19/11 23:45	Parsippany	NJ	Other	1 minute	A boomerang-shaped object with yellow, orange, red lights, the size of a baseball field, hovered in sky with  white orb moving around.	6/27/11	40.8520812988,-74.3928375244	
6/19/11 23:45	Parsippany	NJ	Other	3 minutes	A hazy wave-shaped, orange and yellow light with a sharply defined white orb hovering bellow it in the skies of NJ	7/4/11	40.8520812988,-74.3928375244	
6/19/11 20:15	Clifton	NJ	Circle	around 10 min	Dots over Clifton, NJ	8/7/11	40.8656311035,-74.1602478027	
6/17/11 21:00	Wharton	NJ	Triangle	3 minutes	Bright red UFO spotted over Northern New Jersey	6/20/11	40.8991088867,-74.5841827393	
6/6/11 23:31	Somerville	NJ	Light	1 min	On the night of June 6 2011 aproximately around 11:31 am i saw 2 distinct white colored lights fly over my house.  It was a crystal cle	6/12/11	40.5707015991,-74.619392395	
5/29/11 23:00	Lake Como	NJ	Circle	2 minutes	Ball of FIre over Lake Como, NJ	6/3/11	40.1714477539,-74.0250167847	
5/28/11 21:15	Port Republic	NJ	Fireball	15 seconds	Bright red glowing object in Port Republic, NJ (small town)	5/29/11	39.5347595215,-74.4873962402	
5/28/11 18:00	North Wildwood	NJ	Fireball	10 min	fire ball	6/3/11	39.0010604858,-74.7963562012	
5/21/11 01:00	Magnolia	NJ	Sphere	10 minutes	Bright Sphere	5/29/11	39.8531990051,-75.039352417	
5/6/11 04:30	Berkley Heights	NJ	Circle		shiny gray object floating in the sky of new jeresy.	5/29/11	40.6864891052,-74.4375762939	
5/5/11 23:00	Barnegat	NJ	Unknown	5 minutes	two red blinking lights moving very slowly than dissappeared	5/12/11	39.7539901733,-74.2228164673	
5/5/11 21:00	Brick	NJ	Fireball	15 minutes	fireball spins, pulsates and changes colors very fast.  ((NUFORC Note:  Possible twinkling star, we wonder.  PD))	5/12/11	40.068359375,-74.1308135986	
4/30/11 23:00	Kenilworth	NJ	Circle	aprox 1 hr	White light spliting into 3 over Kenilworth NJ	5/12/11	40.6763191223,-74.2891693115	
4/28/11 09:30	Hopatcong	NJ	Unknown	1 week	It was white, almost big (but not huge, smaller than big), made noise when it fell, lumpy (looked like more than one thing, not sure)	5/29/11	40.9394989014,-74.6585464478	
4/14/11 23:37	Clayton	NJ	Light	5 seconds	soft pale peach light ascended slowly controlled from 68 degrees near ursa major and SHOT OFF vanished out of sight like shooting star!	5/2/11	39.6609611511,-75.0925827026	
4/14/11 21:00	Egg Harbor Township	NJ	Triangle	1:00	Large triangle with lights, making a low humming noise floated very slowly about 150 feet above the ground.	5/2/11	39.3619918823,-74.581237793	
4/9/11 22:05	Asbury Park	NJ	Triangle	45min	My wife and I were watching TV at approximately 10:05pm when my wife looked out our bedroom window and noticed a strange object in the	5/2/11	40.2170295715,-74.0130081177	
4/2/11 23:00	Parsippany (west of)	NJ	Other	30 seconds	It looked like a large gray wreath with small scattered lights, a few miles southwest of Parsippany, NJ 4/2/11.	5/2/11	40.8520812988,-74.3928375244	
3/26/11 22:00	Mullica Township	NJ	Light		Light in the sky that seems to move in very small circles and changes intensity.	4/3/11	39.5868301392,-74.6998977661	
3/25/11 21:00	Egg Harbor Township	NJ	Unknown	7 seconds	Small moving light extremely high in the sky.	4/3/11	39.3619918823,-74.581237793	
3/25/11 11:15	Atlantic City	NJ	Oval	2 min	I'm on a bus and the craft was stationery as we went by. Other strange things have been going on in my legs as well. I have had another	4/3/11	39.3628082275,-74.4265213013	
3/19/11 19:45	Ewing	NJ	Oval	2 minutes	Floating object hovered then flew away very quickly.	3/23/11	40.2697906494,-74.8006134033	
3/11/11 22:33	Waretown	NJ	Oval	Seconds	5 orange lights formed in perfect line southeast on Rt. 9 in Waretown NJ	10/10/11	39.7916793823,-74.195640564	
3/11/11 22:00	Lacey Township	NJ	Oval	30 seconds	5-6 giant bright oval shaped lights in perfect formation by Oyster Creek Power Plant, NJ	3/23/11	39.859539032,-74.2067184448	
3/11/11 21:55	Toms River	NJ	Formation	a few minutes	three orange lights hovered over Barnegat Bay very still and then vanished.	3/23/11	39.9528808594,-74.1937713623	
3/8/11 18:30	Belle Mead	NJ	Light	~1min & 30sec	Glowing orb ascended from my woods, hovered above the trees, trailed behind a plane, stopped, than finally disappeared.	3/23/11	40.467338562,-74.67527771	
3/8/11 18:30	Belle Mead	NJ	Light	~1min & 30sec	Glowing orb ascended from my woods, hovered above the trees, trailed behind a plane, stopped, than finally disappeared.	3/23/11	40.467338562,-74.67527771	
3/6/11 10:28	Mahwah	NJ	Other	3 min	UFO hovering over mine shaft caught it from 35 yards away with my iPhone	3/10/11	41.0892295837,-74.1425247192	
2/23/11 19:10	Berkley Heights	NJ	Light	1 min	Two UFO's?  northeast 19:10 02/23/2011	3/10/11	40.6864891052,-74.4375762939	
2/12/11 01:55	Cape May	NJ	Light	5 seconds	i fast moving red light, turned to blue, changed direction then turned white and it was gone!!!!	2/18/11	38.9352416992,-74.9215927124	
1/17/11 19:55	West Milford	NJ	Fireball	2 min	Five orange orbs of fire/light dancing in sky in West Milford, NJ	2/8/11	41.134311676,-74.36743927	
1/13/11 19:00	Ocean	NJ	Flash	20 minutes	Flashing, star like image in red and green; looked at through binoculars as image seemed to be moving. ((NUFORC Note: Sirius?  PD))	1/31/11	39.8533096313,-74.2392425537	
12/21/10 06:30	Paterson	NJ	Oval	unkown	Oval pulsating orb was hovering over city of Paterson NJ on Dec 21, 2010 @ 6:30 am morning of Lunar Eclipse.	1/5/11	40.9164581299,-74.171081543	
12/20/10 19:00	Newark	NJ	Light	10 min	Rolling strobe lights over Newark	1/5/11	40.7319717407,-74.1741790771	
12/18/10 04:30	Fords	NJ	Light	10 min.	Very Bright Light	1/5/11	40.5274009705,-74.3098602295	
12/11/10 11:00	Newark	NJ	Other	15 seconds	it flew as if it was a jelly fish..but in the sky	1/5/11	40.7319717407,-74.1741790771	
12/11/10 03:30	Newport	NJ	Sphere	15 secs.	Bright lime green orb that appeared, hovered, and then quickly shot downward leaving green trail.	1/5/11	40.7293243408,-74.0323104858	
12/5/10 09:45	Montclair	NJ	Unknown	0:07:00	bright shiny craft moving slowly at over 30K feet then jetted off quickly	1/5/11	40.8120689392,-74.212272644	
12/5/10 09:20	Montclair	NJ	Oval	40 sec	Brite white oval shaped object that grew briter and disappeared	1/5/11	40.8120689392,-74.212272644	
12/4/10 21:00	Somerset	NJ	Light	30 mins	Four powerful white lights circling in a circular manner.  ((NUFORC Note:  Advertising lights??  PD))	1/5/11	40.5636482239,-74.6163482666	
11/23/10 18:00	North Bergen	NJ	Other	4 min.	THE OBJECT CHANGED COLOURS OVER NYC& N.J. IN HEAVY AIRTRAFFIC. MID. AFTERNOON.	3/23/11	40.7930107117,-74.0203933716	
11/10/10 00:00	Sussex	NJ	Other	13	I was walking down the street with a group of friends coming from the local bar. a flash of light occumpanied by a group of crafts that	11/21/10	41.1394691467,-74.6902084351	
