DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/9/11 03:00	Clifton Heights	PA	Fireball	1 hour	Object giving off many different colors in sky.  ((NUFORC Note:  Possible sighting of Sirius.  PD))	10/10/11	39.9289093018,-75.2964706421	
10/8/11 21:15	Ford CIty	PA	Unknown	several minutes	Eight orange hovering orbs.	10/10/11	40.774230957,-79.5266799927	
10/8/11 21:00	Whitpain Township	PA	Formation	1 minute	Big Dipper formation of orange objects.	10/10/11	40.1625595093,-75.2854919434	
10/8/11 20:00	Midway	PA	Sphere	3 minutes	Bright, reddish-orange sphere or fireball was traveling west in a straight line.	10/10/11	39.808391571,-77.0024337769	
10/4/11 23:00	Philadelphia	PA	Circle	2 min	Two Circle Ufo's Flying At Extream Speeds	10/10/11	39.9522781372,-75.1624526978	
9/29/11 17:45	Bellevue	PA	Sphere	30 seconds	saw perfectly sphered shaped white object tracking very visibly across slowly accross the sky	10/10/11	40.4967803955,-80.0556182861	
9/26/11 21:10	Watsontown	PA	Triangle	4 seconds	Object cutting through haze of night.	10/10/11	41.0839385986,-76.8630371094	
9/25/11 23:35	Scranton	PA	Fireball	2 seconds	Fireball crossed over the Interstate	10/10/11	41.4101295471,-75.6607894897	
9/25/11 19:30	Philadelphia	PA	Unknown	15 minutes	I videoed on my cell Phone little flashing blue lights for about 5 minutes. Also, the entire night sky would flash blue.	10/10/11	39.9522781372,-75.1624526978	
9/23/11 22:57	Mechanicsburg	PA	Triangle	30 seconds	Triangular object with 3 lights seen flying above Interstate 81 near 581	10/10/11	40.2131996155,-77.0083389282	
9/22/11 18:00	Harleysville	PA	Circle	3-4 minutes	5 orange/ yellow light over Harleysville Pa	10/10/11	40.2812004089,-75.3935317993	
9/17/11 22:00	Rockledge	PA	Cone	5 min	4  orange lights, 3 in the front in a sideways V formation and 1 in the back 
	10/10/11	40.08203125,-75.0906906128	
9/16/11 22:52	Philadelphia	PA	Oval	5 seconds	Bright oval shaped object seen in the skies over downtown Philadelphia, made a quick hook in the sky and disappeared.	10/10/11	39.9522781372,-75.1624526978	
9/15/11 22:00	Scranton	PA	Light	1 MINUTE	A BRIGHT GREEN LIGHT FLY BY MY HOUSE VERY FAST	10/10/11	41.4101295471,-75.6607894897	
9/10/11 22:30	Greenfield	PA	Light		Bright light moving then stopped then moved again	10/10/11	40.4241218567,-79.9366607666	
9/10/11 12:50	Falls	PA	Circle	2 Hours	Red,  White, Blue, Lights in sky over PA, Falls	10/10/11	41.4832000732,-75.8555297852	
9/8/11 20:50	Lock Haven	PA	Fireball	2-3 minutes	Large orange fireball moving at the speed of a small plane	10/10/11	41.1376495361,-77.4422302246	
9/4/11 22:00	Cheswick	PA	Light	3 minutes	Orange/White dancing flame	10/10/11	40.5390281677,-79.797416687	
9/4/11 21:10	King of Prussia	PA	Formation	2 minutes	3 people see formation in Pennsylvania sky	10/10/11	40.090801239,-75.3849868774	
9/3/11 21:30	Wilkes-Barre	PA	Fireball	10 minutes	I saw a steadily moving, bright and low fireball glide across the night sky.	10/10/11	41.2449760437,-75.8876037598	
9/1/11 23:45	Lancaster	PA	Light	hour?	thought it was a radio pole light, than it blinked, shot straight down, blinked 4/5 times and went into a clound	10/10/11	40.0380401611,-76.3012695312	
9/1/11 21:00	lititz	PA	Changing	1 minute	orange/red sphere very large changed shape and color into small white light that flew off near Lancaster, PA	10/10/11	40.1574897766,-76.3073501587	
8/30/11 20:36	Sharon	PA	Unknown	1-3 minutes	Blue-tinted orb observed appearing and suddenly disappearing.  Sighted from the West Hill in Sharon, PA.	10/10/11	41.2329483032,-80.5045776367	
8/27/11 22:00	Port Allegany	PA	Circle	15 min.	red light going across sky	10/10/11	41.8103485107,-78.279876709	
8/26/11 21:00	Perkasie	PA	Circle	1.5 min.	Three bright orange circles,flying slowly in a  triangular formation, from SE to NW	10/10/11	40.3739013672,-75.3006896973	
