DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/28/11 20:00	Burlington	VT	Triangle		09/28/2011 (20h) Triangle craft over Burlington VT	10/10/11	44.4759216309,-73.2132263184	
9/26/11 21:30	Bondville	VT	Light	ongoing	very bright light in eastern sky  moving  in multiple directions.  ((NUFORC Note:  We suspect a sighting of Sirius.  PD))	10/10/11	43.1444015503,-72.8753204346	
9/25/11 20:55	Johnson	VT	Light	2 min	Two Silent Bright Lights Move In Formation	10/10/11	44.6342506409,-72.6767578125	
9/3/11 21:00	Essex junction	VT	Light	10 minutes	Bright orange lights moving slowly in formation.	10/10/11	44.4907989502,-73.111000061	
9/2/11 08:39	Brattleboro	VT	Flash	48 seconds	Stepped outside to have a smoke, on a cloudless clear night and looked up to so a bright orange light at first looked like just an air	10/10/11	42.8527412415,-72.5582885742	
8/30/11 21:45	Bennington	VT	Triangle	45-60 seconds	silent aircraft with three circular lights in triangle formation seemed to fly into space from normal plane altitude in one minute.	10/10/11	42.8787307739,-73.1971130371	
8/27/11 10:30	Rutland City	VT	Other	5 mins	THOUGHT BALLONS  THEN  A DARK STRUCTURE WAS SEEN	10/10/11	44.0752105713,-72.6627502441	
8/12/11 02:30	Barton	VT	Triangle	5 minutes	((HOAX??))  200 foot black triangle with alternating blinking red lights hovers silently over lake	8/21/11	44.7476806641,-72.1760177612	
7/31/11 22:30	Lyndonville	VT	Fireball	approximately 3 and 1/2 m	Two circular orange fireballs over northeastern Vermont	8/7/11	44.5345993042,-72.0054473877	
7/30/11 22:00	Brandon	VT	Circle	3 min	Star imposters	8/7/11	43.7982215881,-73.0875167847	
7/30/11 17:45	Johnson	VT	Cigar	1 minute	i saw it once before i went around the hill and when i got on the other side it was gone.	8/7/11	44.6342506409,-72.6767578125	
7/7/11 05:30	Milton	VT	Unknown	1 Minute	An irrational noise in the middle of the night.	7/17/11	44.6385307312,-73.1134872437	
6/28/11 23:00	Isle la Motte	VT	Changing	5 minutes	An orb that disappeared into vapor and a flying vessel with a bank of four tail lights,	7/4/11	44.8779411316,-73.3383178711	
6/17/11 23:45	Burlington	VT	Light	5 minutes	Formation of flying incandescent dots sighted	6/20/11	44.4759216309,-73.2132263184	
5/6/11 23:20	Colchester	VT	Chevron	3 minutes	Orange light arch in Vermont.	5/12/11	44.5356216431,-73.2060012817	
2/4/11 21:00	Ferrisburgh	VT	Light	5 min	odd lights seen while traveling thru Ferrisburg , Vermont	2/8/11	44.2030487061,-73.2471694946	
2/4/11 20:30	Waterbury	VT	Rectangle	5 min	Blimp-shaped object with large, non-blinking lights. Counted 6-7 airplanes in the vicinity at the time.	2/8/11	44.3387107849,-72.75730896	
1/15/11 22:40	Northfield Falls	VT	Fireball	5 - 10 minutes	Fireballs in the sky	1/31/11	44.1722984314,-72.6503295898	
1/11/11 19:45	Springfield	VT	Triangle	5 minutes	Two unidentified crafts following each other slowly.	1/31/11	43.3028717041,-72.4877624512	
11/2/10 19:18	Rutland	VT	Fireball	3 minutes	extremly low in the sky streaking horizontally leaving a long trail behind itself and eventually exploding.	11/21/10	43.605091095,-72.9782791138	
8/13/10 20:30	Northfield Falls	VT	Sphere	20 seconds	Glowing Sphere over Vermont Mountains	8/24/10	44.1722984314,-72.6503295898	
7/22/10 21:30	Rutland	VT	Fireball	10min	WOW	7/28/10	43.605091095,-72.9782791138	
7/4/10 21:10	Milton	VT	Light	Approx. 3 minutes	Slow-moving orb circles around house	7/6/10	44.6385307312,-73.1134872437	
7/4/10 21:00	St. Albans	VT	Sphere	2 MIN	Round object, red light in the center.	7/19/10	44.8130187988,-73.0830307007	
4/27/10 20:53	Saxtons River	VT	Sphere	60 seconds	High-Speed White Sphere	5/12/10	43.1384506226,-72.511177063	
4/13/10 21:00	Northfield	VT	Unknown	2 mins	Fast Moving UFO's over mountains of Vermont.	5/12/10	44.1497917175,-72.6558380127	
4/13/10 19:30	Waterville	VT	Cigar	5 mins	two missles traveling east	11/21/10	44.7049217224,-72.7629318237	
4/12/10 21:40	Rutland	VT	Triangle	3 seconds	Triangle with three lights sighted in Vermont	4/13/10	43.605091095,-72.9782791138	
4/10/10 12:00	Rutland	VT	Sphere	10 mins	Strange phenomenon in sky over rutland vermont reveals sphere type craft	11/21/10	43.605091095,-72.9782791138	
3/28/10 23:45	Colchester	VT	Oval	15 seconds	blimp shaped craft hovering in sky	4/13/10	44.5356216431,-73.2060012817	
3/16/10 10:00	Wilmington	VT	Cross	2 minutes	3 opaque white objects appeared from a jet chem trail, i watched them fly, 2 objects went to the left, the other to the right,.	4/13/10	42.8729286194,-72.8634109497	
2/12/10 19:30	Sharon	VT	Light	30 to 45 seconds	Airplane-like light which seemed to spawn larger, brighter, stationary lights as it moved.	2/14/10	43.7836799622,-72.4568023682	
11/19/09 17:30	Fairlee	VT	Cross	one minute	sighting in fairlee vt	12/12/09	43.9082984924,-72.1412734985	
11/17/09 19:30	Barre	VT	Light	1 Minute	Bright orange lights fading in and out in a perfect diagonal pattern over Barre	12/12/09	44.1968917847,-72.5014724731	
11/17/09 18:15	Caledonia County	VT	Sphere	few minutes	2 golden yellow orbs in northeastern VT above road	12/12/09	44.4646682739,-72.1023483276	
10/27/09 01:04	Colchester	VT	Circle	5 minutes	It was about 1:04 in the morning. I was getting home from the late shift, and near the northern sky, I thought I saw a plane with v	12/12/09	44.5356216431,-73.2060012817	
9/22/09 02:00	Island Pond	VT	Light	1 minute	Two star-like objects move across night sky, then disappear in an instant.	4/13/10	44.8161010742,-71.8678512573	
9/19/09 20:00	Orwell	VT	Unknown	30 seconds	Cone of light emanating downward from stationary point in the sky.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	43.8038787842,-73.2963104248	
9/19/09 19:52	Cornwall	VT	Cone	30 seconds	cone of light in sky at height of air traffic  ((NUFORC Note:  Missile launch.  PD))	12/12/09	43.9612998962,-73.2096176147	
9/19/09 19:46	Putney	VT	Light	60 Seconds	VANISHING BRIGHT WHITE LIGHT WITH CONE SHAPED MIST IN PUTNEY, VT.  ((NUFORC Note:  Missile launch.  PD))	12/12/09	42.9793510437,-72.5274963379	
9/16/09 22:30	Arlington	VT	Light	indeterminate	At about 10:30pm my wife and I saw an object in the sky NNW approximately 25 degrees off the horizon. The object appeared to be a b	12/12/09	43.0683403015,-73.1568603516	
7/9/09 22:30	Colchester	VT	Triangle	About 6 seconds	Alright, me and my friend were driving down the road, and i saw it in the sky, at first I didnt think any of it because we live sorta n	8/5/09	44.5356216431,-73.2060012817	
7/9/09 22:30	Colchester	VT			gunshots are not uncommon	12/12/09	44.5356216431,-73.2060012817	
6/26/09 01:30	Burlington	VT	Circle	about 1 min.	Horizontal flaming metior going accross the sky.	8/27/09	44.4759216309,-73.2132263184	
6/21/09 23:00	Worcester	VT	Other	15 minutes	Saw a bunch of lights bunched together, they were all different colors and blinking.	8/27/09	44.3691291809,-72.5516662598	
5/21/09 22:00	Vernon	VT	Light	10 min	A formation of lights breaking the sound barrier and doing odd manuevers.	6/9/09	42.7804489136,-72.5229721069	
5/20/09 01:34	Highgate	VT	Cigar	approximatley 11.213 seco	we saw many, many, MANY lights. flying overhead. A strange beam of light came above us, and a a funny feeling came over all three of us	6/9/09	45.0054206848,-72.9955673218	
4/29/09 21:00	Burlington	VT	Light	10 min	Bright Orange/Reddish Object moving slowly over Lake Champlain	5/12/09	44.4759216309,-73.2132263184	
4/24/09 00:12	Richmond	VT	Light	5-10 mins	First 2, then 3 bright lights in the sky; lights eventually disappeared	5/12/09	44.4027786255,-72.9955596924	
4/20/09 01:02	Burlington	VT	Formation	5 seconds	Light formation streaks across Vermont sky	5/12/09	44.4759216309,-73.2132263184	
3/21/09 03:30	Windsor	VT	Changing	25 +	5 unidentified light formations with bright lights changing in color, and direction, lights go in different patterns	4/14/09	43.4799194336,-72.3864898682	
1/24/09 20:22	Manchester	VT	Unknown	1 min	((HOAX??))  DISTINCT SIMULTANEOUS FEELING BY INHABITANTS OF CAR WE WERE BEING TACKED OR WATCHED.	3/19/09	43.1629905701,-73.0720825195	
1/18/09 06:35	Pittsford	VT	Oval	1 minute	Large oval light from south traveling off into space	3/19/09	43.7068405151,-73.0203323364	
1/10/09 19:30	Williston (seen from; to NE)	VT	Circle	20-30 Seconds	2 bright orange lights above horizon with possible smoke trail above them appeared stationary	3/19/09	44.4383888245,-73.0725021362	
12/25/08 20:45	South Burlington	VT	Light	30 minutes	flashing light in sky.  ((NUFORC Note:  Possible sighting of Sirius?  PD))	1/10/09	44.4546813965,-73.1789932251	
12/25/08 03:46	Melbourne	VT	Formation	5 mins each sighting	in my oppinion large object was under attack also spotted space junk one flash of orange light took off like commet	1/10/09	43.0450515747,-72.8184432983	
10/2/08 19:50	Westminster West/ Putney border	VT	Disk	About 10 minutes	Hovered for about 10 minutes shifting left to right very quickly; not illuminated by lights- reflective underside making it visible.	1/10/09	44.0752105713,-72.6627502441	
10/2/08 19:50	Westminster West/ Putney border	VT	Disk	About 10 minutes	Craft sighting in Westminster West, Vermont on 10/02/2008	1/10/09	44.0752105713,-72.6627502441	
9/25/08 20:00	Bradford	VT	Unknown	15 sec	four large reddish orange lights for about 15 sec. then just vanished	10/31/08	43.9928398132,-72.1282730103	
