DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
10/9/11 20:30	Longview	WA	Light	20 min	Crazy story gotta read	10/10/11	46.1468086243,-122.950538635	
10/9/11 01:00	Davenport	WA	Light	10 minutes	Still light that flew upward fast and over our house at 2:00am	10/10/11	47.6540489197,-118.149131775	
10/8/11 19:55	Pasco	WA	Light	doesn't stop	Multiple colored lights at high altitude, stationary spot in sky	10/10/11	46.2351799011,-119.094558716	
10/8/11 19:07	Kennewick	WA	Disk	20 minutes	I looked up to the sky at about 7:07 pm tonight. I saw 2 very bright orange glowing lights in the sky south east. Left of the moon. I s	10/10/11	46.2080383301,-119.116981506	
10/8/11 19:00	Kennewick	WA	Disk	25 minutes	At 7pm tonight I saw an orange and very bright ball of light appear in the south east sky. It was followed about 30 seconds apart form	10/10/11	46.2080383301,-119.116981506	
10/8/11 19:00	Kennewick	WA	Changing	25 minutes	At 7pm I witnessed an very bright orange glowing ball comming thru the sky south east. It was traveling towards the moon. As it got clo	10/10/11	46.2080383301,-119.116981506	
10/8/11 01:00	Mukilteo	WA	Flash	4 seconds	Bright/white round flash in Mukilteo	10/10/11	47.8972511292,-122.294113159	
10/1/11 21:50	Tenino	WA	Light	2-3 minutes	Orange ball of light hovers and then ascends and suddenly disappears	10/10/11	46.857509613,-122.851379395	
10/1/11 00:00	Vancouver	WA	Light		My sister cousin and mydelf saw UFO's in the sky driving home !!!!! SO scary !	10/10/11	45.6322097778,-122.671562195	
9/30/11 23:15	Vancouver	WA	Fireball	30 seconds	3 red balls in triangler form in sky in vancouver,WA above fourth plain blvd at 23:15.	10/10/11	45.6322097778,-122.671562195	
9/30/11 23:00	Vancouver	WA	Light	2-4 minutes	Large reddish-pink lights slowly moving south.	10/10/11	45.6322097778,-122.671562195	
9/30/11 23:00	Vancouver	WA	Fireball	About 5 Mins long	Red Fireball like objects hovering over a field in Vancouver, WA	10/10/11	45.6322097778,-122.671562195	
9/29/11 04:11	Auburn	WA	Unknown	30 SEC	It was about 4:11 am.. I had just went out side and had coffee and a smoke..I was watching the star's as I do every morning.I looked ov	10/10/11	47.3073997498,-122.230407715	
9/28/11 22:00	Sultan	WA	Circle	45 seconds	with regular 7x35mm binoculars and spotted it directly above us, way up in the sky traveling from West to East white ball type circle	10/10/11	47.8622817993,-121.81716156	
9/28/11 20:55	Vancouver	WA	Sphere	2 1/2 to 3 minutes	Slow moving flaming fireball moving east to west SW Washington, 9/28/11 20:50	10/10/11	45.6322097778,-122.671562195	
9/24/11 02:35	Bellevue	WA	Light	ongoing	Two small crafts flying around.	10/10/11	47.6100196838,-122.187850952	
9/23/11 13:19	Yakima	WA	Cylinder	5	It didnt appear to have wings and it looked the same on both ends	10/10/11	46.6041297913,-120.507049561	
9/20/11 22:00	Moses Lake	WA	Light	1 hour plus	Bright light in night sky.  Had side to side, up and down and circular movement.  ((NUFORC Note:  Star??  ))	10/10/11	47.1319313049,-119.277153015	
9/20/11 22:00	Centralia	WA	Cigar	5 sec	Glowing object flies west to east over I-5	10/10/11	46.7289390564,-122.952980042	
9/19/11 20:30	Kennewick	WA	Light	5 minutes	A continuous string of 20 to 30 fast blinking multi-colored lights that vanished after five minutes.	10/10/11	46.2080383301,-119.116981506	
9/12/11 20:00	Vancouver	WA	Circle	5-6 mins	Purple Light, Brightness changing	10/10/11	45.6322097778,-122.671562195	
9/10/11 22:00	Seattle	WA	Circle	1 minuet	orange Chinese lanterns fly in formation over large party over 50 kids and adults witness	10/10/11	47.6035614014,-122.329437256	
9/10/11 20:54	Renton	WA	Light	
	Two bright orange lights at high altitude, Seattle Wa	10/10/11	47.4755592346,-122.204559326	
9/10/11 20:20	Everett	WA	Circle	5-7 minutes	12-20 orange orbs float and fade away seen by 2 witnesses .	10/10/11	47.9765701294,-122.206420898	
9/9/11 23:00	Kenmore	WA	Changing	1.5 hours	UFO changing colors, shapes and pulsating - Kenmore,Wa 09/09/2011 Video Footage	10/10/11	47.7587585449,-122.243690491	
9/6/11 21:30	Duvall	WA	Triangle	5 min	The bright red object moved at speed from one place to enother then stop and started again - with no sound at all.	10/10/11	47.7404785156,-121.98613739	
9/5/11 01:00	Seattle	WA	Light	1 Minute	Eight orange lights appeared over downtown Seattle and then disappeared.	10/10/11	47.6035614014,-122.329437256	
9/4/11 23:00	Olympia	WA	Chevron	11pm - 5am	Very large white light that was not a star	10/10/11	47.0392303467,-122.891357422	
9/4/11 13:40	Fort Flagler	WA	Disk	1 picture	Daylight sighting at Fort Flagler, Washington	10/10/11	48.0936508179,-122.708518982	
9/3/11 21:30	Cascade Mountains (central part)	WA	Fireball	10-15 minutes	Fireball appeared in the eastern sky about 9:30 p.m from Dishpan Gap near Glacier peak.  Seemed to be releasing tiny blue objects.	10/10/11	47.6101112366,-121.426757812	
9/3/11 15:00	Black Diamond	WA	Teardrop	2 minutes	Was traveling East on Hiway 18 just before black Diamond, Saw a black upside down teardrop shape object above treetops north from hiway	10/10/11	47.3088607788,-122.002052307	
9/3/11 01:00	Gorge	WA	Fireball	5 SECONDS	Two orbs seen flying from West to East directly over the gorge ampitheatre sept. 2 around 1am	10/10/11	47.8229827881,-119.999389648	
